STAND 5, SURVEY DATE: 02 May 1985, OBSERVERS: G.H. La Roi (#1), ROWS: 4,6,8, M.S. Ross (#3), ROWS: 0,2,4, DATA ENTRY: 24 Nov 1997 (note: GHLR used thermometer "Old #1"; MSR used "M"; MSR data from Row 4 in 4a-i below;"POTR buds opening"; note how much
more RUPU seen by MSR cf GHLR!;note wide range of soil temperature)

QUAD  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i

BEPA   0.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
PIGL   9.0   4.0   8.0   0.0   3.0  12.0   6.0   5.0   3.0  14.0  28.0  18.0  19.0  14.0  14.0  20.0  14.0  15.0  19.0  23.0  17.0  18.0  13.0  17.0  19.0  25.0   7.0  10.0   5.0   5.0
POBA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
POTR   3.0   5.0   2.0   5.0   3.0   6.0   3.0   5.0   6.0   6.0   2.0   3.0   2.0   3.0   2.0   3.0   3.0   2.0   2.0   3.0   4.0   2.0   3.0   0.5   4.0   4.0   6.0   4.0   7.0   6.0
AMAL   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0
LODI   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
LOIN   0.1   0.01  0.1   0.1   0.0   0.0   0.1   0.01  0.1   0.1   0.01  0.01  0.01  0.01  0.0   0.01  0.01  0.01  0.01  0.0   0.1   0.01  0.01  0.01  0.01  0.01  0.1   0.01  0.01  0.0
PRPE   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RIGL   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
