STAND 5, SURVEY DATE: 01 Aug 1986, OBSERVER: R.A. Ellis (#2), ROWS: 0,2,4,6,8, DATA ENTRY: 24 Apr 1998 (note: RAE used thermometer ??; annual August survey)

QUAD  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i

BEPA   0.0   0.0   0.0   0.0   2.0   0.0   0.01  0.0   0.01  0.0   4.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
PIGL  12.0   7.0  14.0   0.0   4.0  20.0  10.0   9.0   8.0  25.0  25.0  12.0  17.0  14.0  10.0  20.0   8.0   9.0  17.0  17.0   7.0   8.0   9.0  20.0  18.0   0.0   0.0   0.0   0.0   0.0
POBA   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
POTR   4.0  10.0   5.0   8.0   5.0   4.0   4.0   8.0  10.0   8.0  10.0  10.0   5.0  10.0   6.0   7.0   6.0   8.0   7.0   8.0  12.0  10.0   8.0   4.0  10.0   0.0   0.0   0.0   0.0   0.0
AMAL   0.0   0.1   0.5   0.0   0.0   0.0   0.1   0.0   0.5   0.1   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0
LODI   1.0   0.5   1.0   2.0   0.0   0.0   0.0   0.5   0.1   0.1   0.1   0.1   0.5   0.1   0.1   0.0   0.0   0.0   0.1   0.5   0.5   0.1   0.5   0.0   0.1   0.0   0.0   0.0   0.0   0.0
LOIN   0.1   0.5   1.0   1.0   0.0   0.0   5.0   0.5   4.0   2.0   1.0   1.0   0.5   0.5   0.0   0.5   1.0   0.0   0.5   0.0   2.0   2.0   0.0   2.0   0.5   0.0   0.0   0.0   0.0   0.0
PRPE   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RIGL   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RILA   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.1   0.0   0.0   0.1   0.0   0.1   0.1   0.0   0.01  0.0   0.0   0.1   0.0   0.01  0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0
RITR   0.5   0.1   0.5   0.1   1.0   0.1   0.1   1.0   0.5   0.1   0.1   0.0   0.0   0.0   0.1   0.5   0.0   1.0   0.1   0.5   0.5   0.1   0.1   0.5   0.1   0.0   0.0   0.0   0.0   0.0
ROAC   3.0   1.0   3.0   1.0   1.0   3.0   4.0   3.0   1.0   2.0   0.5   2.0   0.5   2.0   0.5   1.0   1.0   0.0   1.0   0.5   5.0   2.0   0.5   3.0   2.0   0.0   0.0   0.0   0.0   0.0
RUID   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
SYAL   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
VAVI   2.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
VIED   3.0   4.0   5.0   5.0   8.0   2.0   1.0   4.0   2.0   3.0   0.5   2.0   0.5   1.0   2.0   2.0   2.0   4.0   0.5   1.0   5.0   1.0   2.0   5.0   3.0   0.0   0.0   0.0   0.0   0.0
ACMI   0.01  0.01  0.1   0.01  0.1   0.0   0.5   0.0   0.01  0.01  0.0   0.0   0.0   0.1   0.1   0.0   0.1   0.0   0.01  0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0

QUAD  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i
ARNU   3.0   3.0   3.0   3.0   5.0   8.0   5.0   7.0   5.0   3.0   4.0   5.0   4.0   5.0   5.0   7.0   7.0   5.0   5.0   3.0   4.0   5.0   6.0   9.0   7.0   0.0   0.0   0.0   0.0   0.0
ASCI   2.0   3.0   2.0   2.0   4.0   5.0   1.0   2.0   3.0   1.0   1.0   1.0   0.1   3.0   4.0   1.0   1.0   1.0   0.5   1.0   2.0   0.5   2.0   1.0   1.0   0.0   0.0   0.0   0.0   0.0
ASCO   0.0   0.5   0.0   0.0   1.0   0.0   0.1   1.0   1.0   0.1   0.0   0.1   0.1   0.0   0.5   0.0   0.1   0.0   0.0   0.0   0.1   0.1   0.1   0.5   0.1   0.0   0.0   0.0   0.0   0.0
ACRU   0.1   0.1   0.0   0.1   0.0   0.1   0.0   0.1   0.0   0.1   0.1   0.1   0.0   0.0   0.0   0.0   0.0   0.1   0.1   0.1   0.0   0.1   0.1   0.1   0.1   0.0   0.0   0.0   0.0   0.0
COCA   2.0   8.0   7.0   6.0  15.0   5.0   3.0   6.0   7.0   3.0   3.0   6.0   0.5   4.0   5.0   2.0   6.0   1.0   5.0   2.0   4.0   2.0   4.0   5.0   2.0   0.0   0.0   0.0   0.0   0.0
COTR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
EPAN   0.5   0.1   0.5   0.5   0.5   0.1   0.01  0.01  0.1   0.1   0.0   0.0   0.0   0.01  0.1   0.0   0.1   0.0   0.0   0.0   0.5   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0
FRVE   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
FRVI   1.0   1.0   0.01  0.1   0.5   0.5   0.0   0.5   0.5   0.1   0.5   0.1   0.1   0.5   0.5   0.1   0.01  0.1   0.1   0.1   0.1   0.1   0.1   0.1   0.1   0.0   0.0   0.0   0.0   0.0
GABO   0.5   0.1   0.5   0.5   0.1   0.5   0.1   0.5   0.5   0.1   0.1   0.1   0.1   0.1   0.1   0.1   0.1   0.1   0.1   0.1   0.1   0.1   0.1   0.1   0.5   0.0   0.0   0.0   0.0   0.0
GATR   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.01  0.0   0.01  0.01  0.1   0.0   0.0   0.0   0.01  0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0
GORE   0.0   0.0   0.0   0.0   0.0   0.01  0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.01  0.1   0.01  0.0   0.0   0.0   0.0   0.0
LAOC   0.5   0.1   0.5   1.0   0.5   0.1   0.1   0.1   0.1   0.1   0.0   0.0   0.1   0.0   0.1   0.0   0.0   0.0   0.1   0.01  0.5   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0
