STAND 5, SURVEY DATE: 09 Aug 1995, OBSERVER: G.H. La Roi (#1), ROWS: 0,2,4,6,8, DATA ENTRY: 12 Nov 1998 (note: GHLR used thermometer "Old#1"; EPAN: "grazed"; this survey was first since Oct 1990)

QUAD  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i

BEPA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   2.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
PIGL  19.0  11.0  18.0   2.0   6.0  24.0  17.0  12.0  19.0  31.0  35.0  15.0  19.0  21.0  20.0  33.0  20.0  28.0  32.0  35.0  18.0  26.0  23.0  30.0  35.0   0.0   0.0   0.0   0.0   0.0
POBA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
POTR  11.0  15.0  10.0  11.0  10.0   3.0  14.0  15.0  18.0  17.0  17.0  20.0  25.0  10.0  23.0   8.0  12.0  15.0  14.0  17.0  20.0  18.0  20.0   5.0  27.0   0.0   0.0   0.0   0.0   0.0
AMAL   0.0   0.5   0.0   0.0   0.0   0.0   0.1   0.0   0.5   0.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
LODI   1.0   0.5   0.5   0.0   0.0   0.0   0.0   0.1   0.1   0.1   0.1   0.1   0.5   0.0   0.01  0.0   0.0   0.0   0.1   0.01  0.0   0.1   0.1   0.0   0.1   0.0   0.0   0.0   0.0   0.0
LOIN   1.0   0.0   1.0   3.0   0.0   0.0   3.0   1.0   3.0   2.0   0.5   1.0   0.0   1.0   0.0   0.0   1.0   0.0   0.5   0.0   4.0   4.0   0.0   5.0   0.5   0.0   0.0   0.0   0.0   0.0
PRPE   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RIGL   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
