STAND 5, SURVEY DATE: 24 Jul 2015, OBSERVER: Derek Johnson <#7), ROWS: 0,2,4,6,8, DATA ENTRY in field by J. Salvail: into computer file on 12 DEC 2015 by GHLR; DJ did not use soil
thermometer in Q's; started field entry @ 0945h finished @1745h mdt; no photos taken?>


QUAD  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i

BEPA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
PIGL   1.0   5.0  20.0   2.0  10.0  35.0  15.0  15.0   5.0  20.0  15.0  25.0  20.0  25.0  25.0  25.0  20.0  25.0  20.0  20.0  15.0  15.0  25.0  20.0  25.0   0.0   0.0   0.0   0.0   0.0
POBA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
POTR   7.0  25.0  12.0   8.0   1.0   3.0  15.0  35.0  10.0  15.0  20.0  25.0  15.0  25.0  20.0  15.0  20.0  10.0  25.0  25.0  20.0  25.0  15.0  10.0  10.0   0.0   0.0   0.0   0.0   0.0
AMAL   0.0   0.1   0.1   0.0   0.0   0.0   1.0   0.0   1.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   1.0   0.0   0.0   0.0   0.0   0.0   0.0
LODI   0.5   1.0   1.0   0.0   0.0   0.0   0.1   0.5   0.1   0.5   1.0   0.5   1.0   0.5   0.1   0.1   0.0   0.0   0.1   0.5   0.0   1.0   0.01  0.0   0.1   0.0   0.0   0.0   0.0   0.0
LOIN   0.0   0.0   0.5   2.0   0.0   0.0   1.0   0.5   1.0   0.0   0.1   0.1   0.0   0.0   0.0   0.0   0.1   0.0   0.1   0.01  2.0   0.0   0.1   1.0   0.1   0.0   0.0   0.0   0.0   0.0
PRPE   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RIGL   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RILA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RITR   0.1   0.01  0.5   0.1   2.0   0.0   0.1   0.01  0.5   0.01  0.5   0.1   0.1   0.1   0.01  0.01  0.01  0.5   0.0   0.1   0.1   0.0   0.0   0.1   0.1   0.0   0.0   0.0   0.0   0.0
ROAC   2.0   1.0   5.0   2.0   7.0   4.0   3.0   0.5   1.0   1.0   2.0   2.0   0.5   2.0   2.0   1.0   1.0   0.5   1.0   0.5   5.0   1.0   1.0   2.0   1.0   0.0   0.0   0.0   0.0   0.0
RUID   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
SYAL   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
VAVI   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
