STAND 6, SURVEY DATE: 28 Jul 2015, OBSERVER: D. Johnson (#7), ROWS: 0,2,4,6,8, DATA ENTRY: 02 Feb 2016 (note: soil temperatures not measured; J. Salvail was recorder; estimates began
@09:20 and ended @1830h mdt>


Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i

ABBA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
BEPA   0.0   0.0   0.0   0.0   0.0   2.0   0.0   2.0   2.0   5.0   2.0   0.0   0.0   2.0   3.0   3.0   2.0   2.0   0.0   0.0   0.0   2.0   5.0  12.0   5.0   0.0   0.0   0.0   0.0   0.0
PIGL   0.0   0.0   0.1   0.0   0.0   1.0   0.01  2.0   0.0   1.0   2.0   0.0   0.0   2.0   0.01  6.0   0.5   0.1   0.0   0.0   0.1   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
POBA   0.0   0.0  10.0  15.0   5.0  12.0   2.0   5.0   0.0   5.0   3.0   2.0   2.0  15.0   5.0   8.0  10.0   0.7   0.0   1.0   5.0   1.0   1.0   0.0   5.0   0.0   0.0   0.0   0.0   0.0
POTR  75.0  35.0   5.0  20.0  20.0   8.0  35.0  15.0  50.0  35.0  25.0  35.0  40.0  10.0  25.0   5.0   5.0   5.0  25.0  40.0  20.0  25.0  10.0  30.0  20.0   0.0   0.0   0.0   0.0   0.0
AMAL   0.5   5.0   2.0   6.0   3.0   3.0   3.0   1.0   1.0   2.0   0.0   0.0   0.0   3.0   1.0   0.0   0.0   0.0   0.1   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
LEGR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
LODI   2.0   0.0   0.0   1.0   0.0   0.1   0.5   0.0   3.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0
LOIN   1.0   4.0   0.1   0.1   3.0   0.1   2.0   0.5   3.0   3.0   2.0  10.0   0.1   0.0   0.1   0.0   0.0   0.1   1.0   5.0   1.0   5.0   4.0   2.0   0.1   0.0   0.0   0.0   0.0   0.0
PRPE   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RIGL   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RILA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RITR   0.0   0.0   0.0   0.5   0.1   0.0   0.1   0.0   0.5   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ROAC   5.0   1.0   1.0   5.0   3.0   2.0   4.0   7.0   3.0   5.0   2.0   1.0   3.0   3.0   7.0   2.0   1.0   2.0   1.0   3.0   2.0   2.0   1.0   1.0   3.0   0.0   0.0   0.0   0.0   0.0
RUID   1.0   0.0   0.1   0.5   0.1   0.1   0.1   0.1   0.5   1.0   0.0   1.0   0.5   2.0   0.1   0.1   0.0   0.5   1.0   0.5   2.0   1.0   0.1   0.0   1.0   0.0   0.0   0.0   0.0   0.0
SHCA   0.0   0.0   1.0   0.0   3.0   3.0   0.0   0.0   0.0   0.0   2.0   0.0   0.01  0.1   4.0   7.0  15.0   2.0   0.1   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
SYAL   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i
VAVI   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0
VIED   2.0   1.0   0.1   2.0   2.0   2.0   3.0   0.1   3.0   1.0   0.1   2.0   1.0   0.1   0.1   0.0   0.5   0.0   0.1   3.0   2.0   2.0   4.0   1.0   3.0   0.0   0.0   0.0   0.0   0.0
ACMI   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.01  0.0   0.0   0.01  0.0   0.01  0.0   0.0   0.0   0.1   0.01  0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ACRU   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
