STAND 6, SURVEY DATE: 17 Aug 1981, OBSERVERS: G.H. La Roi (#1), ROWS: 4G-I,6,8, R.A. Ellis (#2), ROWS: 0,2,4A-E, DATA ENTRY: 18 Feb 2004 (note: GHLR used soil thermometer #B, RAE used #1)

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i

ABBA   0.0   0.0  10.0   0.0   0.0   4.0   2.0   6.0   1.0  10.0   4.0  25.0  10.0  30.0   9.0  20.0   4.0  15.0  35.0   3.0   7.0  15.0  25.0  40.0   4.0   0.0   0.0   0.0   0.0   0.0
BEPA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   1.0   3.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
PIGL  25.0  35.0  15.0  35.0  10.0  15.0   5.0   4.0   7.0  10.0   4.0  10.0   7.0   5.0   3.0  12.0  30.0  25.0  15.0  12.0  10.0   5.0  12.0   6.0  20.0   0.0   0.0   0.0   0.0   0.0
POBA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   3.0   0.0   0.0   0.0   0.0   0.0
POTR   0.0   5.0   0.5   0.0   8.0  10.0  10.0   7.0   0.5   3.0   3.0   4.0   0.5   0.0   6.0  10.0   2.0   0.0   7.0  20.0   0.0  10.0   0.5   6.0  12.0   0.0   0.0   0.0   0.0   0.0
AMAL   0.01  0.0   0.01  0.0   0.01  0.1   0.0   0.0   0.1   0.1   0.0   0.0   0.0   0.5   0.5   0.0   0.5   0.5   0.1   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
LEGR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   1.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
LODI   0.1   0.0   0.1   0.1   0.0   0.0   0.1   0.0   0.0   0.1   0.0   0.01  0.0   0.0   0.0   0.0   0.1   0.0   0.0   1.0   0.5   0.1   0.0   0.1   0.5   0.0   0.0   0.0   0.0   0.0
LOIN   1.0   1.0   1.0   1.0   3.0   2.0   2.0   5.0   1.0   4.0   3.0   1.0   1.0   6.0   3.0   3.0   2.0   3.0   3.0   4.0   6.0   4.0   4.0   3.0   1.0   0.0   0.0   0.0   0.0   0.0
PRPE   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RIGL   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RILA   0.0   0.01  0.0   0.0   0.1   0.0   0.0   0.1   0.0   0.1   0.01  0.0   0.01  0.1   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.1   0.0   0.01  0.1   0.0   0.0   0.0   0.0   0.0
RITR   0.5   0.0   0.1   0.1   0.0   0.1   0.5   0.1   0.1   0.0   0.0   0.0   0.1   0.0   1.0   0.0   0.5   0.5   0.0   0.5   0.0   0.1   0.01  0.5   1.0   0.0   0.0   0.0   0.0   0.0
ROAC   1.0   0.5   1.0   0.5   0.1   1.0   2.0   3.0   3.0   1.0   3.0   0.5   2.0   2.0   3.0   1.0   3.0   2.0   1.0   4.0   2.0   2.0   2.0   1.0   4.0   0.0   0.0   0.0   0.0   0.0
RUID   0.1   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.5   1.0   0.0   0.0   1.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
SHCA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
SYAL   0.1   0.0   0.0   0.0   0.1   0.01  0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i
VAVI   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
VIED   0.5   0.1   0.5   0.5   1.0   0.5   0.5   1.0   0.5   1.0   1.0   1.0   0.5   1.0   2.0   2.0   3.0   4.0   1.0   3.0   2.0   2.0   1.0   1.0   3.0   0.0   0.0   0.0   0.0   0.0
ACMI   0.01  0.01  0.1   0.0   0.01  0.1   0.1   0.0   0.1   0.0   0.1   0.5   0.1   0.1   0.01  0.0   0.1   0.01  0.01  0.0   0.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0
ACRU   0.5   0.1   0.5   0.1   0.0   0.1   0.5   1.0   0.0   0.1   0.0   0.0   0.1   0.0   0.5   0.0   1.0   0.5   0.0   0.5   0.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0
ARNU  20.0   5.0   5.0  10.0   4.0   7.0   5.0   3.0   1.0   2.0  10.0   4.0   0.5   2.0   5.0   2.0   2.0   0.0   2.0  15.0   0.0   0.0   0.0   0.0   7.0   0.0   0.0   0.0   0.0   0.0
ASCI   0.5   0.1   0.1   0.1   0.1   2.0   2.0   1.0   0.5   2.0   0.1   0.5   1.0   3.0   2.0   1.0   2.0   2.0   1.0   0.5   1.0   4.0   1.0   0.1   3.0   0.0   0.0   0.0   0.0   0.0
ASCO   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.1   0.5   0.1   1.0   0.0   0.0   0.0   0.0   0.0   0.0   1.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0
AQBR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
COCA   2.0   0.5   0.5   0.5   0.1   1.0   0.5   0.5   3.0   0.1   3.0   1.0   1.0   3.0   4.0   4.0   3.0   2.0   2.0   1.0   2.0   2.0   2.0   0.5   4.0   0.0   0.0   0.0   0.0   0.0
COTR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
DITR   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   4.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
EPAN   1.0   0.0   0.1   0.0   0.1   0.1   0.01  0.1   0.01  0.1   0.0   0.0   0.0   0.0   0.5   0.0   0.5   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
FRVE   0.0   0.1   0.5   0.1   0.0   0.0   0.1   0.0   0.0   0.1   0.5   0.1   0.0   0.0   0.0   0.0   0.0   0.5   0.0   0.1   0.5   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0
FRVI   0.1   0.0   0.1   0.1   0.1   0.1   0.01  0.5   0.1   0.1   0.0   0.0   0.1   1.0   0.5   0.1   1.0   0.1   0.1   0.0   0.5   0.1   0.5   0.0   0.5   0.0   0.0   0.0   0.0   0.0
GABO   0.1   0.1   0.1   0.1   0.1   0.1   0.1   0.1   0.1   0.1   0.1   0.1   0.1   0.5   0.1   0.1   0.1   0.5   0.1   0.1   0.5   0.5   0.1   0.01  0.1   0.0   0.0   0.0   0.0   0.0
GATR   0.1   0.1   0.0   0.1   0.0   0.1   0.0   0.1   0.0   0.0   0.1   0.0   0.1   0.5   0.5   0.0   0.5   0.1   0.1   0.5   0.5   1.0   0.1   0.5   0.1   0.0   0.0   0.0   0.0   0.0
GORE   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
HIUM   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0
LAOC   0.1   0.0   0.1   0.1   0.1   0.1   0.1   0.1   0.1   0.1   0.1   0.1   0.0   0.0   0.5   0.0   1.0   0.0   0.0   1.0   0.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0
LIBO   1.0   3.0   1.0   2.0   4.0   5.0   1.0   0.5   5.0   4.0  10.0   3.0   4.0   5.0   7.0   3.0   4.0   4.0   4.0   3.0   2.0   2.0   4.0   2.0   7.0   0.0   0.0   0.0   0.0   0.0

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i
MACA   0.1   0.1   0.1   0.1   0.1   0.1   0.1   0.1   0.0   0.0   0.1   0.0   0.01  0.1   0.0   0.0   0.0   0.0   0.1   0.5   0.5   0.1   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0
MEPA   2.0   1.0   0.5   0.5   1.0   1.0   5.0   0.5   0.5   4.0   2.0   3.0   2.0   3.0   2.0   2.0   3.0   3.0   2.0   5.0   5.0   2.0   2.0   1.0   5.0   0.0   0.0   0.0   0.0   0.0
MINU   1.0   0.5   1.0   0.5   0.5   2.0   2.0   3.0   0.1   0.5   0.5   0.1   0.5   1.0   2.0   1.0   2.0   1.0   1.0   2.0   1.0   2.0   1.0   1.0   3.0   0.0   0.0   0.0   0.0   0.0
MOUN   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
PEPA   0.1   0.1   1.0   0.5   0.5   0.5   0.5   0.5   4.0   0.5   1.0   1.0   1.0   0.5   0.5   1.0   0.5   1.0   1.0   0.5   2.0   1.0   1.0   0.5   2.0   0.0   0.0   0.0   0.0   0.0
PYAS   0.1   0.1   0.1   0.0   0.5   0.1   0.1   0.1   1.0   0.5   0.0   0.1   0.1   0.1   0.1   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ORSE   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
PYCH   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RUPU   0.5   0.1   0.1   1.0   1.0   0.5   0.5   0.5   1.0   0.5   4.0   1.0   1.0   2.0   2.0   1.0   3.0   1.0   2.0   3.0   5.0   3.0   1.0   0.5   4.0   0.0   0.0   0.0   0.0   0.0
TRBO   0.0   0.1   0.0   0.1   0.0   0.0   0.0   0.0   0.01  0.5   0.1   0.1   0.0   0.0   0.0   0.0   0.1   0.01  0.0   0.1   0.0   0.01  0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0
VIAM   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0
AGTR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
BRCI   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
CACA   1.0   0.01  0.5   0.1   3.0   0.5   3.0   0.5   1.0   0.1   2.0   0.5   1.0   0.1   0.5   0.1   1.0   0.5   0.1   1.0   1.0   0.1   0.1   0.01  0.5   0.0   0.0   0.0   0.0   0.0
ELGL   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ELIN   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
SCPU   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
EQAR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
EQSY   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.01  0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0
LYAN   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i
VIRE   0.0   0.5   0.0   0.0   0.0   0.5   0.1   0.1   0.1   0.5   0.1   0.1   0.1   2.0   1.0   0.5   1.0   1.0   0.5   0.5   0.5   1.0   1.0   0.5   1.0   0.0   0.0   0.0   0.0   0.0
GEAM   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
LOCA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
TAOF   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
CXSI   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
COST   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
SABE   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
POye   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
PIMA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
mint   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
GEBI   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
SAsp   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
UnkA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
LAVE   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
PIBA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RIOX   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RUsp   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
CIAR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
COAU   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
