STAND 6, SURVEY DATE: 06 Jun 1984, OBSERVERS: G.H. La Roi (#1), ROWS: 4,6,8, M.S. Ross (#3), ROWS: 0,2,4, DATA ENTRY: 14 Dec 2004 (note: GHLR used soil thermometer "Old#1", MSR used "M";
central max-min data: max 72 min 24 present 55 at 6pm;Joseph Campbell: "Masks of God", 5-vol on mythology/Renee M Ostafichuk)

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i

ABBA   0.0   0.0   5.0   0.0   0.0   3.0   0.0   8.0   1.0   8.0   8.0  15.0  12.0  17.0  17.0  28.0   7.0  25.0  25.0   8.0  12.0  18.0  28.0  25.0   8.0   0.5  20.0   5.0   8.0   5.0
BEPA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   3.0   4.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   7.0
PIGL  80.0  12.0  30.0  45.0  20.0  15.0  15.0   4.0   3.0   2.0   6.0  10.0  17.0  14.0   0.0  12.0  40.0  18.0  28.0  14.0  19.0   6.0  14.0   4.0  22.0   8.0  15.0  25.0  25.0   0.0
POBA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   6.0   0.0   0.0   0.0   0.0   0.0
POTR   0.0  20.0   5.0   0.0  30.0  30.0  30.0  35.0   0.0  10.0   8.0   9.0   0.1   0.0  14.0  15.0   0.0   0.0  12.0  22.0   0.0  23.0   0.0   0.01 20.0  10.0  20.0   0.5   0.0  30.0
AMAL   0.1   0.0   0.1   0.0   0.1   1.0   1.0   0.1   0.01  0.1   0.0   0.0   0.0   0.5   0.5   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.5
LEGR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   1.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5
LODI   1.0   0.0   0.0   0.1   0.1   0.1   0.5   0.01  0.0   0.01  0.1   0.0   0.01  0.0   0.0   0.0   0.0   0.5   0.0   0.1   0.5   0.0   0.01  0.0   0.5   0.01  0.01  0.0   0.0   0.0
LOIN   5.0   2.0   4.0   3.0   5.0  10.0   4.0   7.0   1.0   5.0  10.0   4.0   6.0   8.0   7.0   3.0   6.0   3.0   3.0   8.0   9.0   5.0   3.0   4.0   2.0   5.0   1.0   4.0   7.0  10.0
PRPE   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RIGL   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RILA   0.01  0.1   0.1   0.01  0.01  0.0   0.01  0.1   0.01  0.1   0.01  0.0   0.0   0.01  0.01  0.0   0.1   0.0   0.0   0.01  0.1   0.01  0.0   0.1   0.1   0.01  0.0   0.0   0.01  0.1
RITR   1.0   0.0   0.01  1.0   0.5   0.1   0.5   0.5   0.1   0.5   0.1   0.5   0.01  0.1   1.0   0.01  0.01  0.1   0.0   0.5   0.1   0.0   0.0   0.5   0.5   0.5   1.0   0.0   0.0   1.0
ROAC   0.0   0.0   1.0   0.5   0.1   2.0   2.0   3.0   3.0   1.0   3.0   1.0   3.0   1.0   5.0   0.5   3.0   2.0   0.5   1.0   2.0   1.0   1.0   0.1   4.0   1.0   0.5   2.0   0.5   3.0
RUID   1.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.1   0.0   0.0   1.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1
SHCA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
SYAL   0.1   0.0   0.0   0.0   1.0   0.0   0.1   0.0   0.01  0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i
VAVI   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
VIED   3.0   1.0   2.0   1.0   7.0   8.0   6.0   2.0   2.0   6.0   7.0   3.0   2.0   2.0   3.0   2.0   4.0   5.0   1.0   5.0   5.0   2.0   1.0   0.5   7.0   6.0   3.0   0.5   2.0   3.0
