STAND 6, SURVEY DATE: 30 Sep 1984, OBSERVERS: G.H. La Roi (#1), ROWS: 4,6,8, M.S. Ross (#3), ROWS: 0,2,4, DATA ENTRY: 27 Dec 2004 (note: GHLR used soil thermometer "M", MSR used "Old#1";
note:"not as 'late'as Stand 5 [cf. VIRE] protected by PIGL & ABBA; POTR foliage mixed green & yellow; Central Max-Min data Max 61F Min 21F current 55 @ 1630h"; used MSR's LOCA in 4I: "R")

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i

ABBA   0.0   0.0   5.0   0.0   0.0   4.0   0.0   6.0   2.0   5.0   6.0  32.0  14.0  20.0  18.0  37.0   6.0  30.0  30.0   6.0  12.0  20.0  22.0  33.0   6.0   3.0   9.0   4.0  10.0   5.0
BEPA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.1
PIGL  90.0   8.0  20.0  30.0  25.0  12.0  10.0   5.0   4.0   2.0  10.0  24.0  14.0  12.0   0.01 12.0  38.0  30.0  27.0   9.0  34.0   5.0  13.0   5.0  28.0   5.0   7.0  10.0   8.0   0.0
POBA   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   1.0   0.0   0.0   0.0   0.0   2.0
POTR   0.1   0.5   0.1   0.0  15.0   2.0  15.0   1.0   0.1   3.0   2.0   3.0   0.0   0.0   5.0   8.0   0.5   0.01  6.0   8.0   0.0   3.0   0.5   0.1  21.0   0.5   2.0   0.0   0.0   0.0
AMAL   0.1   0.0   0.1   0.0   0.1   0.5   1.0   0.0   0.0   0.0   0.0   0.0   0.0   1.0   0.1   0.0   0.5   0.01  0.1   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.5   0.01
LEGR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   1.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5
LODI   0.1   0.0   0.1   0.0   0.1   0.1   0.5   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.1   0.01  0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0
LOIN   4.0   1.0   4.0   2.0   4.0   7.0   3.0   9.0   2.0   2.0   4.0   0.5   2.0   2.0   3.0   0.1   2.0   2.0   0.5   3.0   6.0   2.0   1.0   1.0   0.5   4.0   1.0   2.0   4.0   3.0
PRPE   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RIGL   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RILA   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.1   0.0   0.1   0.01  0.0   0.01  0.01  0.0   0.0   0.01  0.0   0.0   0.01  0.1   0.0   0.0   0.0   0.01  0.1   0.01  0.1   0.01  0.01
RITR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.01  0.0   0.01  0.0   0.0   0.0   0.0   0.01  0.0
ROAC   3.0   0.1   2.0   0.5   0.5   1.0   1.0   1.0   2.0   0.5   2.0   1.0   2.0   0.5   2.0   1.0   2.0   1.0   0.5   1.0   2.0   1.0   1.0   0.1   2.0   2.0   0.5   2.0   0.1   0.5
RUID   2.0   0.0   0.0   0.1   0.5   0.0   0.1   0.0   0.0   0.1   0.0   0.0   0.0   0.01  0.5   0.1   0.5   0.0   0.0   2.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.1
SHCA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
SYAL   0.5   0.0   0.0   0.0   1.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i
VAVI   0.0   0.0   0.0   0.0   1.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
VIED   0.1   0.1   0.1   0.1   0.1   0.1   0.1   0.1   0.1   0.1   0.1   0.1   0.01  0.01  0.1   0.01  0.1   0.1   0.1   0.5   0.5   0.0   0.01  0.01  0.1   0.1   0.1   0.01  0.01  0.1
ACMI   0.01  0.0   0.01  0.0   0.1   0.1   0.0   0.0   0.1   0.0   0.0   0.1   0.0   0.01  0.0   0.0   0.1   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.01  0.1   0.01  0.0   0.0
ACRU   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ARNU   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ASCI   0.5   0.5   0.1   0.1   2.0   4.0   2.0   1.0   0.5   1.0   0.0   0.5   1.0   0.5   1.0   0.1   0.5   1.0   0.5   1.0   2.0   0.5   0.5   0.5   2.0   0.1   0.5   0.5   0.1   1.0
ASCO   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.1   0.01  0.1   0.1   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.1   0.1   0.01  0.1   0.0
AQBR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
COCA   8.0   6.0   6.0   1.0   7.0   3.0   5.0   3.0   9.0   2.0  10.0   4.0   6.0   3.0   7.0   2.0   4.0   4.0   2.0   6.0   6.0   3.0   3.0   0.5   9.0   5.0   4.0   4.0   3.0   8.0
COTR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
DITR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
EPAN   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
FRVE   0.0   0.01  0.1   0.1   0.0   0.0   0.1   0.0   0.0   0.0   0.1   0.01  0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.5   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0
FRVI   0.1   0.1   0.01  0.1   0.1   0.1   0.5   0.5   0.1   0.0   0.01  0.0   0.01  0.01  0.5   0.0   0.01  0.0   0.0   0.01  0.1   0.01  0.1   0.0   0.1   0.1   0.0   0.0   0.0   0.5
GABO   0.1   0.01  0.1   0.1   0.1   0.1   0.1   0.01  0.1   0.1   0.1   0.01  0.1   0.1   0.0   0.01  0.01  0.1   0.01  0.1   0.1   0.01  0.01  0.01  0.1   0.1   0.1   0.1   0.1   0.1
GATR   0.1   0.1   0.01  0.01  0.0   0.1   0.1   0.1   0.0   0.1   0.0   0.0   0.1   0.01  0.1   0.0   0.1   0.1   0.0   0.01  0.1   0.01  0.1   0.01  0.1   0.0   0.0   0.1   0.0   0.1
GORE   0.01  0.01  0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
HIUM   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
LAOC   0.1   0.0   0.1   0.0   0.1   0.1   0.5   0.1   0.01  0.0   0.1   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.01  0.1   0.0   0.0   0.0   0.0   0.1   0.01  0.0   0.0   0.0   0.5
LIBO   0.5   4.0   0.5   0.5   8.0   5.0   6.0   2.0   3.0   2.0   6.0   5.0   4.0   5.0  10.0   2.0   9.0   5.0   2.0   3.0   3.0   3.0   2.0   2.0  10.0   4.0   2.0   3.0   1.0   6.0

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i
MACA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
MEPA   1.0   1.0   1.0   0.5   1.0   2.0   4.0   0.5   0.1   0.5   2.0   3.0   2.0   2.0   1.0   0.1   2.0   1.0   1.0   3.0   3.0   0.1   1.0   0.1   2.0   3.0   3.0   1.0   1.0   0.5
MINU   2.0   2.0   5.0   2.0   4.0   4.0   3.0   4.0   1.0   2.0   4.0   4.0   3.0   3.0   3.0   2.0   2.0   1.0   3.0   3.0   4.0   2.0   2.0   1.0   5.0   2.0   0.5   0.5   2.0   1.0
MOUN   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
PEPA   0.5   0.5   1.0   0.1   0.5   0.5   0.5   0.5   1.0   0.5   2.0   0.5   0.5   0.5   0.5   0.5   0.5   1.0   0.5   0.5   1.0   0.5   0.5   0.5   1.0   0.5   0.1   1.0   0.1   0.1
PYAS   2.0   0.0   0.1   0.0   0.5   0.5   0.1   0.1   0.1   0.5   0.01  0.1   0.01  0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.1   0.0   0.1
ORSE   0.0   0.0   0.0   0.01  0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.1   0.01  0.01  0.0   0.01
PYCH   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0
RUPU   0.1   0.1   0.1   0.5   0.1   0.1   0.1   0.1   0.01  0.1   0.5   0.5   0.5   1.0   0.1   0.01  0.5   0.1   0.5   0.5   1.0   0.1   0.5   0.5   0.5   0.1   0.1   0.1   0.5   0.01
TRBO   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
VIAM   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
AGTR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
BRCI   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
CACA   0.5   0.01  0.5   0.5   1.0   0.5   1.0   0.5   0.5   0.1   1.0   0.5   0.1   0.1   0.1   0.01  0.5   0.5   0.01  1.0   0.5   0.01  0.01  0.01  0.5   0.5   0.1   0.1   0.1   0.1
ELGL   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ELIN   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.01  0.0   0.01  0.0   0.01  0.0   0.0   0.0   0.0   0.1   0.01  0.0   0.0   0.01  0.0   0.1   0.1   0.01  0.1
SCPU   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
