STAND 6, SURVEY DATES: 31 Jul [MSR], 3 Aug [GHLR] & 7 Aug [RAE] 1985, OBSERVERS: G.H. La Roi (#1), ROWS: 0,2,4, R.A. Ellis (#2), ROW: 4, M.S. Ross (#4) ROWS: 4,6,8 DATA ENTRY: 16 Feb 2005
(note: soil thermometer ID #'s not known from photocopied data sheets; central Max-Min data for previous 30 days Max=87F, Min=37F; 15% cover est by MSR in cell 8A is for PIGL not BEPA!; also 6%/8A is VIED not VAVI)
(Calibration Note: MSR data from Row 4 entered in 4a-i; RAE data from Row 4 entered in 4aa-ii; neither used in computing raw data worksheet statistics, but very useful for comparing observations!)(Used RAE 0.1% LYAN
in 4I; RAE did not measure soil temperatures; note: filename H685MTRX.AUG does NOT include RAE's cover estimates; it IS too bad all 3 observers did not make their estimates on the SAME date!)

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i    4aa   4cc   4ee   4gg   4ii

ABBA   0.0   5.0   8.0   0.0   0.0   5.0   4.0  11.0   5.0  12.0   8.0  16.0  12.0  18.0  12.0  18.0   3.0   8.0  12.0   3.0   4.0  12.0  10.0  15.0   2.0   3.0  20.0   6.0  10.0   5.0   5.0  12.0  10.0  15.0  10.0
BEPA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   5.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   3.0   0.0   0.0   5.0   0.0   0.0   0.0   0.0   4.0
PIGL  60.0   7.0  23.0  45.0  12.0  15.0  14.0  15.0   6.0   5.0   7.0  11.0  14.0   9.0   0.0  15.0  35.0  15.0  30.0  20.0  15.0   0.5   8.0   1.0  10.0   5.0  10.0  25.0  15.0   0.0   2.0   6.0   5.0   6.0   0.0
POBA   0.0   0.0   0.1   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   3.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
POTR   3.0  12.0   1.0   0.0  20.0  20.0  27.0  16.0   0.0   9.0   7.0   8.0   2.0   0.0  12.0  25.0   0.5   0.0  15.0  35.0   0.0  25.0   0.01  0.1  75.0   8.0  15.0   0.0   0.0  25.0   1.0   3.0   0.0   0.0   3.0
AMAL   2.0   0.0   0.5   0.0   0.5   4.0   3.0   1.0   0.5   1.0   0.0   0.0   0.0   0.5   1.0   0.0   0.5   0.0   0.1   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   1.0   0.5   0.0   0.0   0.0   0.5   0.5
LEGR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   2.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.5
LODI   1.0   0.0   0.5   0.1   0.0   0.5   2.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   2.0   0.1   0.0   0.1   0.5   0.1   0.1   0.0   0.1   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0
LOIN  10.0   6.0   7.0   4.0  12.0  16.0   8.0  12.0   5.0   5.0  10.0   5.0   7.0  10.0   7.0   2.0   2.0   1.0   2.0   9.0   9.0   4.0   3.0   2.0   0.5   7.0   2.0   4.0   8.0   7.0   4.0   2.0   2.0   4.0   5.0
PRPE   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RIGL   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RILA   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.1   0.0   0.1   0.0   0.01  0.0   0.1   0.1   0.01  0.1   0.0   0.1   0.01  0.1   0.01  0.0   0.5   0.1   0.0   0.0   0.0   0.1   0.1   0.0   0.1   0.0   0.1   0.1
RITR   0.0   0.1   0.5   1.0   1.0   1.0   0.5   0.1   0.1   0.5   0.0   0.5   0.0   0.5   1.0   0.0   0.0   0.0   0.1   0.5   0.5   0.01  0.01  0.5   0.1   0.5   0.5   0.1   0.1   0.5   0.0   1.0   0.1   0.5   0.0
ROAC   7.0   1.0   4.0   5.0   5.0   5.0   5.0   6.0  11.0   3.0  12.0   3.0   8.0   2.0   6.0   0.5   4.0   2.0   0.5   1.0   1.0   1.0   1.0   0.5   2.0   3.0   1.0   4.0   2.0   5.0   3.0   1.0   4.0   1.0   3.0
RUID   3.0   0.0   0.0   0.5   2.0   0.0   2.0   0.0   0.0   1.0   0.0   0.0   0.0   0.0   1.0   0.1   0.0   0.0   0.0   3.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   1.0   0.0   0.0   0.0   0.0   0.5
SHCA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
SYAL   2.0   0.0   0.0   0.0   2.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i    4aa   4cc   4ee   4gg   4ii
VAVI   0.0   0.0   0.0   0.0   1.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
