STAND 6, SURVEY DATE: 31 Aug 1985, OBSERVERS: M.S. Ross (#4), ROWS: 4,6,8, R.A. Ellis (#2), ROWS: 0,2,4, DATA ENTRY: 22 Feb 2005 (note: MSR used soil thermometer #1, RAE used ??)
RAE data from Row 4 entered in 4a-i; GHLR on sabbatical leave at NMU.  Central Max-Min data: Max=72F, Min=30F, temp 55F @ 1100h mdt; RAE record of CARO 0.01% in 0A is not accepted as of
data entry date.

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i

ABBA   0.0   2.0   5.0   0.0   0.0   5.0   1.0  10.0   3.0  17.0   3.0  20.0   4.0  15.0   5.0  10.0   1.0  15.0  20.0   3.0   3.0  15.0   8.0  22.0   3.0   7.0  12.0   5.0   8.0   5.0
BEPA   0.0   0.0   0.1   0.0   0.0   2.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   3.0   8.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   4.0
PIGL  25.0   7.0  20.0  17.0   8.0   8.0   7.0   3.0   3.0   0.5   4.0  15.0  15.0   8.0   0.1   5.0  25.0  25.0  45.0   7.0   6.0   0.5   8.0   0.5   7.0   4.0  10.0   6.0   6.0   0.0
POBA   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   5.0   0.0   0.0   0.0   0.0   0.0
POTR   0.0   5.0   0.1   0.1   8.0   7.0  10.0   8.0   0.5   5.0   6.0  20.0   0.0   0.0   5.0  20.0   0.5   0.0  12.0  50.0   0.1  30.0   0.0   0.1  60.0   2.0   5.0   0.0   0.0   3.0
AMAL   0.5   0.0   0.0   0.0   0.1   0.0   0.5   0.5   0.0   0.5   0.0   0.0   0.0   1.0   0.5   0.0   0.5   0.0   0.1   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.5   0.5
LEGR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5
LODI   0.5   0.0   0.5   0.1   0.0   0.1   0.1   0.0   0.0   0.0   0.5   0.1   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.1   0.0   0.0   0.0   0.0   0.1   0.0   0.1   0.0   0.0   0.0
LOIN   5.0   1.0   3.0   4.0   5.0   6.0   5.0   6.0   1.0   3.0   6.0   2.0   3.0   8.0   5.0   1.0   2.0   0.5   3.0   7.0  12.0   3.0   1.0   1.0   0.5   3.0   2.0   3.0   4.0   4.0
PRPE   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RIGL   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RILA   0.1   0.0   0.0   0.0   0.0   0.0   0.1   0.1   0.0   0.1   0.0   0.01  0.0   0.1   0.0   0.0   0.1   0.0   0.01  0.0   0.01  0.01  0.0   0.01  0.0   0.0   0.0   0.0   0.1   0.1
RITR   0.1   0.0   0.0   0.5   0.5   0.0   0.5   0.1   0.0   0.1   0.0   0.1   0.01  0.0   0.1   0.0   0.0   0.1   0.0   0.5   0.1   0.01  0.0   0.01  0.1   0.5   0.5   0.0   0.5   0.1
ROAC   4.0   0.0   2.0   3.0   1.0   3.0   3.0   3.0   4.0   2.0   4.0   1.0   3.0   1.0   2.0   0.5   2.0   0.5   0.5   1.0   0.5   1.0   0.5   0.5   0.5   4.0   1.0   2.0   1.0   4.0
RUID   1.0   0.0   0.0   0.1   0.5   0.0   0.5   0.0   0.0   0.5   0.0   0.0   0.0   0.0   1.0   0.0   0.5   0.0   0.0   3.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5
