STAND 6, SURVEY DATE: 29 Jul 1988, OBSERVERS: G.H. & N.B. La Roi (#1), ROWS: 2,4,6, D.A. Chesterman (#5), ROWS: 0,4,8, DATA ENTRY: 21 Dec 2005 (note: GHLR used soil thermometer"Old#1"
DAC used "#M"; Birds: BCCH,PISI,WWCR,RBNU; Max-Min data: SW Max 29C Min 6 Present 22 @1556h mdt, Central Max 82F Min 42 Present 70 @1515h, NE Max 84 Min 42 Present 70 @1559h; DAC cover
data from Row 4 entered in 4a-i below for calibration uses)

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i

ABBA   0.0   0.1   8.0   0.0   0.0   7.0  10.0  17.0   6.0  15.0   9.0  19.0  17.0  19.0  19.0  30.0   8.0  21.0  21.0   8.0   7.0  20.0  16.0  20.0   2.0   9.0  22.0  11.0  22.0  12.0
BEPA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   3.0   3.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   4.0
PIGL  30.0   8.0  22.0  20.0   9.0  20.0  20.0  14.0  13.0   7.0  10.0  20.0  22.0  18.0   0.0  12.0  50.0  32.0  22.0  12.0  14.0   4.0  13.0   3.0  15.0   4.0   9.0  12.0  15.0   0.0
POBA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   4.0   0.0   0.0   0.0   0.0   0.0
POTR   0.5   6.0   2.0   2.0  14.0  20.0  17.0  18.0   2.0  11.0   6.0   7.0   0.01  0.0  16.0  16.0   0.01  0.0   2.0  20.0   0.01 12.0   0.5   0.0  20.0   5.0   8.0   0.1   0.0  14.0
AMAL   0.5   0.0   0.1   0.0   0.1   2.0   1.0   0.5   0.5   0.0   0.0   0.0   0.0   1.0   0.5   0.0   0.1   0.0   0.1   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   1.0   0.5
LEGR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   2.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5
LODI   0.0   0.0   0.0   0.0   0.5   0.0   0.5   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0
LOIN   8.0   2.0   5.0   3.0   4.0  10.0  11.0   8.0   3.0   6.0   7.0   2.0   3.0   9.0   4.0   2.0   3.0   2.0   3.0   9.0   5.0   3.0   2.0   3.0   1.0   4.0   2.0   2.0   5.0   4.0
PRPE   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RIGL   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RILA   0.5   0.0   0.5   0.0   0.0   0.0   0.5   0.5   0.0   0.1   0.0   0.0   0.0   0.01  0.1   0.0   0.1   0.0   0.0   0.01  0.1   0.01  0.01  0.1   0.0   0.0   0.0   0.0   0.1   0.1
RITR   0.0   0.01  0.0   0.01  0.0   0.01  0.5   0.1   0.0   0.1   0.1   0.01  0.1   0.01  0.5   0.0   0.1   0.1   0.01  0.01  0.0   0.0   0.0   0.1   0.01  0.0   0.1   0.1   0.1   0.5
ROAC   2.0   0.5   2.0   0.1   0.1   4.0   6.0   4.0   8.0   3.0   9.0   1.0   5.0   1.0   7.0   2.0   4.0   1.0   0.5   4.0   2.0   0.5   1.0   0.5   2.0   4.0   1.0   3.0   1.0   4.0
RUID   2.0   0.0   0.0   1.0   1.0   0.0   1.0   0.0   0.0   2.0   0.0   0.0   0.0   0.0   0.5   0.5   0.0   0.0   0.0   2.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5
SHCA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
SYAL   1.0   0.0   0.0   0.0   1.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i
VAVI   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
VIED   4.0   0.5   2.0   0.5   3.0   5.0   8.0   3.0   3.0   4.0   9.0   2.0   1.0   3.0   2.0   0.5   7.0   4.0   0.5   6.0   3.0   0.5   1.0   0.5   3.0   3.0   0.5   0.1   2.0   3.0
ACMI   0.01  0.0   0.01  0.0   0.01  0.1   0.1   0.0   0.1   0.0   0.1   0.1   0.1   0.0   0.0   0.0   0.5   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.01  0.1   0.1   0.01  0.0
ACRU   0.5   0.0   0.5   0.1   0.0   0.5   2.0   2.0   0.0   0.5   0.0   0.01  0.1   0.0   0.0   0.0   0.5   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.1   0.1   0.0   0.0
ARNU   6.0   5.0   5.0   4.0   4.0  11.0  12.0   7.0   3.0   6.0  11.0   4.0   3.0   3.0   9.0   3.0   3.0   1.0   2.0  10.0   2.0   0.1   0.0   0.5   6.0   6.0   3.0   2.0   1.0   6.0
ASCI   4.0   5.0   3.0   2.0   3.0   4.0   5.0   3.0   2.0   3.0   0.5   2.0   1.0   2.0   2.0   0.5   1.0   0.5   0.5   3.0   1.0   0.5   0.1   0.5   1.0   0.5   0.5   0.0   0.5   0.5
