STAND 6, SURVEY DATE: 31 Jul 1990, OBSERVERS: G.H. & N.B. La Roi (#1), ROWS: 0,2,4,6,8, DATA ENTRY: 22 Feb 2006 (note: GHLR used soil thermometer Old#1; no birds noted; Met data Max-Mins
SW Max 32C Min 6 Present 27 @1325h mdt, Central Max 86F Min 42 Present 78 @1500h, NE Max 87F Min 43 Present 78 @1630h; no marginal notes or rain gauge data)

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i

ABBA   0.0   7.0   8.0   0.0   0.0   9.0   9.0  12.0   5.0  12.0  16.0  11.0  11.0  24.0  14.0  30.0   6.0  18.0  23.0   7.0  12.0  25.0  25.0  30.0   8.0   0.0   0.0   0.0   0.0   0.0
BEPA   0.0   0.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   4.0   7.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
PIGL  55.0   7.0  22.0  36.0  12.0  15.0  12.0  14.0   3.0   7.0  11.0  23.0  17.0  14.0   0.0   8.0  23.0  20.0  23.0  11.0  20.0   4.0   9.0   2.0  21.0   0.0   0.0   0.0   0.0   0.0
POBA   0.0   0.0   0.1   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   4.0   0.0   0.0   0.0   0.0   0.0
POTR   0.0  12.0   0.0   0.0  14.0  15.0  27.0  20.0   0.0   8.0   2.0   8.0   0.0   1.0   5.0  11.0   0.0   0.0   0.0  19.0   0.0  15.0   0.0   0.0  24.0   0.0   0.0   0.0   0.0   0.0
AMAL   1.0   0.0   0.0   0.0   0.0   2.0   1.0   1.0   0.5   0.0   0.0   0.0   0.0   1.0   0.5   0.0   0.5   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
LEGR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
LODI   1.0   0.0   0.0   0.1   1.0   0.0   1.0   0.0   0.0   0.1   0.5   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   1.0   0.5   0.0   0.01  0.1   0.5   0.0   0.0   0.0   0.0   0.0
LOIN   8.0   5.0   7.0   6.0  12.0  12.0  10.0  13.0   5.0   6.0   7.0   3.0   3.0   6.0   5.0   3.0   4.0   2.0   2.0   9.0   5.0   3.0   2.0   4.0   4.0   0.0   0.0   0.0   0.0   0.0
PRPE   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RIGL   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RILA   0.5   0.0   0.1   0.0   0.1   0.0   0.5   0.1   0.0   0.1   0.1   0.1   0.1   0.1   0.01  0.0   0.5   0.0   0.0   0.1   0.1   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0
RITR   1.0   0.5   0.5   0.5   1.0   1.0   2.0   1.0   0.5   0.0   1.0   0.5   0.0   0.1   0.5   0.0   0.0   0.1   0.0   1.0   0.0   0.1   0.1   0.1   0.0   0.0   0.0   0.0   0.0   0.0
ROAC  10.0   1.0   4.0   2.0   5.0   6.0   6.0   7.0   8.0   3.0   5.0   1.0   3.0   0.5   6.0   0.5   3.0   2.0   0.5   5.0   2.0   2.0   1.0   0.5   2.0   0.0   0.0   0.0   0.0   0.0
RUID   2.0   0.0   0.0   2.0   1.0   0.0   2.0   0.0   0.0   1.0   0.0   0.0   0.0   0.0   0.5   0.5   0.0   0.0   0.0   2.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
