STAND 7, SURVEY DATE: 02 Jul 1983, OBSERVERS: G.H. La Roi (#1), ROWS: 4,6,8, M.S. Ross (#3), ROWS: 0,2, DATA ENTRY: 03 Feb 1999 (note: GHLR used soil thermometer #1, MSR used ??)
 Note: sedge sketches at bottom of page 2)

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i

LALA   2.0   4.0   0.1   0.1   0.0   0.0   0.1   3.0   0.1   0.5   4.0   0.5   0.1   0.1   0.0   3.0   0.0   6.0   0.5   2.0   1.0   1.0   0.5   0.1   0.1   0.0   0.0   0.0   0.0   0.0
PIMA  15.0   9.0  18.0  20.0  15.0  13.0  15.0  10.0  18.0  20.0  23.0  30.0  17.0  30.0  20.0  30.0  30.0  35.0  30.0  20.0  20.0  10.0  12.0  20.0  24.0   0.0   0.0   0.0   0.0   0.0
ANPO   1.0   0.5   0.5   0.5   0.1   0.5   1.0   0.1   0.1   0.0   2.0   1.0   0.5   2.0   2.0   1.0   1.0   1.0   1.0   2.0   3.0   3.0   2.0   1.0   2.0   0.0   0.0   0.0   0.0   0.0
BEPU   4.0   1.0   2.0   3.0   2.0   2.0   1.0   5.0   0.5   0.5   0.5   1.0   4.0   3.0   3.0   3.0   1.0   4.0   4.0   2.0   3.0   6.0   7.0   1.0   1.0   0.0   0.0   0.0   0.0   0.0
LEGR   0.0   0.1   5.0   2.0   6.0   4.0   7.0   1.0   8.0   8.0   7.0   5.0   3.0   7.0   4.0   3.0  13.0  15.0   4.0   9.0   0.0   0.0   3.0  16.0   9.0   0.0   0.0   0.0   0.0   0.0
LOCA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   1.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
OXMI   0.0   0.1   0.1   0.1   0.1   0.1   0.1   0.5   0.5   0.01  2.0   1.0   0.5   0.5   2.0   0.0   0.1   0.5   0.0   1.0   0.0   0.0   0.0   0.5   0.1   0.0   0.0   0.0   0.0   0.0
SAAR   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.0   2.0   3.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
SABE   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
SACA   1.0   0.1   0.5   0.5   0.5   0.5   0.5   0.5   0.0   0.1   0.0   1.0   0.5   0.0   2.0   0.5   1.0   1.0   1.0   0.5   0.5   1.0   0.1   0.01  0.1   0.0   0.0   0.0   0.0   0.0
SAMY   0.0   0.5   1.0   1.0  10.0   2.0   6.0   0.0   2.0   4.0   7.0   4.0   0.0   5.0   0.0   1.0   3.0   0.5   0.0   9.0   0.0   0.0   0.0   4.0   5.0   0.0   0.0   0.0   0.0   0.0
SAPE   0.5   1.0   0.5   0.1   0.5   1.0   0.1   1.0   1.0   0.0   0.5   0.1   1.0   3.0   0.5   0.5   0.5   2.0   1.0   0.5   2.0   2.0   1.0   1.0   0.5   0.0   0.0   0.0   0.0   0.0
VAMY   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
VAVI   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.1   0.5   0.0   0.0   0.0   0.0   0.0   0.0   1.0   2.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ASBO   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0
CARO   0.0   0.1   0.01  0.0   0.0   0.1   0.01  0.01  0.01  0.01  0.01  0.0   0.0   0.01  0.0   0.01  0.01  0.1   0.1   0.0   0.01  0.01  0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0
COTR   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i
DRRO   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.1   0.01  0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0
GALA   0.0   0.01  0.1   0.0   0.0   0.0   0.0   0.01  0.01  0.01  0.0   0.01  0.1   0.0   0.1   0.01  0.0   0.01  0.01  0.01  0.1   0.1   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0
GELI   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.01  0.0   0.5   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
HAHY   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.1   0.0   0.0   0.0   0.0   0.0
LIBO   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   1.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
METR   2.0   3.0   3.0   2.0   0.5   0.0   1.0   3.0   0.5   0.0   0.0   1.0   2.0   1.0   2.0   2.0   0.5   1.0   1.0   1.0   2.0   3.0   3.0   1.0   2.0   0.0   0.0   0.0   0.0   0.0
MINU   0.0   0.1   0.0   0.1   0.0   0.0   0.0   0.0   0.1   0.1   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ORRO   0.1   0.5   0.0   0.5   0.1   0.1   0.1   0.0   0.1   0.0   0.0   0.0   0.5   1.0   0.1   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.01  1.0   0.0   0.0   0.0   0.0   0.0
PAPA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0
POPA   0.5   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.1   0.5   0.1   2.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ORSE   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0
