STAND 7, SURVEY DATE: 05 Jul 1984, OBSERVERS: G.H. La Roi (#1), ROWS: 0,2,4, M.S. Ross (#3), ROWS: 4,6,8, DATA ENTRY: 03 Apr 1999 (note: GHLR used thermometer "Old #1", MSR used "M"; MSR surveyed Row 4A-E on 3 Jul;
        MSR data for Row 4 entered in 4a-i below; IMPORTANT NOTE on MSR data sheet: "For previous months [83 & 84] change CXDI to CXIN in Mike Ross's data"; THIS ACTION HAS NOT BEEN TAKEN TO DATE)

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i

LALA   3.0   5.0   0.5   0.0   0.5   0.01  0.5   4.0   0.1   0.5   2.0   1.0   0.5   0.01  0.1   0.5   0.5   5.0   0.0   0.1   0.5   0.5   0.1   0.0   0.1   1.0   0.5   0.1   0.0   0.0
PIMA  20.0  12.0  24.0  27.0  20.0  23.0  18.0  15.0  30.0  21.0  20.0  20.0  17.0  23.0  12.0   8.0  18.0  15.0  22.0  23.0   9.0   4.0   6.0  12.0  20.0  13.0  18.0   7.0  20.0   7.0
ANPO   2.0   1.0   0.5   2.0   1.0   1.0   1.0   0.5   0.1   0.5   0.5   0.1   1.0   2.0   0.5   0.5   0.5   0.1   0.1   1.0   2.0   2.0   2.0   0.5   1.0   0.5   0.5   2.0   2.0   0.5
BEPU   3.0   1.0   1.0   2.0   2.0   2.0   1.0   3.0   0.5   2.0   0.5   2.0   4.0   1.0   3.0   4.0   6.0   4.0   2.0   5.0   6.0   7.0   8.0   1.0   1.0   0.5   2.0   6.0   2.0   4.0
LEGR   0.0   2.0   7.0   3.0  10.0   8.0  11.0   2.0  12.0   8.0   9.0   5.0   3.0   5.0   3.0   4.0   2.0   7.0   5.0   4.0   0.0   0.0   0.5   7.0   4.0   9.0   3.0   1.0   3.0   2.0
LOCA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   2.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0
OXMI   0.0   1.0   0.5   0.5   1.0   1.0   2.0   1.0   1.0   0.0   1.0   1.0   0.5   0.5   1.0   0.1   0.0   0.5   0.5   0.0   0.0   0.0   0.01  1.0   0.0   0.1   3.0   2.0   0.1   1.0
SAAR   0.0   0.0   0.0   0.0   1.0   0.0   1.0   0.0   0.0   1.0   0.0   2.0   0.0   0.0   0.0   0.0   0.0   0.0   2.0   1.0   0.0   0.0   0.0   0.0   0.0   0.0   1.0   0.0   0.5   0.0
SABE   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
