STAND 7, SURVEY DATE: 05 Jun 1984, OBSERVERS: G.H. La Roi (#1), ROWS: 4,6,8, M.S. Ross (#3), ROWS: 0,2,4, DATA ENTRY: 02 Apr 1999 (note: GHLR used soil thermometer "Old#1", MSR used "M"?; MSR data for Row 4 in 4a-i below;
 there is amazing agreement between many of the GHLR and MSR estimates in Row 4)

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i

LALA   3.0   4.0   0.01  0.0   0.0   0.0   0.01  6.0   0.5   0.0   4.0   0.5   1.0   0.0   0.0   2.0   0.0   4.0   1.0   2.0   1.0   2.0   0.5   0.1   0.5   1.0   0.0   0.1   0.0   0.01
PIMA  12.0   9.0  15.0  25.0  14.0  20.0  25.0   8.0  18.0  20.0  19.0  28.0  15.0  27.0  17.0  20.0  25.0  25.0  19.0  13.0  16.0   8.0  13.0  18.0  20.0  16.0  20.0   7.0  14.0  10.0
ANPO   0.5   2.0   0.5   3.0   1.0   1.0   2.0   1.0   0.5   0.5   1.0   1.0   2.0   1.0   1.0   2.0   1.0   0.5   1.0   1.0   3.0   2.0   2.0   1.0   1.0   0.5   1.0   2.0   1.0   1.0
BEPU   2.0   1.0   0.5   1.0   1.0   0.5   2.0   2.0   0.5   0.5   0.5   0.5   3.0   3.0   4.0   4.0   2.0   3.0   4.0   2.0   5.0  10.0   7.0   1.0   1.0   0.1   1.0   2.0   3.0   4.0
LEGR   0.01  0.5   3.0   0.01  3.0   3.0   5.0   0.5   5.0   3.0   7.0   8.0   3.0   6.0   3.0   6.0  12.0   8.0   2.0   8.0   0.0   0.0   2.0  14.0   6.0   3.0   1.0   0.0   3.0   1.0
LOCA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   1.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
OXMI   0.1   0.1   1.0   0.0   1.0   0.5   2.0   2.0   1.0   0.5   0.0   1.0   0.1   0.1   1.0   0.0   0.5   1.0   0.1   1.0   0.0   0.0   0.0   0.5   0.1   0.0   2.0   1.0   0.5   2.0
SAAR   0.0   0.5   0.1   0.0   0.5   0.0   0.0   0.0   1.0   0.1   0.0   1.0   0.0   0.0   0.0   2.0   1.0   1.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.0   0.5   0.0
SABE   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
SACA   0.5   0.01  0.0   0.01  1.0   0.5   0.0   0.1   0.0   0.0   0.01  0.01  0.01  0.01  0.5   0.01  0.5   0.01  0.01  1.0   0.01  0.01  0.1   0.01  0.1   0.0   0.5   0.1   0.1   0.5
SAMY   0.0   0.0   0.5   1.0   3.0   0.5   1.0   0.0   0.1   5.0   4.0   4.0   0.0   2.0   0.0   3.0   3.0   0.0   0.5   6.0   0.0   0.0   0.0   4.0   3.0   6.0   4.0   0.0   4.0   0.5
SAPE   0.5   0.5   0.5   0.5   0.0   0.1   0.5   0.5   1.0   0.0   0.0   0.1   0.5   2.0   0.1   1.0   0.01  0.1   0.5   1.0   2.0   2.0   0.5   0.5   0.5   0.01  0.0   0.5   0.0   0.5
VAMY   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
VAVI   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   1.0   0.5   1.0   0.0   0.0   0.0   0.0   0.0   0.0   2.0   2.0   0.0   0.0   0.0   0.0   0.0   0.1   0.1   0.0   0.0   0.0
ASBO   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
CARO   0.01  0.01  0.0   0.0   0.0   0.01  0.0   0.1   0.0   0.0   0.0   0.0   0.1   0.1   0.0   0.01  0.01  0.01  0.01  0.0   0.01  0.1   0.1   0.0   0.01  0.1   0.0   0.1   0.1   0.0
COTR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i
DRRO   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.01  0.0   0.0
GALA   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.01  0.1   0.01  0.0   0.0   0.0   0.0   0.01  0.0   0.01
GELI   0.0   0.0   0.0   0.0   0.01  0.01  0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.01  0.0   0.01  0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.01  0.0
HAHY   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
LIBO   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
METR   0.1   0.1   0.1   0.0   0.0   0.0   0.0   0.1   0.01  0.0   0.0   0.01  0.01  0.01  0.01  0.0   0.0   0.01  0.01  0.0   0.01  0.01  0.01  0.1   0.01  0.0   0.0   0.0   0.0   0.0
MINU   0.0   0.01  0.01  0.1   0.0   0.0   0.0   0.0   0.1   0.1   0.01  0.1   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.1   0.1   0.0   0.0   0.0
ORRO   0.1   0.1   0.0   2.0   0.1   0.5   0.01  0.0   0.1   0.0   0.0   0.0   0.1   0.1   0.01  0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.5   0.0   0.0   0.1   0.1   0.01
PAPA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
POPA   0.1   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.01  0.5   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ORSE   0.0   0.01  0.1   0.1   0.1   0.1   0.01  0.1   0.01  0.0   0.01  0.0   0.01  0.1   0.0   0.0   0.0   0.1   0.0   0.01  0.0   0.0   0.0   0.0   0.1   0.01  0.01  0.01  0.5   0.0
PYCH   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RUAC   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
SMTR   0.5   0.5   0.1   0.0   0.01  0.1   0.1   0.5   0.5   0.1   0.1   1.0   0.5   0.5   0.1   0.1   0.5   0.5   0.5   1.0   2.0   1.0   2.0   0.5   0.5   0.1   0.5   0.1   0.5   0.1
SPRO   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
TOGL   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
CACA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
CXDI   0.5   0.0   0.0   0.1   0.5   0.0   0.0   0.5   0.1   0.0   0.0   0.1   1.0   0.1   0.0   0.0   0.0   0.0   0.5   0.5   0.5   0.5   0.5   0.1   0.1   0.0   0.0   0.5   0.0   0.0
CXGY   8.0   2.0   3.0   1.0   1.0   3.0   0.5   1.0   1.0   2.0   2.0   3.0   3.0   4.0   3.0   3.0   2.0   3.0   3.0   1.0   5.0   4.0   2.0   2.0   5.0   1.0   3.0   2.0   0.5   3.0
CXIN   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i
CXLI   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
CXAQ   3.0   5.0   4.0   2.0   3.0   2.0   2.0   6.0   2.0   2.0   3.0   2.0   4.0   3.0   4.0   4.0   2.0   3.0   3.0   2.0   3.0   3.0   4.0   2.0   1.0   3.0   2.0   4.0   3.0   4.0
TRMA   0.1   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.01
EQFL   0.1   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.01  0.01  0.01  0.0   0.01  0.01  0.01  0.0   0.01  0.01  0.01  0.01  0.01  0.01  0.1   0.0   0.01  0.01  0.0
EQSC   0.0   0.1   0.1   0.0   0.1   0.01  0.0   0.0   0.0   0.01  0.5   0.01  0.01  0.1   0.1   0.01  0.01  0.1   0.01  0.5   0.1   0.01  0.01  0.1   0.1   0.1   0.01  0.0   0.0   0.1
MUGL   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ARUV   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ERGR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ARLA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
EPPA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
CXYL   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   1.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   1.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
CXSO   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
CAIN   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
PIGL   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
CXRO   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
       0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
Temp  55.0  54.0  63.0  45.0  55.0  64.0  53.0  51.0  47.0  46.0  51.0  56.0  46.0  50.0  57.0  43.0  64.0  44.0  56.0  47.0  53.0  43.0  50.0  44.0  53.0  52.0  52.0  46.0  59.0  38.0

