STAND 7, SURVEY DATE: 03 Aug 2005, OBSERVER: G.H. La Roi (#1), ROWS: 0,2,4,6,8, DATA ENTRY: 17 May 2011 (note: GHLR used soil thermometer Old#1; N.B. La Roi recorder; METR very lush
green, SMTR starting to turn yellow; Leopard Frog seen; birds BCCH,CAJA,AMCR,RTHU; Start 0910h Finish 1320h mdt; photos taken; new species = PYAS>

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i

LALA   6.0   5.0   0.01  0.01  0.01  0.01  0.01  0.01  2.0   0.0   3.0   0.0   0.1   0.1   0.0   5.0   0.0   8.0   1.0   3.0   4.0   7.0   3.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
PIMA  18.0   8.0  16.0  22.0  17.0  19.0  24.0  18.0  20.0  20.0  18.0  23.0  15.0  22.0  14.0  16.0  20.0  23.0  20.0  19.0  12.0  10.0  13.0  23.0  20.0   0.0   0.0   0.0   0.0   0.0
ANPO   0.1   0.01  0.01  0.1   0.01  0.1   0.01  0.01  0.01  0.0   0.0   0.01  0.1   0.1   0.01  0.1   0.1   0.01  0.1   0.01  0.1   0.1   0.5   0.01  0.1   0.0   0.0   0.0   0.0   0.0
BEPU   2.0   2.0   1.0   0.5   0.1   1.0   0.5   1.0   0.1   0.1   0.1   0.5   2.0   1.0   2.0   0.5   0.5   0.5   1.0   0.5   0.5   5.0   4.0   0.1   1.0   0.0   0.0   0.0   0.0   0.0
LEGR   1.0   2.0   5.0   5.0   8.0   8.0   8.0   3.0   8.0   8.0   9.0   6.0   4.0   9.0   3.0   6.0  11.0   3.0   3.0   6.0   0.5   0.0   3.0  11.0   6.0   0.0   0.0   0.0   0.0   0.0
LOCA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
OXMI   0.01  0.01  0.01  0.1   0.01  0.1   0.01  0.01  0.01  0.0   0.01  0.0   0.01  0.1   0.01  0.1   0.01  0.01  0.01  0.01  0.0   0.0   0.0   0.1   0.01  0.0   0.0   0.0   0.0   0.0
SAAR   0.0   0.0   0.0   0.0   0.1   0.1   0.0   0.0   0.0   0.0   0.0   1.0   0.0   0.0   0.0   0.1   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0
SABE   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   1.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
SACA   0.5   0.1   0.5   0.1   0.1   0.1   0.0   0.1   0.1   0.01  0.0   0.01  0.1   0.0   0.1   0.1   0.0   0.1   0.1   0.1   0.1   0.1   0.1   0.0   0.1   0.0   0.0   0.0   0.0   0.0
SAMY   0.0   0.5   1.0   1.0   1.0   0.1   2.0   0.0   1.0   1.0   1.0   0.5   0.0   0.1   0.0   0.0   0.5   0.0   0.0   1.0   0.0   0.0   0.0   2.0   0.5   0.0   0.0   0.0   0.0   0.0
SAPE   0.1   0.1   0.5   0.01  1.0   0.1   0.1   0.01  0.0   0.1   0.01  0.0   0.1   1.0   0.1   0.1   0.0   0.0   0.01  0.01  0.01  0.1   0.1   0.1   0.01  0.0   0.0   0.0   0.0   0.0
VAMY   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
VAVI   0.0   0.01  0.0   0.01  0.01  0.0   0.0   0.01  0.1   0.1   0.1   0.5   0.0   0.0   0.01  0.0   0.0   0.01  0.1   0.5   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0
ASBO   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
CARO   0.0   0.0   0.0   0.0   0.01  0.01  0.01  0.01  0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.01  0.01  0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0
COTR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i
DRRO   0.0   0.01  0.0   0.1   0.01  0.01  0.01  0.01  0.0   0.0   0.0   0.1   0.0   0.01  0.1   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.01  0.01  0.0   0.0   0.0   0.0   0.0
GALA   0.01  0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.01  0.0   0.01  0.0   0.0   0.0   0.01  0.01  0.01  0.1   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0
GELI   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.01  0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
HAHY   0.0   0.0   0.1   0.0   0.0   0.01  0.0   0.01  0.01  0.0   0.0   0.01  0.1   0.0   0.1   0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.0   0.01  0.1   0.0   0.0   0.0   0.0   0.0
LIBO   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
METR   4.0   3.0   3.0   3.0   0.0   0.0   1.0   3.0   2.0   0.0   0.0   4.0   2.0   2.0   2.0   3.0   5.0   1.0   3.0   1.0   5.0   7.0   4.0   1.0   3.0   0.0   0.0   0.0   0.0   0.0
MINU   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.01  0.0   0.0   0.0   0.0   0.1   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ORRO   1.0   0.5   1.0   1.0   0.1   0.5   0.0   0.5   0.0   0.1   0.0   0.0   0.1   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   1.0   0.0   0.0   0.0   0.0   0.0
PAPA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
POPA   0.1   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   1.0   1.0   2.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ORSE   0.01  0.01  0.01  0.01  0.0   0.01  0.0   0.0   0.01  0.0   0.01  0.0   0.0   0.0   0.0   0.1   0.0   0.1   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
PYCH   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RUAC   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
SMTR   2.0   3.0   1.0   1.0   0.5   1.0   1.0   1.0   1.0   2.0   0.5   2.0   1.0   1.0   0.5   1.0   1.0   4.0   2.0   2.0   2.0   2.0   2.0   0.5   2.0   0.0   0.0   0.0   0.0   0.0
SPRO   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.01  0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
TOGL   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
CACA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
CXDI   0.0   0.01  0.0   0.01  0.0   0.01  1.0   1.0   0.1   0.1   0.5   0.5   1.0   0.5   1.0   0.1   0.1   0.5   1.0   1.0   1.0   2.0   1.0   0.1   0.1   0.0   0.0   0.0   0.0   0.0
CXGY   2.0   0.5   0.5   1.0   0.5   1.0   1.0   1.0   0.5   0.5   0.5   0.5   0.5   0.1   0.5   1.0   0.1   0.5   0.5   0.1   1.0   2.0   1.0   0.5   2.0   0.0   0.0   0.0   0.0   0.0
CXIN   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i
CXLI   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
CXAQ   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
TRMA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.01  0.1   0.1   0.1   0.0   0.0   0.0   0.0   0.1   0.0   0.1   0.1   0.0   0.0   0.0   0.0   0.0
EQFL   0.1   0.1   0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.1   0.1   0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.1   0.1   0.1   0.1   0.0   0.0   0.0   0.0   0.0
EQSC   0.0   0.1   0.1   0.1   0.1   0.01  0.0   0.01  0.01  0.01  0.01  0.01  0.0   0.1   0.01  0.01  0.01  0.01  0.0   0.01  0.01  0.01  0.0   0.01  0.01  0.0   0.0   0.0   0.0   0.0
MUGL   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ARUV   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ERGR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ARLA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
EPPA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
CXYL   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
CXSO   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
CAIN   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.01  0.0   0.01  0.01  0.01  0.01  0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
PIGL   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
CXRO   3.0   3.0   2.0   2.0   1.0   2.0   1.0   1.0   1.0   0.1   0.0   0.5   0.5   0.1   0.1   0.1   0.0   0.0   0.1   0.1   0.1   0.1   0.01  0.5   0.1   0.0   0.0   0.0   0.0   0.0
