STAND 7, SURVEY DATE: 03 Aug 2010, OBSERVER: G.H. La Roi (#1), ROWS: 0,2,4,6,8, DATA ENTRY: 17 May 2011 (note: GHLR used soil thermometer Old#1; recorder L. Chittick; start 0948h finish
1603h mdt [incl lunch 1252-1412h]; LALA, BEPU & SAAR Deer/Hare-browsed; SMTR turning yellow; TRMA & EQFL grazed; EPPA collected in 2A & 8G; PYAS [new species] chlorotic; photos taken;
cloudy-showery weather slowed the survey down to ca. 1 hour/row]

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i

LALA  12.0   9.0   0.5   0.1   0.01  0.01  0.01  0.01  3.0   0.0   3.0   0.01  1.0   0.01  0.0   5.0   0.0   6.0   2.0   5.0   7.0  11.0   7.0   0.5   0.01  0.0   0.0   0.0   0.0   0.0
PIMA  30.0  12.0  20.0  24.0  20.0  25.0  20.0  25.0  18.0  30.0  18.0  28.0  16.0  17.0  15.0  18.0  27.0  26.0  29.0  20.0  16.0  13.0  17.0  27.0  30.0   0.0   0.0   0.0   0.0   0.0
ANPO   0.1   0.1   0.1   0.1   0.1   0.1   0.1   0.1   0.1   0.01  0.01  0.01  0.1   0.1   0.1   0.1   0.1   0.01  0.1   0.1   0.5   0.5   0.5   0.1   0.1   0.0   0.0   0.0   0.0   0.0
BEPU   2.0   2.0   1.0   0.5   0.1   1.0   0.5   1.0   0.1   0.1   0.1   0.5   1.0   1.0   1.0   0.5   0.1   0.5   1.0   0.1   0.5   3.0   5.0   1.0   1.0   0.0   0.0   0.0   0.0   0.0
LEGR   2.0   3.0   7.0   3.0   7.0   5.0   6.0   3.0   7.0   8.0   4.0   4.0   2.0   6.0   4.0   7.0   7.0   4.0   4.0   7.0   2.0   1.0   3.0   6.0   5.0   0.0   0.0   0.0   0.0   0.0
LOCA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
OXMI   0.01  0.01  0.01  0.1   0.01  0.1   0.01  0.1   0.01  0.01  0.0   0.01  0.1   0.1   0.1   0.1   0.01  0.01  0.01  0.1   0.0   0.1   0.0   0.01  0.01  0.0   0.0   0.0   0.0   0.0
SAAR   0.0   0.5   0.0   0.0   0.1   0.01  0.5   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
SABE   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.1   0.0   0.5   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.1   2.0   0.0   0.0   0.0   0.0   0.0
SACA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
SAMY   0.0   0.1   1.0   1.0   1.0   1.0   1.0   0.0   1.0   2.0   0.5   1.0   0.0   0.5   0.0   0.0   0.1   0.0   0.0   1.0   0.0   0.0   0.0   1.0   1.0   0.0   0.0   0.0   0.0   0.0
SAPE   0.5   0.5   0.0   0.1   0.0   0.1   0.5   0.1   0.0   0.1   0.0   0.0   0.1   0.01  0.5   0.1   0.0   0.01  0.01  0.0   0.0   0.5   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0
VAMY   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
VAVI   0.0   0.1   0.0   0.1   0.01  0.01  0.0   0.0   0.5   0.1   0.1   0.1   0.0   0.01  0.01  0.0   0.01  0.1   0.1   0.5   0.1   0.1   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0
ASBO   0.0   0.01  0.0   0.01  0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
CARO   0.0   0.01  0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.01  0.0   0.01  0.0   0.01  0.0   0.01  0.0   0.0   0.0   0.0   0.0
COTR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i
DRRO   0.0   0.0   0.0   0.0   0.01  0.01  0.01  0.01  0.0   0.0   0.0   0.0   0.01  0.0   0.01  0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
GALA   0.1   0.01  0.01  0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.01  0.01  0.0   0.01  0.0   0.0   0.0   0.01  0.0   0.01  0.01  0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0
GELI   0.0   0.0   0.1   0.01  0.0   0.01  0.0   0.0   0.0   0.0   0.01  0.01  0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
HAHY   0.1   0.1   0.01  0.0   0.01  0.01  0.01  0.1   0.0   0.0   0.0   0.01  0.1   0.0   0.1   0.01  0.01  0.0   0.1   0.0   0.0   0.5   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0
LIBO   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
METR   6.0   2.0   3.0   3.0   0.01  0.1   1.0   4.0   3.0   1.0   0.0   3.0   2.0   4.0   4.0   4.0   5.0   2.0   4.0   4.0  10.0   6.0   3.0   4.0   4.0   0.0   0.0   0.0   0.0   0.0
MINU   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.01  0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.1   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ORRO   1.0   1.0   0.5   0.5   0.1   0.1   0.1   0.1   0.0   0.0   0.0   0.0   0.1   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
PAPA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
POPA   0.5   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.1   0.1   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ORSE   0.1   0.1   0.1   0.01  0.01  0.01  0.1   0.01  0.01  0.01  0.01  0.0   0.01  0.1   0.0   0.01  0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0
PYCH   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RUAC   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
