STAND 8, SURVEY DATE: 25 Jul 2015, OBSERVER: D. Johnson (#7), ROWS: 0,2,4,6,8, DATA ENTRY: 30 Jun 2016 (note: Data recorder: J. Salvail, No soil temperatures/quadrats, start: 1000h,
finish @1630h mdt/0A-4I, 26 Jul start: 0920h, finish @1320h mdt/6I-8I>


Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i

PIMA   8.0   8.0   7.0  10.0   3.0   5.0   5.0  10.0   5.0   3.0  15.0  10.0   7.0   5.0   4.0   8.0  10.0   5.0  15.0  10.0  15.0   8.0   4.0  10.0   8.0   0.0   0.0   0.0   0.0   0.0
LALA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   2.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
LEGR   5.0   3.0   5.0   2.0  35.0   2.0   3.0   5.0   0.5   1.0   1.0  10.0  12.0   0.1   0.5   1.0   0.0   1.0   5.0   2.0   4.0   2.0   1.0   2.0   3.0   0.0   0.0   0.0   0.0   0.0
LOIN   3.0   0.0   0.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
LOCA   0.01  0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
OXMI   0.0   0.01  0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RILA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ROAC   0.5   0.0   0.0   0.0   0.5   0.5   0.1   0.0   0.0   0.0   0.0   0.0   1.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
SABE   5.0  15.0   5.0  10.0   3.0  10.0  20.0  30.0  15.0  20.0   3.0   4.0   7.0  15.0  15.0  25.0  20.0  50.0   3.0   0.0   0.0   0.0  25.0  13.0   4.0   0.0   0.0   0.0   0.0   0.0
