STAND 8, SURVEY DATE: 02 Oct 1984, OBSERVERS: G.H. La Roi (#1), ROWS: 4,6,8, M.S. Ross (#4), ROWS: 0,2,4, DATA ENTRY: 02 Aug 2011 (note: GHLR used soil thermometer #M, MSR used Old#1;
Max-Min data: Central Max67F Min19F Present55F @??; Birds: NORA,BCCH,WHPW?? on Bullet L.,CAJA; water table2.7m; SABE & LEGR 50:50 green:yellow cf. 25:75 @ Stand 7>


Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i

PIMA   7.0  23.0  15.0  25.0  10.0  22.0  30.0  25.0  40.0  20.0  35.0  38.0  33.0  40.0  43.0  40.0  40.0  42.0  39.0  30.0  20.0  27.0  32.0  43.0  35.0  18.0  25.0   8.0  28.0  30.0
LALA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   1.0   2.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
LEGR   3.0   1.0   3.0   2.0   6.0   0.5   2.0   2.0   0.5   0.5   3.0   6.0  10.0   0.5   2.0   1.0   0.1   0.5   9.0  11.0  15.0  12.0   3.0   2.0   2.0   1.0   3.0   4.0   0.1   1.0
LOIN   2.0   0.0   0.0   0.0   0.1   0.0   0.5   0.0   0.01  0.0   0.0   0.0   0.0   0.0   2.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   1.0
LOCA   0.1   0.0   0.0   0.0   0.1   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0
OXMI   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.1   0.1   0.1   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0
RILA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ROAC   0.01  0.0   0.0   0.01  0.5   0.1   0.1   0.0   0.0   0.0   0.0   0.0   1.0   0.01  0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   1.0   0.01  0.01
SABE   0.0   0.0   0.0   0.0   0.0   1.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
SAMY   0.1   0.01  0.1   0.0   0.5   0.0   0.0   0.01  0.01  0.01  0.0   0.0   0.5   0.01  0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   1.0   0.01  0.01  0.0   0.0   0.1   0.01  0.0
SAPS   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
