Month,Year,Stand,Quad,PIBA,PIGL,POTR,ALCR,AMAL,ARUV,PRPE,ROAC,ROWO,RUID,SABE,SHCA,SYAL,ANMU,ANPA,ARNU,ASLA,CARO,ERGL,GABO,GELI,HIUM,LIBO,LIPH,MELI,ORSE,PYCH,SOSP,VIAD,CXSI,CXRI,ELGL,ELIN,ORAS,ORPU,EQAR,EQVA,LYCO,VAMY,VAVI,MACA,LAOC,FESA,AGSU,EPAN,AGSC,SCPU,LYAN
8,2000,2,0A,1,0,0.5,0,1,9,0,0.5,0,0,0,6,0,0.1,0.1,0.5,1,0.01,0.01,0.5,0.5,0.1,1,0,1,0,0.1,0,0.01,0,0.5,0,0.1,0,0.5,0,0,0,2,8,3,0,0,0,0,0,NA,NA
8,2000,2,0C,3,0,0,0,2,24,0.01,1,0,0,0,4,0,0,0.01,0,1,0,0,0.1,0,0,0,0,1,0,0,0,0,0,0.1,0,0.01,0.01,0.1,0,0.01,0,0,19,0.5,0.01,0,0,0,0,NA,NA
8,2000,2,0E,0.5,0,0,13,0,6,0.01,2,0.5,0,0,0,0.5,0.5,0,0,1,0.01,0,0.5,0,0,0,0,1,0,0,0,0.1,0,0,0,0.1,0.1,0.1,0,0,0,0,2,3,0.1,0,0,0,0,NA,NA
8,2000,2,0G,11,0,0,0.5,0.5,41,0,0.5,0,0,0,0,0,0.1,0,0,0.1,0.01,0,0.5,0.1,0,2,0,2,0,0,0,0,0,0.01,0,0.1,0,0.01,0,0,0,0,16,0.5,0,0,0,0,0,NA,NA
8,2000,2,0I,24,0,0,15,1,8,2,2,0,0,3,0,0,0,0,0.1,0,0.1,0.1,0,0.5,0,1,0,0,0.1,0,0,0,0.01,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,NA,NA
8,2000,2,2I,27,0.1,0,7,0.5,3,0.5,2,0,0,0,1,0,0,0,3,0.5,0,0.1,0.1,0.1,0,2,0,0.1,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0,2,1,0,0,0,0,0,NA,NA
8,2000,2,2G,17,0,0,16,0,5,0.5,2,0.5,0.5,0,0,0,0,0,0,0.01,0.01,0,0.1,0.5,0,2,0,0,0,0,0,0.1,0,0,0,0,0.01,0.01,0,0,0,2,10,1,0,0,0,0,0,NA,NA
8,2000,2,2E,10,0,0,0,3,15,0,1,0.5,0,0,5,0,0.1,0,0,0.1,0.01,0,0.1,0,0,4,0,0.5,0.1,0,0,0.01,0.01,0,0,0,0.01,0.01,0,0,0,3,10,3,0,0,0,0,0,NA,NA
8,2000,2,2C,21,0,0,13,0,4,0.1,2,0,0.5,0,0.01,0,0.1,0,0,0.1,0,0,0.1,0.5,0,1,0,0.1,0.1,0,0,0,0,0,0,0.01,0,0,0,0,0,1,2,2,0,0,0,0,0,NA,NA
8,2000,2,2A,15,0,0,4,0.01,7,0,1,0,0,0,3,0,0.1,0,0,2,0.01,0,0.1,0.01,0,0.5,0,1,0,0.01,0,0.5,0,0.1,0,0.1,0.01,0.1,0,0.01,0,2,5,2,0,0,0,0,0,NA,NA
