Quad,Temp_F,Month,Year,Stand
0A,65,8,2000,2
0C,64,8,2000,2
0E,64,8,2000,2
0G,66,8,2000,2
0I,63,8,2000,2
2I,60,8,2000,2
2G,63,8,2000,2
2E,64,8,2000,2
2C,64,8,2000,2
2A,65,8,2000,2
4A,65,8,2000,2
4C,66,8,2000,2
4E,63,8,2000,2
4G,63,8,2000,2
4I,63,8,2000,2
6I,64,8,2000,2
6G,66,8,2000,2
6E,66,8,2000,2
6C,63,8,2000,2
6A,63,8,2000,2
8A,60,8,2000,2
8C,61,8,2000,2
8E,63,8,2000,2
8G,60,8,2000,2
8I,62,8,2000,2
0A,73,8,2005,2
0C,70,8,2005,2
0E,63,8,2005,2
0G,69,8,2005,2
0I,67,8,2005,2
2I,63,8,2005,2
2G,65,8,2005,2
2E,68,8,2005,2
2C,65,8,2005,2
2A,68,8,2005,2
4A,69,8,2005,2
4C,67,8,2005,2
4E,68,8,2005,2
4G,67,8,2005,2
4I,65,8,2005,2
6I,66,8,2005,2
6G,67,8,2005,2
6E,68,8,2005,2
6C,65,8,2005,2
6A,68,8,2005,2
8A,63,8,2005,2
8C,62,8,2005,2
8E,63,8,2005,2
8G,64,8,2005,2
8I,67,8,2005,2
0A,64,8,1986,2
0C,65,8,1986,2
0E,62,8,1986,2
0G,64,8,1986,2
0I,62,8,1986,2
2I,60,8,1986,2
2G,58,8,1986,2
2E,57,8,1986,2
2C,57,8,1986,2
2A,57,8,1986,2
4A,60,8,1986,2
4C,60,8,1986,2
4E,58,8,1986,2
4G,60,8,1986,2
4I,60,8,1986,2
6I,61,8,1986,2
6G,60,8,1986,2
6E,59,8,1986,2
6C,59,8,1986,2
6A,59,8,1986,2
8A,58,8,1986,2
8C,58,8,1986,2
8E,58,8,1986,2
8G,58,8,1986,2
8I,60,8,1986,2
4A.1,58,8,1986,2
4C.1,57,8,1986,2
4E.1,56,8,1986,2
4G.1,56,8,1986,2
4I.1,56,8,1986,2
0A,61,7,1986,2
0C,58,7,1986,2
0E,57,7,1986,2
0G,59,7,1986,2
0I,59,7,1986,2
2I,53,7,1986,2
2G,55,7,1986,2
2E,54,7,1986,2
2C,54,7,1986,2
2A,56,7,1986,2
0A,66,6,1986,2
0C,68,6,1986,2
0E,58,6,1986,2
0G,64,6,1986,2
0I,59,6,1986,2
2I,48,6,1986,2
2G,55,6,1986,2
2E,64,6,1986,2
2C,60,6,1986,2
2A,68,6,1986,2
0A,38,5,1986,2
0C,38,5,1986,2
0E,38,5,1986,2
0G,38,5,1986,2
0I,38,5,1986,2
2I,36,5,1986,2
2G,36,5,1986,2
2E,33,5,1986,2
2C,34,5,1986,2
2A,36,5,1986,2
0A,41,10,1986,2
0C,42,10,1986,2
0E,42,10,1986,2
0G,41,10,1986,2
0I,43,10,1986,2
2I,43,10,1986,2
2G,43,10,1986,2
2E,44,10,1986,2
2C,45,10,1986,2
2A,43,10,1986,2
0A,61,9,1986,2
0C,62,9,1986,2
0E,59,9,1986,2
0G,61,9,1986,2
0I,60,9,1986,2
2G,59,9,1986,2
2E,57,9,1986,2
2C,60,9,1986,2
2A,63,9,1986,2
0A,56,8,1990,2
0C,56,8,1990,2
0E,56,8,1990,2
0G,56,8,1990,2
0I,56,8,1990,2
2I,55,8,1990,2
2G,55,8,1990,2
2E,56,8,1990,2
2C,57,8,1990,2
2A,57,8,1990,2
4A,57,8,1990,2
4C,58,8,1990,2
4E,57,8,1990,2
4G,58,8,1990,2
4I,58,8,1990,2
6I,59,8,1990,2
6G,59,8,1990,2
6E,59,8,1990,2
6C,59,8,1990,2
6A,58,8,1990,2
8A,57,8,1990,2
8C,58,8,1990,2
8E,58,8,1990,2
8G,57,8,1990,2
8I,58,8,1990,2
0A,54,8,1995,2
0C,54,8,1995,2
0E,54,8,1995,2
0G,54,8,1995,2
0I,54,8,1995,2
2I,53,8,1995,2
2G,54,8,1995,2
2E,55,8,1995,2
2C,54,8,1995,2
2A,55,8,1995,2
4A,56,8,1995,2
4C,55,8,1995,2
4E,55,8,1995,2
4G,56,8,1995,2
4I,55,8,1995,2
6I,55,8,1995,2
6G,56,8,1995,2
6E,54,8,1995,2
6C,55,8,1995,2
6A,54,8,1995,2
8A,55,8,1995,2
8C,55,8,1995,2
8E,54,8,1995,2
8G,55,8,1995,2
8I,55,8,1995,2
