"Month","Year","Stand","Quad","PIBA","PIGL","POTR","ALCR","AMAL","ARUV","PRPE","PRVI","ROAC","RUID","SABE","SHCA","SYAL","VAMY","VAVI","ACMI","ANMU","ANPA","ANRA","ARCA","ASLA","CARO","EPAN","ERGL","FRVI","GABO","GELI","HIUM","LAOC","LIBO","LIPH","MACA","ORSE","PYCH","SOSP","VIAD","CXSI","CXRI","ELGL","ELIN","ORAS","ORPU","SCPU","EQVA","LYCO","GEAM","ROWO","MELI","AGSC","ARLY","VIRE","AGSU","CAIN","CXDE","PIMA","ARNU","EQAR","OBSN","FESA","LYAN","ABBA","BEPA","LEGR","LODI","VIED","ACRU","COCA","GORE","RUPU","DRCA","CACA","TRBO","COTR","DITR","COST","FZSB","UNKA","ORC1","ASCI","COAU","GEBI","CXHO","CXAE","CRTE","TRHY","TAOF","RILA","LOIN","RITR","VACA","MEPA","MINU","PEPA","PYAS","EQPR","LYOB","CABU","RIGL","MOUN","GYDR","POBA","SALIX","RIOX","UNKNA","HERBB","HERBD","EQSY","LAVE","VIAM","CXBY","DRPA","MEAL","ASCO","CXVA","CHCA","EPCI","SEIN","CIAR","SOUL","TRPR","MEOF","TRRE","SAAR","SOCA","SAPS","FRVE","GATR","OSCH","BRCI","AGTR","AQBR","LOCA","POYE","MINT","SASP","RUSP","SEER","THVE","ASPU","PESA","STLO","GERI","LALA","GEPU","ALTE","HAHY","SAPL","SAMY","ACSI","SAMA","ANPO","BEPU","OXMI","SACA","SAPE","ASBO","DRRO","GALA","METR","ORRO","PAPA","POPA","RUAC","SMTR","SPRO","TOGL","CXDI","CXGY","CXIN","CXLI","CXAQ","TRMA","EQFL","EQSC","MUGL","ERGR","ARLA","EPPA","CXYL","CXSO","CXRO","CXPR","CXLE","CXSP","MAMO","CXDS","RUCH","CXCO","HERB","UNKR","FRSP","ARSP","LASP","POT3","CXNL","CXTU","HOJU","TYLA","CXDW","RHMI","SADI","ERBR","PEFR","RIHU","EQPA","SAPY","CXAU","JUBA","SALU","CXCA","POPL","RUOC","CXNO","EAPN"
8,2000,8,"0A",0,0,0,NA,NA,NA,NA,NA,0.5,0,0,0,NA,0.5,2,0,NA,NA,NA,NA,NA,0.01,0,NA,NA,0.01,0,NA,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,11,NA,0,NA,NA,NA,NA,0,25,NA,NA,NA,1,NA,NA,NA,0,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,0,0,2,NA,NA,NA,0,0.5,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0.1,NA,NA,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,NA,NA,0,NA,NA,NA,0,0,0,NA,0,NA,0,0,NA,0.1,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,0,0,0,0,0,0,NA,NA,0,NA,NA,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2000,8,"0C",0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0.5,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,35,NA,0,NA,NA,NA,NA,0,2,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0.1,NA,NA,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,NA,NA,0,NA,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,0,0,0,0,1,0,NA,NA,0,NA,NA,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2000,8,"0E",0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0.5,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,30,NA,0,NA,NA,NA,NA,0,7,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,1,NA,NA,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,NA,NA,0,NA,NA,NA,0,0,0,NA,0,NA,0,0,NA,0.5,NA,NA,NA,NA,0.01,0,NA,0,0,NA,NA,0,0,0,0,2,0,NA,NA,0.5,NA,NA,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2000,8,"0G",0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0.5,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,30,NA,0,NA,NA,NA,NA,0,5,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0.5,NA,NA,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,NA,NA,0,NA,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,0,0,0,0,4,0,NA,NA,0.1,NA,NA,0,NA,0,0.1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2000,8,"0I",0,0,0,NA,NA,NA,NA,NA,0.5,0,0,0,NA,0,1,0,NA,NA,NA,NA,NA,0,0.1,NA,NA,0,0.1,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,13,NA,0,NA,NA,NA,NA,0,30,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,0,0,2,NA,NA,NA,0,1,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0.5,NA,NA,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,0.5,NA,NA,0,NA,NA,NA,0,0,0,NA,0,NA,0,0,NA,1,NA,NA,NA,NA,0.01,0,NA,0,0,NA,NA,0,0,0,0,0,0,NA,NA,0,NA,NA,0,NA,0,0.1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2000,8,"2I",0,0,0,NA,NA,NA,NA,NA,1,0,2,0,NA,0,0.1,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,35,NA,0,NA,NA,NA,NA,0,2,NA,NA,NA,1,NA,NA,NA,0,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,NA,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,NA,NA,0,NA,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,0,0,0,0,0,0,NA,NA,0,NA,NA,0,NA,0,0.01,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2000,8,"2G",0,0,0,NA,NA,NA,NA,NA,0.5,0,0,0,NA,0,1,0,NA,NA,NA,NA,NA,0,0.1,NA,NA,0.1,0,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,40,NA,0,NA,NA,NA,NA,0,5,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,0,0.1,0,0,0,0,0,NA,0,0,0,NA,NA,NA,0,2,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0.5,NA,NA,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,NA,NA,0,NA,NA,NA,0,0,0,NA,0.01,NA,0,0,NA,0.5,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,0,0,0,0,0,0,NA,NA,0.5,NA,NA,0,NA,0,0.1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2000,8,"2E",0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,0.01,0.5,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,0.1,NA,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,23,NA,0,NA,NA,NA,NA,0,3,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,0,0.1,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0.5,NA,NA,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,NA,NA,0,NA,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,0,0,0,0,1,0,NA,NA,0.1,NA,NA,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2000,8,"2C",0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0.5,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,0.01,NA,0,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,40,NA,0,NA,NA,NA,NA,0,1,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0.1,NA,NA,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,NA,NA,0,NA,NA,NA,0,0,0,NA,3,NA,0,0,NA,0,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,0,0,0,0,2,0,NA,NA,0.1,NA,NA,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2000,8,"2A",0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0.1,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,0.01,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,14,NA,0,NA,NA,NA,NA,0,1,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0.1,NA,NA,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,NA,NA,0,NA,NA,NA,0,0,0,NA,0,NA,0,0,NA,0.1,NA,NA,NA,NA,0.01,0,NA,0,0,NA,NA,0,0,0,0,2,0,NA,NA,1,NA,NA,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
