quadrat,month,year,stand,temp_C
0A,8,2000,1,16.11111111
0C,8,2000,1,16.11111111
0E,8,2000,1,16.11111111
0G,8,2000,1,15
0I,8,2000,1,14.44444444
2I,8,2000,1,14.44444444
2G,8,2000,1,15
2E,8,2000,1,16.11111111
2C,8,2000,1,16.11111111
2A,8,2000,1,16.11111111
4A,8,2000,1,16.11111111
4C,8,2000,1,16.11111111
4E,8,2000,1,16.11111111
4G,8,2000,1,16.11111111
4I,8,2000,1,16.66666667
6I,8,2000,1,17.22222222
6G,8,2000,1,16.66666667
6E,8,2000,1,17.22222222
6C,8,2000,1,17.22222222
6A,8,2000,1,17.77777778
8A,8,2000,1,18.33333333
8C,8,2000,1,18.33333333
8E,8,2000,1,18.33333333
8G,8,2000,1,18.33333333
8I,8,2000,1,18.33333333
0A,8,2005,1,15
0C,8,2005,1,15
0E,8,2005,1,15
0G,8,2005,1,14.44444444
0I,8,2005,1,14.44444444
2I,8,2005,1,13.88888889
2G,8,2005,1,14.44444444
2E,8,2005,1,14.44444444
2C,8,2005,1,14.44444444
2A,8,2005,1,14.44444444
4A,8,2005,1,15
4C,8,2005,1,15
4E,8,2005,1,13.88888889
4G,8,2005,1,14.44444444
4I,8,2005,1,15
6I,8,2005,1,16.66666667
6G,8,2005,1,15.55555556
6E,8,2005,1,15.55555556
6C,8,2005,1,15.55555556
6A,8,2005,1,16.11111111
8A,8,2005,1,15.55555556
8C,8,2005,1,16.11111111
8E,8,2005,1,16.11111111
8G,8,2005,1,15.55555556
8I,8,2005,1,16.11111111
0A,8,2010,1,16.66666667
0C,8,2010,1,15.55555556
0E,8,2010,1,15
0G,8,2010,1,15
0I,8,2010,1,15
2I,8,2010,1,15
2G,8,2010,1,15.55555556
2E,8,2010,1,15.55555556
2C,8,2010,1,16.11111111
2A,8,2010,1,16.11111111
4A,8,2010,1,16.66666667
4C,8,2010,1,15
4E,8,2010,1,16.66666667
4G,8,2010,1,16.11111111
4I,8,2010,1,16.66666667
6I,8,2010,1,17.22222222
6G,8,2010,1,17.22222222
6E,8,2010,1,17.22222222
6C,8,2010,1,17.77777778
6A,8,2010,1,17.77777778
8A,8,2010,1,18.88888889
8C,8,2010,1,17.77777778
8E,8,2010,1,18.33333333
8G,8,2010,1,18.33333333
8I,8,2010,1,17.22222222
0A,8,1981,1,14.44444444
0C,8,1981,1,14.44444444
0E,8,1981,1,13.88888889
0G,8,1981,1,13.88888889
0I,8,1981,1,13.33333333
2I,8,1981,1,13.88888889
2G,8,1981,1,13.88888889
2E,8,1981,1,14.44444444
2C,8,1981,1,14.44444444
2A,8,1981,1,13.88888889
4A,8,1981,1,15
4C,8,1981,1,13.88888889
4E,8,1981,1,14.44444444
4G,8,1981,1,14.44444444
4I,8,1981,1,14.44444444
6I,8,1981,1,14.44444444
6G,8,1981,1,14.44444444
6E,8,1981,1,14.44444444
6C,8,1981,1,14.44444444
6A,8,1981,1,14.44444444
8A,8,1981,1,15
8C,8,1981,1,14.44444444
8E,8,1981,1,14.44444444
8G,8,1981,1,14.44444444
8I,8,1981,1,14.44444444
0A,6,1981,1,10.55555556
0C,6,1981,1,10
0E,6,1981,1,10
0G,6,1981,1,10.55555556
0I,6,1981,1,8.333333333
2I,6,1981,1,9.444444444
2G,6,1981,1,10.55555556
2E,6,1981,1,11.11111111
2C,6,1981,1,12.22222222
2A,6,1981,1,10.55555556
4A,6,1981,1,12.22222222
4C,6,1981,1,12.22222222
4E,6,1981,1,11.66666667
4G,6,1981,1,10.55555556
4I,6,1981,1,10.55555556
6I,6,1981,1,10
6G,6,1981,1,10.55555556
6E,6,1981,1,10.55555556
6C,6,1981,1,10.55555556
6A,6,1981,1,11.11111111
8A,6,1981,1,10.55555556
8C,6,1981,1,10
8E,6,1981,1,10.55555556
8G,6,1981,1,10.55555556
8I,6,1981,1,10.55555556
0A,11,1981,1,5
0C,11,1981,1,5.555555556
0E,11,1981,1,3.888888889
0G,11,1981,1,3.888888889
0I,11,1981,1,3.888888889
2I,11,1981,1,2.777777778
2G,11,1981,1,3.333333333
2E,11,1981,1,3.333333333
2C,11,1981,1,3.333333333
2A,11,1981,1,4.444444444
4A,11,1981,1,2.777777778
4C,11,1981,1,2.777777778
4E,11,1981,1,3.333333333
4G,11,1981,1,3.888888889
4I,11,1981,1,3.888888889
6I,11,1981,1,5.555555556
6G,11,1981,1,5
6E,11,1981,1,4.444444444
6C,11,1981,1,3.888888889
6A,11,1981,1,3.888888889
8A,11,1981,1,3.333333333
8C,11,1981,1,4.444444444
8E,11,1981,1,3.333333333
8G,11,1981,1,4.444444444
8I,11,1981,1,5
0A,9,1981,1,9.444444444
0C,9,1981,1,8.888888889
0E,9,1981,1,8.333333333
0G,9,1981,1,8.888888889
0I,9,1981,1,8.333333333
2I,9,1981,1,8.888888889
2G,9,1981,1,8.333333333
2E,9,1981,1,8.888888889
2C,9,1981,1,8.333333333
2A,9,1981,1,8.888888889
4A,9,1981,1,8.888888889
4C,9,1981,1,8.888888889
4E,9,1981,1,8.888888889
4G,9,1981,1,8.888888889
4I,9,1981,1,8.888888889
6I,9,1981,1,8.888888889
6G,9,1981,1,8.888888889
6E,9,1981,1,8.888888889
6C,9,1981,1,8.888888889
6A,9,1981,1,9.444444444
8A,9,1981,1,8.888888889
8C,9,1981,1,8.888888889
8E,9,1981,1,8.888888889
8G,9,1981,1,8.888888889
8I,9,1981,1,8.888888889
0A,8,1982,1,13.33333333
0C,8,1982,1,13.33333333
