original_code,strata,long_code,sci_name_original,sci_authority_original,common_name,accepted_name,sci_authority_accepted,comments,unified_code
ABBA,T,ABIEBAL,Abies balsamea,(L.) Mill.,balsam fir,Abies balsamea,(L.) Mill.,,ABBA
ACMI,F,ACHIMIL,Achillea millefolium,L.,common yarrow,Achillea millefolium,L.,,ACMI
ACRU,F,ACTARUB,Actaea rubra,(Ait.) Willd.,red and white baneberry,Actaea rubra,(Aiton) Willd.,,ACRU
ACSI,F,ACHISIB,Achillea sibirica,Ledeb.,Siberian yarrow,Achillea sibirica,Ledeb.,NA,ACSI
AGSC,G,AGROSCA,Agrostis scabra,Willd.,rough hair grass,Agrostis scabra,Willd.,,AGSC
AGSU,NA,AGROSUB,Agropyron subsecundum,(Link) Malte,slender wheat grass,Elymus trachycaulum ssp. Subsecundus,(Link) Malte ex H.F. Lewis,Agropyron subsecundum is now just a sub-species,AGSU
AGTR,G ,AGROTRA,Agropyron trachycaulum,(Link) Malte,slender wheat grass,Elymus trachycaulum,(Link) Malte ex H.F. Lewis,identified by Derek Johnson - Sample collected in Stand 8 in 2005 was initially called Ag-inexpa. Was called AGSU - Agropyron subsecundum - in stands 1 and 2 before 2005 based on Moss 1st edition (verified by George LaRoi),AGTR
ALCR,S,ALNUCRI,Alnus crispa,(Ait.) Pursh,green alder,Alnus viridis ssp. crispa,(Aiton) Turrill, ,ALCR
ALTE,S,ALNUTEN,Alnus tenuifolia,Nutt.,River alder,Alnus incana (L.) Moesch ssp. Tenuifolia,(Nutt.) Breitung,,ALTE
AMAL,S,AMELALN,Amelanchier alnifolia,Nutt.,saskatoon,Amelanchier alnifolia,(Nutt.) Nutt. ex M. Roem.,,AMAL
ANRA,F,ANTERAC,Antennaria racemosa,Hook.,racemose everlasting,Antennaria howellii,Hook.,"species name verified by George LaRoi; however, D. Johnson notes that this is a Western species that does not occur in AB. Revised to A. howellii (closest look-alike, but distributed in AB)",ANHO
ANMU,F,ANEMMUL,Anemone multifida,Poir.,cut-leaved anemone,Anemone multifida,Poir.,,ANMU
ANPA,F,ANEMPAT,Anemone patens,L.,prairie crocus,Anemone patens,L.,species name verified by George LaRoi,ANPA
ANPO,S,ANDRPOL,Andromeda polifolia,L.,bog rosemary,Andromeda polifolia,L.,,ANPO
APAN,F,,Apocynum androsaemifolium,L.,spreading dogbane,Apocynum androsaemifolium,L.,only in AOS plots,APAN
AQBR,F,AQUIBRE,Aquilegia brevistyla,Hook.,blue columbine,Aquilegia brevistyla,Hook.,,AQBR
AQFL,F,,Aquilegia flavescens,S. Watson,yellow columbine,Aquilegia flavescens,S. Watson,only in AOS plots,AQFL
ARCA,F,ARTECAM,Artemisia campestris,L.,plains wormwood,Artemisia campestris,L.,,ARCA
ARLA,F,ARENLAT,Arenaria lateriflora,NA,bluntleaf sandwort,Moehringia lateriflora,(L.) Fenzl.,combine with Moehringia lateriflora,ARLA
ARNU,F,ARALNUD,Aralia nudicaulis,L.,wild sarsaparilla,Aralia nudicaulis,L.,,ARNU
ARSP,F,ARABSP.,Arabis sp.,NA,NA,Arabis sp. ,NA,likely Arabis lyrata,ARSP
ARUV,S,ARCTUVA,Arctostaphylos uva-ursi,(L.) Spreng.,common bearberry,Arctostaphylos uva-ursi,(L.) Spreng.,,ARUV
BEPA,T,BETUPAP,Betula papyrifera,Marsh.,white birch,Betula papyrifera,Marsh.,,BEPA
BEPU,S,BETUPUM,Betula pumila,L.,dwarf birch,Betula pumila,L.,,BEPU
ARLY,F,ARABLYR,Arabis lyrata,L.,lyre-leaved rock cress,Boechera lyallii,S. Watson,"was also called ""Arabis"" in Stand 1 (verified by George LaRoi)",BOLY
BRCI,G,BROMCIL,Bromus ciliatus,L.,fringed brome,Bromus ciliatus,L.,,BRCI
BRIN,G,,Bromus inermis,Leyss.,smooth brome,Bromus inermis,Leyss.,only in AOS plots,BRIN
BRPU,G ,,Bromus pumpellianus,Scribn.,pumpelly brome,Bromus pumpellianus,Scribn.,only in AOS plots,BRPU
CABU,F,CALYBUL,Calypso bulbosa,(L.) Oakes,Venus'-slipper,Calypso bulbosa,(L.) Oakes,,CABU
CACA,G,CALACAN,Calamagrostis canadensis,(Michx.) Beauv.,bluejoint,Calamagrostis canadensis,(Michx.) P. Beauv.,,CACA
CARO,F,CAMPROT,Campanula rotundifolia,L.,harebell,Campanula rotundifolia,L.,,CARO
CAIN,G,CALAINE,Calamagrostis inexpansa,A. Gray,northern reed grass,Calamagrostis stricta ssp. inexpansa,(A. Gray) C.W. Greene,,CAST
EPAN,F,EPILANG,Epilobium angustifolium,L.,common fireweed,Chamerion angustifolium ssp. angustifolium,(L.) Holub,,CHAN
CHCA,F,CHENCAP,Chenopodium capitatum,(L.) Aschers.,strawberry blite,Chenopodium capitatum,(L.) Ambrosi,"identified by Derek Johnson - called ""CHENO"" on 2005 fieldsheet",CHCA
CHEN,F,,Chenopodium sp.,,strawberry blite,Chenopodium capitatum,(L.) Ambrosi,assumed to be sp. identified in 2015 by D. Johnson (C. capitatum),CHCA
