Species,Strata,X7.letter.code,sci.name.2005,sci.authority.2005,common.name,sci.name.2020,sci.authority2020,Comments,AcceptedY.N.
ABBA,T,ABIEBAL,Abies balsamea,(L.) Mill.,balsam fir,Abies balsamea,(L.) Mill.,,Y
ACMI,F,ACHIMIL,Achillea millefolium,L.,common yarrow,Achillea millefolium,L.,,Y
ACRU,F,ACTARUB,Actaea rubra,(Ait.) Willd.,red and white baneberry,Actaea rubra,(Aiton) Willd.,,Y
ACSI,F,ACHISIB,Achillea sibirica,Ledeb.,Siberian yarrow,Achillea sibirica,Ledeb.,NA,NA
AGSC,G,AGROSCA,Agrostis scabra,Willd.,rough hair grass,Agrostis scabra,Willd.,,Y
AGSU,NA,AGROSUB,Agropyron subsecundum,(Link) Malte,slender wheat grass,Elymus trachycaulum ssp. Subsecundus,(Link) Malte ex H.F. Lewis,Agropyron subsecundum is now just a sub-species,NA
AGTR,G ,AGROTRA,Agropyron trachycaulum,(Link) Malte,slender wheat grass,Elymus trachycaulum,(Link) Malte ex H.F. Lewis,identified by Derek Johnson - Sample collected in Stand 8 in 2005 was initially called Ag-inexpa. Was called AGSU - Agropyron subsecundum - in stands 1 and 2 before 2005 based on Moss 1st edition (verified by George LaRoi),N
ALCR,S,ALNUCRI,Alnus crispa,(Ait.) Pursh,green alder,Alnus viridis ssp. crispa,(Aiton) Turrill, ,N
ALTE,S,ALNUTEN,Alnus tenuifolia,Nutt.,River alder,Alnus incana (L.) Moesch ssp. Tenuifolia,(Nutt.) Breitung,,NA
AMAL,S,AMELALN,Amelanchier alnifolia,Nutt.,saskatoon,Amelanchier alnifolia,(Nutt.) Nutt. ex M. Roem.,,Y
ANMU,F,ANEMMUL,Anemone multifida,Poir.,cut-leaved anemone,Anemone multifida,Poir.,,Y
ANPA,F,ANEMPAT,Anemone patens,L.,prairie crocus,Anemone patens,L.,species name verified by George LaRoi,Y
ANPO,S,ANDRPOL,Andromeda polifolia,L.,bog rosemary,Andromeda polifolia,L.,,Y
ANRA,F,ANTERAC,Antennaria racemosa,Hook.,racemose everlasting,Antennaria racemosa,Hook.,species name verified by George LaRoi,Y
AQBR,F,AQUIBRE,Aquilegia brevistyla,Hook.,blue columbine,Aquilegia brevistyla,Hook.,,Y
ARCA,F,ARTECAM,Artemisia campestris,L.,plains wormwood,Artemisia campestris,L.,,Y
ARLA,F,ARENLAT,Arenaria lateriflora,NA,bluntleaf sandwort,Moehringia lateriflora,(L.) Fenzl.,combine with Moehringia lateriflora,NA
ARLY,F,ARABLYR,Arabis lyrata,L.,lyre-leaved rock cress,Arabidopsis lyrata ssp. lyrata,L. O'Kane & Al-Shehbaz,"was also called ""Arabis"" in Stand 1 (verified by George LaRoi)",N
ARNU,F,ARALNUD,Aralia nudicaulis,L.,wild sarsaparilla,Aralia nudicaulis,L.,,Y
ARSP,F,ARABSP.,Arabis sp.,NA,NA,Arabis sp. ,NA,likely Arabis lyrata,NA
ARUV,S,ARCTUVA,Arctostaphylos uva-ursi,(L.) Spreng.,common bearberry,Arctostaphylos uva-ursi,(L.) Spreng.,,Y
ASBO,F,ASTEBOR,Aster borealis,(T. & G.) Prov.,marsh aster,Symphyotrichum boreale,(Torr. & A. Gray) A. Love & D. Love,,N
