STAND 1, SURVEY DATE: 1 May 1985, OBSERVERS: G.H. La Roi (#1 ), ROWS: 4,6,8, M.S. Ross (#3), ROWS: 0,2,4,  DATA ENTRY: 4 Dec 1995  (note: MSR data for row 4 in 4a-4i below; MSR used therm "M", GHLR used "Old #1")

QUAD  0A    0C	  0E	0G    0I    2I	  2G	2E    2C    2A	  4A	4C    4E    4G	  4I	6I    6G    6E	  6C	6A    8A    8C	  8E	8G    8I    4a	  4c	4e    4g    4i

PIBA   0.5  15.0   5.0	 7.0  10.0   4.0   8.0	 8.0  13.0  12.0   5.0	 6.0   5.0   5.0   6.0	 5.0  13.0   4.0   5.0	 7.0   2.0  16.0   2.0	11.0   7.0   6.0   8.0	 3.0   7.0   5.0
PIGL   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.5	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.1
POTR   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.01  0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.1   0.0   0.0
ALCR   0.0   0.0   0.5	 0.0   3.0   2.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.01  0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
AMAL   0.01  0.1   0.01  0.01  0.1   0.01  0.1	 0.1   0.01  0.01  0.01  0.01  0.1   0.0   0.0	 0.01  0.01  0.01  0.01  0.01  0.0   0.01  0.01  0.01  0.01  0.1   0.1	 0.5   0.0   0.0
ARUV   8.0   1.0  10.0	10.0   2.0   4.0   7.0	13.0  15.0   5.0   6.0	 8.0   5.0   8.0   2.0	18.0  18.0  15.0   8.0	 7.0   8.0  16.0   9.0	13.0  16.0   6.0   6.0	10.0  12.0   1.0
PRPE   0.1   0.0   0.0	 0.01  0.0   0.1   0.0	 0.0   0.0   0.0   0.0	 0.0   0.01  0.0   0.01  0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.01
PRVI   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
ROAC   0.1   0.01  0.0	 0.01  0.0   0.01  0.01  0.0   0.0   0.0   0.01  0.01  0.01  0.01  0.01  0.0   0.01  0.01  0.0	 0.01  0.0   0.0   0.01  0.01  0.01  0.01  0.1	 0.1   0.1   0.01
RUID   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
SABE   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.01  0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
SHCA   0.0   0.0   0.1	 0.0   0.0   0.0   0.0	 0.1   0.0   0.5   0.0	 0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.01
SYAL   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
VAMY   0.01  0.0   0.1	 0.01  0.1   0.01  0.0	 0.1   0.01  0.1   0.0	 0.01  0.1   0.1   0.01  0.1   0.1   0.01  0.1	 0.01  0.0   0.1   0.01  0.1   0.0   0.0   0.01  0.5   0.5   0.0
VAVI   1.0   0.5   7.0	12.0   6.0   6.0   9.0	 4.0   3.0  10.0   2.0	 3.0   6.0   7.0   5.0	 4.0   8.0   6.0   6.0	 4.0   3.0   9.0   2.0	 5.0   3.0   1.0   2.0	 6.0   7.0   2.0
ACMI   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
ANMU   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0

QUAD  0A    0C	  0E	0G    0I    2I	  2G	2E    2C    2A	  4A	4C    4E    4G	  4I	6I    6G    6E	  6C	6A    8A    8C	  8E	8G    8I    4a	  4c	4e    4g    4i
ANPA   0.01  0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
ANRA   0.0   0.0   0.0	 0.1   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.5   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.1   0.0   0.0
ARCA   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.01  0.0   0.01  0.0   0.0   0.0   0.0	 0.0   0.0   0.0
ASLA   0.01  0.0   0.0	 0.0   0.01  0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.01  0.0   0.0   0.0	 0.0   0.01  0.0   0.01  0.0   0.0   0.0   0.0	 0.01  0.0   0.0
