STAND 1, SURVEY DATE: 1 Oct 1985, OBSERVER: R.A. Ellis (#2), ROWS: 0,2,4,6,8, DATA ENTRY: 7 Dec 1995  (note: RAE did all 25 quadrats)

QUAD  0A    0C	  0E	0G    0I    2I	  2G	2E    2C    2A	  4A	4C    4E    4G	  4I	6I    6G    6E	  6C	6A    8A    8C	  8E	8G    8I    4a	  4c	4e    4g    4i

PIBA   1.0  17.0   4.0	 5.0   6.0   4.0  12.0	 7.0  10.0  15.0   5.0	 6.0   4.0   5.0   5.0	 4.0  17.0   4.0   5.0	 6.0   1.0  17.0   0.5	17.0  10.0   0.0   0.0	 0.0   0.0   0.0
PIGL   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.5	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
POTR   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.1   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
ALCR   0.0   0.0   0.5	 0.0   3.0   3.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
AMAL   0.1   0.01  0.0	 0.01  0.01  0.0   0.01  0.01  0.01  0.01  0.1	 0.1   0.5   0.0   0.0	 0.01  0.01  0.1   0.1	 0.1   0.0   0.0   0.01  0.01  0.0   0.0   0.0	 0.0   0.0   0.0
ARUV   6.0   1.0   9.0	10.0   3.0   4.0  10.0	20.0  12.0   9.0   5.0	12.0  10.0  12.0  20.0	25.0  22.0  15.0  10.0	10.0  12.0  17.0  13.0	14.0  12.0   0.0   0.0	 0.0   0.0   0.0
PRPE   0.01  0.0   0.0	 0.01  0.0   0.1   0.01  0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
PRVI   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
ROAC   0.01  0.01  0.0	 0.01  0.0   0.01  0.0	 0.0   0.01  0.01  0.01  0.1   0.1   0.01  0.01  0.0   0.1   0.1   0.0	 0.0   0.0   0.0   0.01  0.0   0.01  0.0   0.0	 0.0   0.0   0.0
RUID   0.0   0.0   0.0	 0.0   0.1   0.01  0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
SABE   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
SHCA   0.0   0.0   0.1	 0.01  0.0   0.0   0.0	 0.1   0.0   0.01  0.0	 0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
SYAL   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
VAMY   0.01  0.1   0.0	 0.1   0.5   1.0   0.01  0.1   0.1   0.1   0.0	 0.1   0.5   0.1   0.01  0.1   0.1   0.1   0.1	 0.1   0.0   0.1   0.0	 0.1   0.0   0.0   0.0	 0.0   0.0   0.0
VAVI   1.0   0.1   9.0	14.0   8.0  10.0  20.0	 4.0   4.0   4.0   1.0	 3.0  12.0  12.0   2.0	 4.0   7.0   5.0   7.0	 6.0   0.5   7.0   3.0	 3.0   2.0   0.0   0.0	 0.0   0.0   0.0
ACMI   0.01  0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
ANMU   0.0   0.0   0.01  0.01  0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.01  0.0   0.0   0.0	 0.0   0.0   0.01  0.0	 0.01  0.01  0.0   0.0	 0.0   0.0   0.0

QUAD  0A    0C	  0E	0G    0I    2I	  2G	2E    2C    2A	  4A	4C    4E    4G	  4I	6I    6G    6E	  6C	6A    8A    8C	  8E	8G    8I    4a	  4c	4e    4g    4i
