STAND 4, SURVEY DATE: 10 Oct 1982, OBSERVERS: G.H. La Roi (#1), ROWS: 4I,6,8, R.A. Ellis (#2), ROWS: 0,2,4A-G, DATA ENTRY: 28 Jan 2008 & 28 Oct 2008 (note: GHLR used soil thermometer
#1, RAE used #??; Note that first data entry was lost in crashed CyberMax computer in Green Valley AZ, this entry was made on Edmonton Black Tower computer; Tree #1375 = PIMA
(no mark); ditto #1176 = PIMA (no mark i.e., no "PIMA" written on aluminum ID tag nailed to tree)> Underbark in PIMA is yellow-cream, in PIGL it is pinkish white.

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i

ABBA   8.0  10.0  25.0  20.0   2.0  30.0  20.0  20.0  25.0  15.0  20.0   4.0   2.0  25.0  50.0  15.0  25.0  30.0  30.0  35.0  15.0  20.0  40.0  30.0  35.0   0.0   0.0   0.0   0.0   0.0
BEPA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.0   1.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
PIBA   0.0   0.0   4.0   4.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   1.0   3.0   0.0   0.0   1.0   1.0   5.0   0.0   0.0   0.0   0.0   0.0   0.0
PIGL  20.0  20.0  15.0   1.0  25.0  25.0  25.0  10.0  12.0  15.0   5.0  25.0  10.0   4.0  10.0  18.0  30.0  15.0  45.0  40.0  12.0  25.0   5.0  19.0  15.0   0.0   0.0   0.0   0.0   0.0
PIMA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   5.0   5.0   0.0   6.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
POTR   2.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.5   2.0   0.0   0.01  1.0   0.5   0.0   0.0   0.0   0.5   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
LEGR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.01  0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0
LODI   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0
LOIN   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
