STAND 5, SURVEY DATE: 09 Jun 1982, OBSERVERS: G.H. La Roi (#1), ROWS: 4E,4G,4I,6,8, R.A. Ellis (#2), ROWS: 0,2,4A,4C, DATA ENTRY: 28 Feb 1997 (note: GHLR used thermometer "#1"; RAE used ??)

QUAD  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i

BEPA   0.0   0.0   0.0   0.0   1.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   3.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
PIGL   8.0   8.0  10.0   2.0   2.0  15.0  10.0  15.0  10.0  20.0  25.0  10.0  20.0  10.0  10.0  20.0  15.0  15.0  17.0  30.0  15.0  25.0  12.0  24.0  15.0   0.0   0.0   0.0   0.0   0.0
POBA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0
POTR   3.0   5.0   2.0   4.0   4.0   5.0   2.0   3.0   4.0   2.0   4.0  10.0   7.0  15.0  10.0   7.0   4.0   8.0   7.0  12.0  10.0  12.0   8.0   5.0  15.0   0.0   0.0   0.0   0.0   0.0
AMAL   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0
LODI   0.5   0.1   0.5   0.0   0.0   0.0   0.0   0.1   0.1   0.1   0.1   0.5   0.5   0.0   0.1   0.0   0.0   0.0   0.0   0.1   0.1   0.1   0.1   0.0   0.01  0.0   0.0   0.0   0.0   0.0
LOIN   0.1   0.5   1.0   1.0   0.0   0.0   1.0   0.5   1.0   2.0   0.5   1.0   0.5   1.0   0.0   1.0   1.0   0.0   0.5   0.0   2.0   3.0   0.5   3.0   0.5   0.0   0.0   0.0   0.0   0.0
PRPE   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RIGL   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RILA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.1   0.1   0.0   0.1   0.1   0.0   0.0   0.01  0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0
