STAND 5, SURVEY DATE: 06 Jun 1984, OBSERVERS: G.H. La Roi (#1), ROWS: 4,6,8, M.S. Ross (#3), ROWS: 0,2,4, DATA ENTRY: 06 Nov 1997 (note: GHLR used thermometer ??; MSR used ??)

QUAD  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i

BEPA   0.0   0.0   0.0   0.0   2.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   5.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
PIGL   6.0   8.0   7.0   5.0   3.0  12.0   8.0   7.0   8.0  12.0  25.0   9.0  19.0  12.0  10.0  20.0  17.0  15.0  25.0  30.0  18.0  20.0  15.0  20.0  20.0  25.0  10.0  12.0  10.0   7.0
POBA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
POTR  10.0  30.0   8.0  15.0  20.0  20.0  12.0  25.0   7.0  20.0  20.0  20.0  11.0  15.0  12.0  17.0  20.0  12.0  10.0  12.0  20.0  20.0  10.0   9.0  15.0  35.0  25.0  12.0  15.0  12.0
AMAL   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.01  0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.1   0.0
LODI   0.5   0.5   0.5   0.1   0.0   0.0   0.1   0.5   0.0   0.5   0.5   0.1   1.0   0.5   1.0   0.0   0.0   0.0   0.0   0.1   1.0   0.5   0.5   0.5   0.5   0.1   0.1   0.5   0.0   0.1
LOIN   2.0   1.0   2.0   2.0   0.0   0.0   6.0   1.0   4.0   2.0   1.0   3.0   0.5   0.5   0.0   1.0   2.0   0.0   1.0   0.0   4.0   2.0   2.0   6.0   1.0   0.5   1.0   1.0   0.5   0.0
PRPE   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RIGL   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RILA   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.1   0.01  0.0   0.01  0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0
RITR   0.5   0.0   0.0   0.5   0.5   0.0   0.5   0.1   0.5   0.0   0.5   0.1   0.1   0.1   0.5   1.0   1.0   1.0   0.1   1.0   1.0   0.1   0.5   0.1   0.1   0.0   0.0   0.1   0.1   0.1
