STAND 6, SURVEY DATE: 07 Sep 1983, OBSERVERS: G.H. La Roi (#1), ROWS: 4,6,8, M.S. Ross (#3), ROWS: 0,2, DATA ENTRY: 10 Dec 2004 (note: GHLR used soil thermometer "M", MSR used "#1";
notes: "lots of deadfall in 8E"; central max-min station data for past 30 days Max 84 Min 31F)

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i

ABBA   0.0   1.0  10.0   0.0   0.0   4.0   0.0   7.0   2.0  12.0   6.0  18.0  12.0  20.0  12.0  17.0   6.0  20.0  27.0   6.0  12.0  20.0  22.0  30.0   4.0   0.0   0.0   0.0   0.0   0.0
BEPA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   4.0   7.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
PIGL  85.0  16.0  30.0  20.0  12.0  10.0   6.0   4.0   2.0   7.0   5.0  12.0  20.0   6.0   0.01 14.0  45.0  17.0  16.0  10.0  18.0   9.0   8.0   4.0  20.0   0.0   0.0   0.0   0.0   0.0
POBA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   6.0   0.0   0.0   0.0   0.0   0.0
POTR   0.0   8.0   0.0   0.0  30.0  35.0  15.0  25.0   0.0  10.0   4.0   7.0   3.0   0.0   9.0  17.0   0.1   0.0  12.0  28.0   0.0   9.0   0.0   0.0  25.0   0.0   0.0   0.0   0.0   0.0
AMAL   0.0   0.0   0.1   0.0   0.5   2.0   0.5   0.0   0.01  0.1   0.0   0.0   0.0   1.0   0.5   0.0   0.01  0.1   0.01  0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0
LEGR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   2.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
LODI   0.1   0.0   0.0   0.01  0.5   0.1   0.5   0.0   0.0   0.1   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.5   0.5   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0
LOIN   5.0   1.0   4.0   3.0   5.0   8.0   6.0   6.0   3.0   7.0  10.0   4.0   4.0   8.0   8.0   4.0   4.0   4.0   3.0  10.0   8.0   6.0   2.0   3.0   3.0   0.0   0.0   0.0   0.0   0.0
