STAND 6, SURVEY DATE: 01 Jul 1985, OBSERVERS: G.H. La Roi (#1), ROWS: 4,6,8, M.S. Ross (#4), ROWS: 0,2,4, DATA ENTRY: 05 Feb 2005 (note: GHLR used soil thermometer #M?, MSR used #1;
Central Max-Min data Max 80F Min 29 present 70 @1745h mdt; MSR data from Row 4 in 4a-i; MSR's LOCA of 0.01 in 4I used!)

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i

ABBA   0.0   1.0   7.0   0.0   0.0   3.0   0.0   8.0   2.0   5.0   7.0  18.0  13.0  20.0  11.0  20.0   6.0  20.0  30.0   6.0  11.0  18.0  25.0  30.0   9.0   5.0   5.0   8.0  12.0   5.0
BEPA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   5.0   8.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   8.0
PIGL  90.0   5.0  30.0  45.0   5.0   3.0  15.0   3.0   2.0   3.0   9.0  15.0  19.0   9.0   0.0  11.0  35.0  15.0  20.0  10.0  19.0   7.0   8.0   4.0  22.0   3.0  35.0  30.0  15.0   0.0
POBA   0.0   0.1   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   4.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   5.0   0.0   0.0   0.0   0.0   0.0
POTR   0.0  10.0   3.0   0.0  35.0  20.0  50.0  40.0   0.1   6.0   0.0   8.0   0.0   1.0  10.0  25.0   0.1   0.0  15.0  25.0   0.0  15.0   0.1   0.5  20.0  15.0  25.0   0.0   0.0  15.0
AMAL   1.0   0.0   0.5   0.0   0.0   2.0   1.0   0.5   0.0   0.5   0.0   0.0   0.0   2.0   1.0   0.0   0.5   0.0   0.5   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.5   0.5
LEGR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   3.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5
LODI   0.5   0.0   0.5   0.0   0.5   0.1   0.5   0.0   0.0   0.1   0.01  0.01  0.0   0.0   0.0   0.0   0.5   0.5   0.0   1.0   0.5   0.01  0.0   0.0   0.5   0.1   0.1   0.0   0.0   0.0
LOIN   5.0   2.0   4.0   4.0   8.0  11.0   5.0  15.0   3.0   6.0  10.0   5.0   7.0  16.0  12.0   6.0   7.0   2.0   3.0  17.0  20.0   6.0   5.0   5.0   2.0   5.0   2.0   3.0   6.0   6.0
