STAND 6, SURVEY DATE: 31 Jul 1987, OBSERVERS: R.E. Ellis (#2), ROWS: 0,4,8, D.A. Chesterman (#5), ROWS: 2,4,6, DATA ENTRY: 29 Nov 2005 (note: RAE used soil thermometer #1, DAC used #J;
Max-Min data SW Max 31C Min 10 Present 24 @1255h mdt, Central Max 86F Min 38 Present 75 @1425h, NE Max 90F Min 50 Present 77 @1545h; DAC's data for Row 4 in 4a-i, for calibration etc.)

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i

ABBA   0.0   0.1   7.0   0.0   8.0   4.0   2.0   9.0   2.0  10.0   6.0  14.0  10.0  12.0  12.0  16.0   2.0   7.0  17.0   4.0   8.0  14.0  17.0  20.0   4.0   5.0  15.0   9.0  16.0  12.0
BEPA   0.0   0.0   0.0   0.0   0.0   1.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   3.0   3.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   4.0
PIGL  30.0   8.0  10.0  20.0   8.0  15.0  11.0   4.0   7.0   3.0   4.0   8.0   8.0   8.0   0.0   8.0  16.0  13.0   9.0   9.0  12.0   0.0   6.0   0.0  12.0   6.0   6.0  15.0  12.0   0.0
POBA   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
POTR   0.5   2.0   0.0   0.5   0.0  11.0  14.0  13.0   0.1  10.0   0.5   5.0   0.1   0.5   8.0  15.0   0.5   0.1   5.0  15.0   0.5   7.0   0.5   0.0  15.0   2.0   5.0   0.5   0.1  10.0
AMAL   0.5   0.0   0.0   0.0   0.5   0.5   0.5   0.0   0.0   0.1   0.0   0.0   0.0   0.5   0.0   0.0   0.5   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.5
LEGR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5
LODI   0.5   0.0   0.0   0.1   0.0   0.0   0.5   0.0   0.0   0.5   0.1   0.1   0.0   0.0   0.0   0.1   0.1   0.1   0.0   0.1   0.1   0.0   0.1   0.0   0.5   0.1   0.1   0.0   0.0   0.0
LOIN   6.0   2.0   5.0   3.0   6.0   6.0   5.0   5.0   1.0   3.0   4.0   2.0   2.0   4.0   3.0   0.5   1.0   0.5   1.0   5.0   5.0   3.0   1.0   2.0   1.0   2.0   1.0   0.5   4.0   3.0
PRPE   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RIGL   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RILA   0.0   0.01  0.1   0.0   0.1   0.0   0.5   0.1   0.0   0.0   0.0   0.01  0.01  0.0   0.1   0.0   0.1   0.0   0.1   0.1   0.1   0.01  0.0   0.1   0.0   0.1   0.0   0.0   0.0   0.1
RITR   1.0   0.0   0.0   0.5   0.0   0.1   0.5   0.1   0.1   0.0   0.1   0.1   0.1   0.0   0.0   0.1   0.1   0.1   0.0   0.1   0.0   0.1   0.01  0.0   0.1   0.0   0.01  0.01  0.0   0.1
ROAC   6.0   1.0   4.0   3.0   2.0   2.0   2.0   1.0   3.0   1.0   6.0   2.0   3.0   2.0   5.0   0.5   1.0   1.0   0.5   1.0   2.0   2.0   0.5   0.5   2.0   3.0   0.5   2.0   0.5   3.0
RUID   2.0   0.0   0.0   1.0   1.0   0.0   0.5   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.5   0.5   0.0   0.0   0.0   1.0   0.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.5
SHCA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
SYAL   1.0   0.0   0.0   0.0   0.5   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i
VAVI   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
VIED   2.0   0.5   2.0   0.5   1.0   0.5   0.5   0.5   0.5   0.5   2.0   1.0   0.1   0.5   0.5   0.5   1.0   0.5   0.0   0.5   1.0   1.0   0.1   0.1   2.0   0.5   0.5   0.1   0.5   0.5
ACMI   0.1   0.0   0.01  0.0   0.1   0.1   0.1   0.1   0.1   0.0   0.1   0.1   0.01  0.0   0.01  0.0   0.1   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.1   0.1   0.1   0.01  0.01
ACRU   1.0   0.0   0.1   0.1   0.0   0.1   0.5   0.5   0.0   0.1   0.0   0.1   0.5   0.0   0.0   0.0   0.1   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.0   0.1   0.5   0.01  0.1
ARNU  10.0   8.0   6.0   8.0  10.0   4.0   4.0   6.0   0.5   2.0  10.0   5.0   4.0   5.0   7.0   2.0   1.0   0.5   0.5   5.0   4.0   0.0   0.0   0.5  10.0   8.0   2.0   2.0   3.0   5.0
ASCI   1.0   2.0   0.5   1.0   3.0   2.0   1.0   1.0   0.5   1.0   0.5   1.0   2.0   1.0   2.0   0.1   0.5   0.1   0.1   0.5   2.0   2.0   0.5   0.5   2.0   0.5   0.5   0.5   0.5   0.5
ASCO   1.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.0   0.1   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.0   0.1   0.0   0.0   0.1   0.5   0.0   0.0   0.0
AQBR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
COCA   1.0   1.0   2.0   0.5   0.5   0.5   0.5   0.1   5.0   0.5   3.0   2.0   2.0   0.5   3.0   0.1   0.5   0.1   0.1   0.5   0.5   0.0   0.5   0.0   0.0   1.0   0.5   0.5   0.5   2.0
COTR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0
DITR   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0
EPAN   1.0   0.0   0.0   0.1   0.0   0.5   0.1   0.1   0.5   0.5   0.1   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5
FRVE   0.0   0.1   0.5   1.0   0.0   0.0   0.1   0.0   0.0   0.0   0.5   0.1   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.1   0.5   0.0   0.0   0.1   0.0   0.1   0.0   0.0   0.0   0.0
FRVI   0.5   0.0   1.0   0.5   0.1   0.1   0.1   0.5   0.1   0.1   0.1   0.0   0.1   0.5   0.5   0.1   0.1   0.01  0.0   0.0   0.5   0.0   0.5   0.1   0.0   0.1   0.01  0.1   0.1   0.1
GABO   0.5   0.1   0.1   0.5   0.1   0.1   0.1   0.1   0.1   0.1   0.1   0.5   0.1   0.1   0.1   0.1   0.1   0.1   0.1   0.1   0.5   0.1   0.1   0.01  0.1   0.1   0.1   0.1   0.1   0.1
GATR   0.1   0.1   0.1   0.1   0.0   0.1   0.1   0.1   0.0   0.1   0.0   0.01  0.1   0.01  0.1   0.01  0.1   0.1   0.0   0.1   0.1   0.01  0.1   0.1   0.1   0.01  0.1   0.1   0.0   0.1
GORE   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.01  0.0   0.0   0.0   0.01  0.01  0.01  0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.01  0.0   0.0
HIUM   0.0   0.0   0.01  0.0   0.1   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0
LAOC   0.5   0.0   0.5   0.1   1.0   0.5   0.5   0.5   0.5   0.5   1.0   0.0   0.0   0.1   0.1   0.1   0.0   0.0   0.0   0.5   0.5   0.0   0.0   0.1   0.1   0.1   0.0   0.0   0.01  0.1
LIBO   5.0   5.0   3.0   3.0  12.0   6.0   4.0   3.0   2.0   2.0   8.0   3.0   4.0   5.0   7.0   0.5   6.0   3.0   0.5   0.5   2.0   2.0   2.0   2.0   8.0   4.0   3.0   3.0   3.0   8.0

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i
MACA   2.0   2.0   0.1   0.5   0.5   0.1   0.1   0.5   0.1   0.1   0.1   0.1   0.5   0.1   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   2.0   0.1   0.0   0.1   0.0   0.0
MEPA   5.0   4.0   4.0   3.0   0.5   1.0   2.0   0.5   0.5   1.0   3.0   5.0   4.0   4.0   1.0   0.1   0.5   0.5   0.5   2.0   7.0   1.0   0.5   0.5   6.0   0.5   3.0   3.0   2.0   0.5
MINU   3.0   3.0   4.0   2.0   3.0   2.0   2.0   3.0   3.0   3.0   2.0   2.0   2.0   2.0   3.0   0.5   1.0   2.0   0.5   1.0   2.0   2.0   1.0   2.0   5.0   2.0   0.5   0.5   0.5   3.0
MOUN   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
PEPA   2.0   0.5   3.0   0.5   0.5   0.5   1.0   1.0   2.0   0.5   4.0   2.0   3.0   1.0   3.0   0.5   0.5   1.0   0.5   0.5   3.0   0.5   1.0   0.0   3.0   2.0   0.5   1.0   1.0   2.0
PYAS   2.0   0.5   1.0   0.1   2.0   0.5   0.1   0.1   0.5   0.5   0.5   0.1   0.5   0.5   0.5   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.1   0.1   0.1   0.1
ORSE   0.0   0.0   0.0   0.1   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
PYCH   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RUPU   1.0   2.0   1.0   2.0   1.0   1.0   1.0   1.0   2.0   2.0   5.0   1.0   2.0   2.0   3.0   0.5   1.0   0.1   0.5   1.0   4.0   1.0   0.5   0.5   4.0   3.0   0.5   1.0   0.5   2.0
