STAND 6, SURVEY DATE: 02 May 1990, OBSERVERS: G.H. & N.B. La Roi (#1), ROWS: 2,4,6, DATA ENTRY: 17 Feb 2006 (note: GHLR used soil thermometer Old#1; Birds: EWBB,BCCH,BLJA,SCJU,BOCH;
Met Data: Max-Mins since early Oct 1989 SW Max 19C Min -35 Present 14 @1340 mdt, Central Max 63F Min -35 Present 51 @1255h, NE Max 63F Min -35 Present 55 @1345h, snowcover in stand=0.01%;
Deer pellets in 2I; ABBA barked by Porcupine: #5024 in 2E, #4595 in 4G, #4632 in 6C; POTR,AMAL,ROAC suckers browsed by Snowshoe Hare; POTR,LOIN,VIED,ROAC leaf-less but buds swollen)

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i

ABBA   0.0   0.0   0.0   0.0   0.0   7.0   6.0  15.0   8.0   8.0  10.0  20.0  18.0  16.0  18.0  25.0   6.0  20.0  20.0   7.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
BEPA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   1.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
PIGL   0.0   0.0   0.0   0.0   0.0  16.0  15.0  12.0   5.0   8.0   9.0  19.0  22.0  12.0   0.0  12.0  31.0  20.0  21.0  10.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
POBA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
POTR   0.0   0.0   0.0   0.0   0.0   7.0   7.0   5.0   0.01  4.0   1.0   1.0   0.0   0.0   3.0   7.0   0.0   0.0   0.0   7.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
AMAL   0.0   0.0   0.0   0.0   0.0   0.01  0.01  0.0   0.0   0.01  0.0   0.0   0.0   0.01  0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
LEGR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
LODI   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
LOIN   0.0   0.0   0.0   0.0   0.0   1.0   1.0   0.1   0.01  0.5   0.1   0.01  0.01  0.1   0.5   0.01  0.1   0.01  0.01  0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
