STAND 7, SURVEY DATE: 10 Jul 1982, OBSERVERS: G.H. La Roi (#1), ROWS: 0,2,4A-C, R.A. Ellis (#2), ROWS: 4E-I,6,8, DATA ENTRY: 11 Dec 1998 (note: GHLR used thermometer "Old#1", RAE used ??;"CXIN=very small; CXLI=med. with narrow lvs; CX*=pendulous fruit
   GA2Lf=Arenaria lateriflora?"; note: "CXIN" here is probably CXLI,and "CXLI" & "CXpendulous fruit are probably CXDI, to which they are referred below; "SAGL"=SABE)

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i

LALA   4.0   5.0   0.1   0.0   0.01  0.1   0.1   6.0   0.5   0.5   3.0   0.5   0.1   0.0   0.0   0.5   0.0   0.5   0.5   0.5   0.5   0.5   0.1   0.5   0.0   0.0   0.0   0.0   0.0   0.0
PIMA  20.0  15.0  25.0  25.0  30.0  15.0  30.0  15.0  30.0  20.0  25.0  20.0  20.0  25.0  20.0  25.0  25.0  25.0  25.0  10.0  20.0   4.0  15.0  25.0  20.0   0.0   0.0   0.0   0.0   0.0
ANPO   1.0   2.0   1.0   2.0   2.0   0.5   2.0   1.0   1.0   0.1   0.5   1.0   0.0   0.5   1.0   1.0   0.5   1.0   0.5   2.0   3.0   3.0   1.0   0.5   0.1   0.0   0.0   0.0   0.0   0.0
BEPU   2.0   3.0   2.0   2.0   1.0   2.0   1.0   2.0   1.0   0.5   0.5   2.0   3.0   2.0   3.0   2.0   1.0   2.0   2.0   1.0   2.0   3.0   3.0   0.5   2.0   0.0   0.0   0.0   0.0   0.0
LEGR   0.0   2.0  10.0   3.0  10.0   4.0  10.0   2.0  15.0   9.0   8.0   3.0   1.0   4.0   1.0   3.0   4.0   5.0   0.5   3.0   0.0   0.0   1.0   5.0   4.0   0.0   0.0   0.0   0.0   0.0
LOCA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
OXMI   0.1   0.5   0.5   0.1   0.5   0.5   1.0   0.5   0.1   0.1   0.5   0.5   0.1   0.5   1.0   0.0   0.5   1.0   0.1   1.0   0.0   0.0   0.0   1.0   0.1   0.0   0.0   0.0   0.0   0.0
SAAR   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
SABE   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   1.0   0.0   0.1   0.0   0.5   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
