STAND 7, SURVEY DATE: 31 May 1988, OBSERVER: G.H. La Roi (#1), ROWS: 2,4,8, DATA ENTRY: 06 Dec 2002 (note: GHLR used soil thermometer "Old#1"; female Red Squirrel building nest in PIMA
 #4521 located 3m NW of 2I post; 510cc in raingauge, emptied it)

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i

LALA   0.0   0.0   0.0   0.0   0.0   0.01  0.1   5.0   0.5   0.5   2.0   0.5   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   2.0   0.5   0.1   0.1   0.0   0.0   0.0   0.0   0.0
PIMA   0.0   0.0   0.0   0.0   0.0  24.0  30.0  18.0  30.0  25.0  27.0  28.0  12.0  30.0  23.0   0.0   0.0   0.0   0.0   0.0  19.0   5.0  19.0  25.0  28.0   0.0   0.0   0.0   0.0   0.0
ANPO   0.0   0.0   0.0   0.0   0.0   0.5   1.0   1.0   0.5   0.5   0.5   0.5   0.5   1.0   1.0   0.0   0.0   0.0   0.0   0.0   2.0   2.0   2.0   0.5   0.5   0.0   0.0   0.0   0.0   0.0
BEPU   0.0   0.0   0.0   0.0   0.0   2.0   1.0   3.0   0.5   1.0   0.1   2.0   5.0   2.0   4.0   0.0   0.0   0.0   0.0   0.0   7.0  14.0   8.0   2.0   3.0   0.0   0.0   0.0   0.0   0.0
LEGR   0.0   0.0   0.0   0.0   0.0   4.0   5.0   1.0   8.0   7.0   8.0   4.0   2.0   4.0   2.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   1.0   8.0   6.0   0.0   0.0   0.0   0.0   0.0
LOCA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   1.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
OXMI   0.0   0.0   0.0   0.0   0.0   0.1   0.1   0.1   0.5   0.01  0.1   0.1   0.5   0.5   1.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.01  0.0   0.0   0.0   0.0   0.0
SAAR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   1.0   0.1   0.5   2.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
SABE   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
SACA   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.5   0.5   0.0   0.0   0.1   0.1   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.01  0.01  0.1   0.01  0.1   0.0   0.0   0.0   0.0   0.0
SAMY   0.0   0.0   0.0   0.0   0.0   1.0   3.0   0.0   1.0   3.0   5.0   3.0   0.0   2.0   1.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   2.0   3.0   0.0   0.0   0.0   0.0   0.0
SAPE   0.0   0.0   0.0   0.0   0.0   0.1   0.5   0.5   1.0   0.1   0.0   0.1   0.5   1.0   0.1   0.0   0.0   0.0   0.0   0.0   0.1   1.0   2.0   0.1   0.5   0.0   0.0   0.0   0.0   0.0
VAMY   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
VAVI   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   1.0   1.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ASBO   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
CARO   0.0   0.0   0.0   0.0   0.0   0.01  0.01  0.1   0.0   0.1   0.0   0.01  0.01  0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.01  0.1   0.0   0.01  0.0   0.0   0.0   0.0   0.0
COTR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i
DRRO   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.01  0.01  0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0
GALA   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.01  0.0   0.0   0.0   0.0   0.1   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.01  0.01  0.01  0.0   0.01  0.0   0.0   0.0   0.0   0.0
GELI   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.1   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0
HAHY   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
