"","stand","corner","elevation_ft","lat_dec","long_dec"
"1",1,"NE",1947,55.2288888888889,-114.285833333333
"2",1,"SE",1965,55.2194444444444,-114.285833333333
"3",1,"SW",1952,55.2225,-114.3
"4",1,"NW",1914,55.2213888888889,-114.299166666667
"5",1,"Means",1945,55.2230555555556,-114.292777777778
"6",2,"NE",1967,55.1033333333333,-114.373611111111
"7",2,"SE",1967,55.0944444444444,-114.372777777778
"8",2,"SW",1970,55.0930555555556,-114.125833333333
"9",2,"NW",2010,55.1022222222222,-114.124444444444
"10",2,"Means",1968,55.0983333333333,-114.118611111111
"11",3,"NE",1867,55.31,-114.295277777778
"12",3,"SE",2060,55.2997222222222,-114.293055555556
"13",3,"SW",1968,55.3280555555556,-114.31
"14",3,"NW",1934,55.3130555555556,-114.305833333333
"15",3,"Means",1957,55.3127777777778,-114.301111111111
"16",4,"NE",2000,55.3494444444444,-114.292777777778
"17",4,"SE",1955,55.3430555555556,-114.280833333333
"18",4,"SW",2031,55.3425,-114.293888888889
"19",4,"NW",2000,55.3494444444444,-114.292777777778
"20",4,"Means",1997,55.3461111111111,-114.317777777778
"21",5,"NE",2100,55.2997222222222,-114.366111111111
"22",5,"SE",2017,55.2916666666667,-114.368333333333
"23",5,"SW",1933,55.2911111111111,-114.379444444444
"24",5,"NW",2123,55.2988888888889,-114.379444444444
"25",5,"Means",2083,55.2952777777778,-114.373333333333
"26",6,"NE",2108,55.3197222222222,-114.401111111111
"27",6,"SE",2066,55.3166666666667,-114.399166666667
"28",6,"SW",2103,55.3111111111111,-114.416111111111
"29",6,"NW",2108,55.3183333333333,-114.413611111111
"30",6,"Means",2097,55.3163888888889,-114.4075
"31",7,"NE",2014,55.1897222222222,-114.103611111111
"32",7,"SE",1994,55.1816666666667,-114.103888888889
"33",7,"SW",1991,55.1827777777778,-114.118055555556
"34",7,"NW",2011,55.19,-114.117777777778
"35",7,"Means",2003,55.1861111111111,-114.110833333333
"36",8,"NE",2051,55.2441666666667,-114.305555555556
"37",8,"SE",1942,55.2363888888889,-114.278333333333
"38",8,"SW",2073,55.2375,-114.290277777778
"39",8,"NW",1921,55.2436111111111,-114.291111111111
"40",8,"Means",1997,55.2405555555556,-114.291388888889
