original_code,strata,sci_name_original,sci_authority_original,common_name,accepted_name,sci_authority_accepted,comments,unified_code
AMBJUR,B,Amblystegium juratzkanum,Schimp.,Juratzk's amblystegium moss,Amblystegium serpens,(Hedw.) Schimp.,NA,AMBSER
AULPAL,B,Aulacomnium palustre,(Hedw.) Schwägr.,aulcomnium moss,Aulacomnium palustre,(Hedw.) Schwägr.,NA,AULPAL
BACSPH,L,Bacidia sphaeroides,(Dicks.) Zahlbr.,,Biatora sphaeroides,(Dicks.) Hornem.,NA,BIASPH
BRAPSE,B,Brachythecium pseudotriquetrum,"(Hedw.) G.Gaertn, B.Mey & Scherb",common green bryum moss,Ptychostomum pseudotriquetrum,(Hedw.) J.R.Spence & H.P.Ramsay ex Holyoak & N.Pedersen,NA,PTYPSE
BRASAL,B,Brachythecium salebrosum,(F. Weber & D. Mohr) Schimp.,brachythecium moss,Brachythecium salebrosum,(F. Weber & D. Mohr) Schimp.,NA,BRASAL
BRYPSE,B,Bryum pseudotriquetrum,"(Hedw.) G.Gaertn, B.Mey & Scherb",common green bryum moss,Ptychostomum pseudotriquetrum,(Hedw.) J.R.Spence & H.P.Ramsay ex Holyoak & N.Pedersen,NA,PTYPSE
CAMSTE,B,Campylium stellatum,(Hedw.) C.E.O. Jensen,yellow starry feather-moss,Campylium stellatum,(Hedw.) C.E.O. Jensen,NA,CAMSTE
CEPLUN,B,Cephalozia lunulifolia,(Dumort.) Dumort.,moon-leafed pincerwort,Fuscocephaloziopsis lunulifolia,(Dumort.) Vá_a & L.Söderstr.,NA,FUSLUN
CERPUR,B,Ceratodon purpureus,"Bridel, 1826",redshank,Ceratodon purpureus,"Bridel, 1826",NA,CERPUR
CETCUC,L,Cetraria cucullata,"(Bellardi) Divakar, A.Crespo & Lumbsch",curled snow lichen,Nephromopsis cucullata,"(Bellardi) Divakar, A.Crespo & Lumbsch",only in AOS stands,NEPCUC
CETERI,L,Cetraria ericetorum,Opiz,heathland Iceland lichen,Cetraria ericetorum,Opiz,NA,CETERI
CETHAL,L,Cetraria halei,W.L.Culb. & C.F.Culb.,fringed wrinkle-lichen,Tuckermannopsis ciliaris,(Ach.) Gyeln.,only in AOS stands,TUCCIL
CETNIV,L,Cetraria nivalis,(L.) Ach.,crinkled snow lichen,Nephromopsis nivalis,"(L.) Divakar, A.Crespo & Lumbsch",NA,NEPNIV
CLASP,L,Cladonia sp.,"P.Browne, 1756",,Cladonia sp.,"P.Browne, 1756",NA,CLASP
CLASPP,L,Cladonia sp.,"P.Browne, 1756",,Cladonia sp.,"P.Browne, 1756",NA,CLASP
CLACEN,L,Cladonia cenotea,(Ach.) Shaer.,powdered funnel lichen,Cladonia cenotea,(Ach.) Shaer.,NA,CLACEN
CLACHL,L,Cladonia chlorophaea,(Flörke ex Sommerf.) Spreng.,mealy pixie cup,Cladonia chlorophaea,(Flörke ex Sommerf.) Spreng.,NA,CLACHL
CLACOC,L,Cladonia coccifera,(L.) Willd.,scarlet-cup lichen,Cladonia coccifera,(L.) Willd.,NA,CLACOC
CLACON,L,Cladonia coniocraea,(Flörke) Spreng.,common powderhorn,Cladonia coniocraea,(Flörke) Spreng.,NA,CLACON
