stand,quad,species_code,count
3,1E,BEPA,0
3,3F,BEPA,0
3,5J,BEPA,0
3,7H,BEPA,0
3,9D,BEPA,0
4,1A,BEPA,0
4,3D,BEPA,0
4,5F,BEPA,0
4,7I,BEPA,0
4,9H,BEPA,0
6,1I,BEPA,0
6,3A,BEPA,0
6,5D,BEPA,0
6,7G,BEPA,1
6,9B,BEPA,1
8,1B,BEPA,0
8,3J,BEPA,1
8,5A,BEPA,1
8,7D,BEPA,1
8,9I,BEPA,1
3,1E,PIBA,85
3,3F,PIBA,135
3,5J,PIBA,61
3,7H,PIBA,47
3,9D,PIBA,118
4,1A,PIBA,3
4,3D,PIBA,4
4,5F,PIBA,1
4,7I,PIBA,2
4,9H,PIBA,1
6,1I,PIBA,0
6,3A,PIBA,0
6,5D,PIBA,0
6,7G,PIBA,0
6,9B,PIBA,0
8,1B,PIBA,0
8,3J,PIBA,0
8,5A,PIBA,1
8,7D,PIBA,0
8,9I,PIBA,0
3,1E,PIMA,0
3,3F,PIMA,0
3,5J,PIMA,0
3,7H,PIMA,0
3,9D,PIMA,0
4,1A,PIMA,0
4,3D,PIMA,0
4,5F,PIMA,0
4,7I,PIMA,0
4,9H,PIMA,0
6,1I,PIMA,0
6,3A,PIMA,0
6,5D,PIMA,0
6,7G,PIMA,0
6,9B,PIMA,0
8,1B,PIMA,18
8,3J,PIMA,6
8,5A,PIMA,43
8,7D,PIMA,27
8,9I,PIMA,36
3,1E,POBA,0
3,3F,POBA,0
3,5J,POBA,0
3,7H,POBA,0
3,9D,POBA,0
4,1A,POBA,0
4,3D,POBA,0
4,5F,POBA,0
4,7I,POBA,2
4,9H,POBA,0
6,1I,POBA,4
6,3A,POBA,8
6,5D,POBA,0
6,7G,POBA,24
6,9B,POBA,7
8,1B,POBA,17
8,3J,POBA,3
8,5A,POBA,0
8,7D,POBA,1
8,9I,POBA,1
3,1E,POTR,0
3,3F,POTR,0
3,5J,POTR,0
3,7H,POTR,1
3,9D,POTR,0
4,1A,POTR,0
4,3D,POTR,0
4,5F,POTR,42
4,7I,POTR,0
4,9H,POTR,0
6,1I,POTR,31
6,3A,POTR,24
6,5D,POTR,29
6,7G,POTR,10
6,9B,POTR,43
8,1B,POTR,0
8,3J,POTR,0
8,5A,POTR,0
8,7D,POTR,0
8,9I,POTR,0
