stand,quad,species_code,DBH_cm,stem_height_m,RCD_cm,tree_type
3,5J,PIBA,1.2,2,NA,R
3,7H,PIBA,0.9,1.8,NA,R
3,9D,PIBA,0.4,1.5,NA,R
3,3F,PIBA,0.7,1.7,NA,R
3,1E,PIBA,0.9,1.7,NA,R
4,1A,PIBA,4.1,3,NA,R
4,3D,PIBA,1.9,2.2,NA,R
4,5F,POTR,1.3,2.9,NA,R
4,7I,PIBA,2.3,2.9,NA,R
4,7I,POBA,0.6,1.9,NA,R
6,1I,POTR,0.9,2.2,NA,R
6,1I,POBA,1.9,3.3,NA,R
6,3A,POTR,1.4,2.9,NA,R
6,3A,POBA,1.1,2.4,NA,R
6,5D,POTR,2.8,5.8,NA,R
6,7G,POTR,1,2.8,NA,R
6,7G,POBA,1.6,3.1,NA,R
6,9B,POTR,3,4.7,NA,R
6,9B,POBA,0.5,1.8,NA,R
8,1B,POBA,0.3,1.4,NA,R
8,1B,PIMA,NA,0.5,1,R
8,5A,PIMA,NA,0.7,0.9,R
8,7D,PIMA,NA,1,1.1,R
8,9I,PIMA,NA,0.8,1.2,R
8,3J,POBA,0.9,1.9,NA,R
8,3J,PIMA,NA,0.5,0.7,R
3,5J,PIBA,1.2,2,NA,R
3,7H,PIBA,0.9,1.8,NA,R
3,9D,PIBA,0.4,1.5,NA,R
3,3F,PIBA,0.7,1.7,NA,R
3,1E,PIBA,0.9,1.7,NA,R
4,1A,PIBA,4.1,3,NA,R
4,3D,PIBA,1.9,2.2,NA,R
4,5F,POTR,1.3,2.9,NA,R
4,7I,PIBA,2.3,2.9,NA,R
4,7I,POBA,0.6,1.9,NA,R
6,1I,POTR,0.9,2.2,NA,R
6,1I,POBA,1.9,3.3,NA,R
6,3A,POTR,1.4,2.9,NA,R
6,3A,POBA,1.1,2.4,NA,R
6,5D,POTR,2.8,5.8,NA,R
6,7G,POTR,1,2.8,NA,R
6,7G,POBA,1.6,3.1,NA,R
6,9B,POTR,3,4.7,NA,R
6,9B,POBA,0.5,1.8,NA,R
8,1B,POBA,0.3,1.4,NA,R
8,1B,PIMA,NA,0.5,1,R
8,5A,PIMA,NA,0.7,0.9,R
8,7D,PIMA,NA,1,1.1,R
8,9I,PIMA,NA,0.8,1.2,R
8,3J,POBA,0.9,1.9,NA,R
8,3J,PIMA,NA,0.5,0.7,R
3,5J,PIBA,3.8,4,NA,T
3,7H,POTR,3.9,5.8,NA,T
3,7H,PIBA,2.4,3.2,NA,T
3,9D,PIBA,2.5,3.5,NA,T
3,3F,PIBA,2.3,2.9,NA,T
3,1E,PIBA,2.1,2.9,NA,T
4,1A,PIBA,2.1,2.2,NA,T
4,3D,PIBA,5.1,3.3,NA,T
4,5F,POTR,3.1,4.8,NA,T
4,5F,PIBA,3.2,3,NA,T
4,7I,PIBA,2.3,1.9,NA,T
4,7I,POBA,0.3,1.4,NA,T
4,9H,PIBA,4.5,3.7,NA,T
6,1I,POTR,3.8,6.3,NA,T
6,1I,POBA,1.9,3.3,NA,T
6,3A,POTR,2.6,4.7,NA,T
6,3A,POBA,2.1,3.9,NA,T
6,5D,POTR,5.5,8,NA,T
6,7G,POTR,3.6,6.7,NA,T
6,7G,POBA,2.6,4.4,NA,T
6,7G,BEPA,0.3,1.5,NA,T
6,9B,POTR,4.7,7.4,NA,T
6,9B,POBA,1.1,2,NA,T
6,9B,BEPA,2.1,3.6,NA,T
8,1B,POBA,1.3,2.1,NA,T
8,1B,PIMA,NA,0.9,1.2,T
8,5A,BEPA,0.4,1.6,NA,T
8,5A,PIBA,1,1.6,NA,T
8,5A,PIMA,NA,1.2,1.6,T
8,7D,BEPA,0.6,1.8,NA,T
8,7D,POBA,0.8,1.7,NA,T
8,7D,PIMA,NA,1.2,1.5,T
8,9I,BEPA,0.4,1.4,NA,T
8,9I,POBA,0.4,1.5,NA,T
8,9I,PIMA,1.1,1.7,NA,T
8,3J,POBA,0.6,1.7,NA,T
8,3J,BEPA,0.5,1.6,NA,T
8,3J,PIMA,NA,0.6,0.9,T
3,5J,PIBA,2.9,3.5,NA,T
3,7H,PIBA,2.2,3,NA,T
3,9D,PIBA,2.2,2.5,NA,T
3,3F,PIBA,1.9,2.9,NA,T
3,1E,PIBA,2.4,2.9,NA,T
4,1A,PIBA,4.1,3,NA,T
4,3D,PIBA,4.7,3,NA,T
4,5F,POTR,3,5.1,NA,T
4,7I,PIBA,2.3,2.9,NA,T
4,7I,POBA,0.6,1.9,NA,T
6,1I,POTR,2.1,4,NA,T
6,1I,POBA,2.2,3.3,NA,T
6,3A,POTR,2.8,4.2,NA,T
6,3A,POBA,1.2,2.6,NA,T
6,5D,POTR,4.9,8.4,NA,T
6,7G,POTR,2.7,4.6,NA,T
6,7G,POBA,3.1,4.3,NA,T
6,9B,POTR,4.6,6.6,NA,T
6,9B,POBA,0.6,1.9,NA,T
8,1B,POBA,0.8,1.8,NA,T
8,1B,PIMA,NA,1.1,1.4,T
8,5A,PIMA,0.5,1.3,NA,T
8,7D,PIMA,0.6,1.3,NA,T
8,9I,PIMA,0.4,1.3,NA,T
8,3J,POBA,0.9,1.9,NA,T
8,3J,PIMA,NA,0.6,0.9,T
