month,year,stand,quad,temp_C
6,1981,1,0A,11
8,1981,1,0A,14
9,1981,1,0A,9
11,1981,1,0A,5
5,1982,1,0A,4
6,1982,1,0A,9
7,1982,1,0A,19
8,1982,1,0A,13
9,1982,1,0A,13
10,1982,1,0A,4
5,1983,1,0A,4
6,1983,1,0A,10
7,1983,1,0A,16
8,1983,1,0A,19
9,1983,1,0A,8
10,1983,1,0A,9
5,1984,1,0A,4
6,1984,1,0A,12
7,1984,1,0A,14
8,1984,1,0A,21
9,1984,1,0A,13
10,1984,1,0A,6
5,1985,1,0A,3
6,1985,1,0A,9
7,1985,1,0A,13
9,1985,1,0A,22
10,1985,1,0A,7
5,1986,1,0A,-1
6,1986,1,0A,16
7,1986,1,0A,13
8,1986,1,0A,16
9,1986,1,0A,18
10,1986,1,0A,6
5,1987,1,0A,10.5
6,1987,1,0A,11
7,1987,1,0A,15.5
8,1987,1,0A,16
9,1987,1,0A,8
10,1987,1,0A,11
5,1988,1,0A,5
6,1988,1,0A,11
7,1988,1,0A,20
8,1988,1,0A,15
9,1988,1,0A,12
10,1988,1,0A,3
5,1989,1,0A,6
6,1989,1,0A,7
7,1989,1,0A,16
8,1989,1,0A,18
9,1989,1,0A,9
10,1989,1,0A,10
5,1990,1,0A,3
6,1990,1,0A,10
7,1990,1,0A,13
8,1990,1,0A,9
9,1990,1,0A,12
10,1990,1,0A,2
8,1995,1,0A,14
8,2000,1,0A,16
8,2005,1,0A,15
8,2010,1,0A,17
6,1981,1,0C,10
8,1981,1,0C,14
9,1981,1,0C,9
11,1981,1,0C,6
5,1982,1,0C,3
6,1982,1,0C,9
7,1982,1,0C,17
8,1982,1,0C,13
9,1982,1,0C,13
10,1982,1,0C,5
5,1983,1,0C,3
6,1983,1,0C,10
7,1983,1,0C,16
8,1983,1,0C,18
9,1983,1,0C,9
10,1983,1,0C,12
5,1984,1,0C,4
6,1984,1,0C,11
7,1984,1,0C,14
8,1984,1,0C,21
9,1984,1,0C,13
10,1984,1,0C,7
5,1985,1,0C,4
6,1985,1,0C,9
7,1985,1,0C,13
9,1985,1,0C,19
10,1985,1,0C,6
5,1986,1,0C,3
6,1986,1,0C,14
7,1986,1,0C,13
8,1986,1,0C,15
9,1986,1,0C,17
10,1986,1,0C,6
5,1987,1,0C,11
6,1987,1,0C,10.5
7,1987,1,0C,15
8,1987,1,0C,16
9,1987,1,0C,7
10,1987,1,0C,11
5,1988,1,0C,5
6,1988,1,0C,11.5
7,1988,1,0C,17.5
8,1988,1,0C,14
9,1988,1,0C,12
10,1988,1,0C,3
5,1989,1,0C,6
6,1989,1,0C,8
7,1989,1,0C,15
8,1989,1,0C,17
9,1989,1,0C,10
10,1989,1,0C,8
5,1990,1,0C,3
6,1990,1,0C,9
7,1990,1,0C,12
8,1990,1,0C,11
9,1990,1,0C,12
10,1990,1,0C,2
8,1995,1,0C,13
8,2000,1,0C,16
8,2005,1,0C,15
8,2010,1,0C,16
6,1981,1,0E,10
8,1981,1,0E,14
9,1981,1,0E,8
11,1981,1,0E,4
5,1982,1,0E,3
6,1982,1,0E,8
7,1982,1,0E,17
8,1982,1,0E,13
9,1982,1,0E,12
10,1982,1,0E,5
5,1983,1,0E,3
6,1983,1,0E,9
7,1983,1,0E,16
8,1983,1,0E,18
9,1983,1,0E,9
10,1983,1,0E,9
5,1984,1,0E,4
6,1984,1,0E,11
7,1984,1,0E,14
8,1984,1,0E,21
9,1984,1,0E,12
10,1984,1,0E,6
5,1985,1,0E,2
6,1985,1,0E,9
7,1985,1,0E,13
9,1985,1,0E,18
10,1985,1,0E,6
5,1986,1,0E,3
6,1986,1,0E,13
7,1986,1,0E,13
8,1986,1,0E,14
9,1986,1,0E,16
10,1986,1,0E,6
5,1987,1,0E,10.5
6,1987,1,0E,11
7,1987,1,0E,15
8,1987,1,0E,16
9,1987,1,0E,7
10,1987,1,0E,10.5
5,1988,1,0E,4
6,1988,1,0E,11
7,1988,1,0E,17
8,1988,1,0E,14
9,1988,1,0E,12
10,1988,1,0E,3
5,1989,1,0E,6
6,1989,1,0E,7
7,1989,1,0E,14
8,1989,1,0E,17
9,1989,1,0E,10
10,1989,1,0E,6
5,1990,1,0E,3
6,1990,1,0E,9
7,1990,1,0E,12
8,1990,1,0E,10
9,1990,1,0E,12
10,1990,1,0E,2
8,1995,1,0E,12
8,2000,1,0E,16
8,2005,1,0E,15
8,2010,1,0E,15
6,1981,1,0G,11
8,1981,1,0G,14
9,1981,1,0G,9
11,1981,1,0G,4
5,1982,1,0G,3
6,1982,1,0G,8
7,1982,1,0G,17
8,1982,1,0G,12
9,1982,1,0G,11
10,1982,1,0G,6
5,1983,1,0G,4
6,1983,1,0G,9
7,1983,1,0G,16
8,1983,1,0G,18
9,1983,1,0G,8
10,1983,1,0G,8
5,1984,1,0G,5
6,1984,1,0G,11
7,1984,1,0G,14
8,1984,1,0G,18
9,1984,1,0G,12
10,1984,1,0G,6
5,1985,1,0G,2
6,1985,1,0G,9
7,1985,1,0G,13
9,1985,1,0G,18
10,1985,1,0G,6
5,1986,1,0G,3
6,1986,1,0G,14
7,1986,1,0G,13
8,1986,1,0G,14
9,1986,1,0G,17
10,1986,1,0G,6
5,1987,1,0G,11
6,1987,1,0G,11
7,1987,1,0G,13.5
8,1987,1,0G,16
9,1987,1,0G,7
10,1987,1,0G,10.5
5,1988,1,0G,4
6,1988,1,0G,11
7,1988,1,0G,20
8,1988,1,0G,15
9,1988,1,0G,12
10,1988,1,0G,3
5,1989,1,0G,6
6,1989,1,0G,7
7,1989,1,0G,14
8,1989,1,0G,16
9,1989,1,0G,11
10,1989,1,0G,7
5,1990,1,0G,3
6,1990,1,0G,9
7,1990,1,0G,12
8,1990,1,0G,11
9,1990,1,0G,12
10,1990,1,0G,3
8,1995,1,0G,13
8,2000,1,0G,15
8,2005,1,0G,14
8,2010,1,0G,15
6,1981,1,0I,8
8,1981,1,0I,13
9,1981,1,0I,8
11,1981,1,0I,4
5,1982,1,0I,2
6,1982,1,0I,8
7,1982,1,0I,14
8,1982,1,0I,12
9,1982,1,0I,11
10,1982,1,0I,4
5,1983,1,0I,3
6,1983,1,0I,9
7,1983,1,0I,14
8,1983,1,0I,17
9,1983,1,0I,9
10,1983,1,0I,8
5,1984,1,0I,3
6,1984,1,0I,11
7,1984,1,0I,14
8,1984,1,0I,18
9,1984,1,0I,12
10,1984,1,0I,7
5,1985,1,0I,3
6,1985,1,0I,7
7,1985,1,0I,12
9,1985,1,0I,17
10,1985,1,0I,6
5,1986,1,0I,1
6,1986,1,0I,10
7,1986,1,0I,11
8,1986,1,0I,14
9,1986,1,0I,14
