stand,WE_marker,SN_marker,relative_elevation_m
1,0,A,0.00
1,1,A,-0.57
1,2,A,-0.77
1,3,A,-1.92
1,4,A,-2.93
1,5,A,-2.46
1,6,A,-1.46
1,7,A,-0.94
1,8,A,0.24
1,9,A,1.15
1,10,A,2.16
1,0,B,-0.86
1,1,B,-0.60
1,2,B,-0.84
1,3,B,-2.09
1,4,B,-3.44
1,5,B,-2.92
1,6,B,-1.96
1,7,B,-1.35
1,8,B,-0.17
1,9,B,1.06
1,10,B,2.16
1,0,C,-1.76
1,1,C,-0.69
1,2,C,-0.99
1,3,C,-2.78
1,4,C,-4.52
1,5,C,-3.79
1,6,C,-3.14
1,7,C,-3.01
1,8,C,-1.76
1,9,C,0.07
1,10,C,1.68
1,0,D,-2.44
1,1,D,-1.61
1,2,D,-2.58
1,3,D,-4.09
1,4,D,-5.36
1,5,D,-4.98
1,6,D,-4.09
1,7,D,-3.59
1,8,D,-2.39
1,9,D,-0.16
1,10,D,1.46
1,0,E,-2.94
1,1,E,-2.85
1,2,E,-3.78
1,3,E,-3.73
1,4,E,-5.85
1,5,E,-5.41
1,6,E,-4.41
1,7,E,-3.85
1,8,E,-2.64
1,9,E,-0.21
1,10,E,1.44
1,0,F,-3.59
1,1,F,-2.77
1,2,F,-3.94
1,3,F,-3.53
1,4,F,-5.39
1,5,F,-5.41
1,6,F,-4.60
1,7,F,-3.70
1,8,F,-2.61
1,9,F,-0.32
1,10,F,1.10
1,0,G,-3.81
1,1,G,-2.83
1,2,G,-3.64
1,3,G,-2.89
1,4,G,-4.65
1,5,G,-4.54
1,6,G,-4.09
1,7,G,-3.35
1,8,G,-2.52
1,9,G,-0.30
1,10,G,0.81
1,0,H,-3.14
1,1,H,-2.44
1,2,H,-2.85
1,3,H,-2.21
1,4,H,-3.90
1,5,H,-3.65
1,6,H,-3.64
1,7,H,-3.69
1,8,H,-2.29
1,9,H,-0.10
1,10,H,0.64
1,0,I,-2.15
1,1,I,-1.34
1,2,I,-2.27
1,3,I,-1.14
1,4,I,-2.94
1,5,I,-2.84
1,6,I,-2.97
1,7,I,-3.24
1,8,I,-1.87
1,9,I,0.23
1,10,I,0.72
1,0,J,-1.31
1,1,J,-0.48
1,2,J,-1.17
1,3,J,-0.23
1,4,J,-2.09
1,5,J,-1.98
1,6,J,-2.36
1,7,J,-2.54
1,8,J,-1.28
1,9,J,0.59
1,10,J,1.02
1,0,K,-0.06
1,1,K,0.82
1,2,K,-0.18
1,3,K,0.78
1,4,K,-1.04
1,5,K,-1.06
1,6,K,-1.66
1,7,K,-2.26
1,8,K,-1.09
1,9,K,0.75
1,10,K,0.60
3,0,A,0.00
3,1,A,0.03
3,2,A,-1.24
3,3,A,-2.59
3,4,A,-2.35
3,5,A,-2.63
3,6,A,-1.78
3,7,A,-0.61
3,8,A,0.53
3,9,A,0.76
3,10,A,0.58
3,0,B,-0.40
3,1,B,-1.76
3,2,B,-2.75
3,3,B,-2.82
3,4,B,-2.48
3,5,B,-2.54
3,6,B,-1.78
3,7,B,-0.47
3,8,B,0.40
3,9,B,0.47
3,10,B,0.76
3,0,C,-1.20
3,1,C,-2.72
3,2,C,-3.43
3,3,C,-2.68
3,4,C,-2.36
3,5,C,-2.39
3,6,C,-1.47
3,7,C,-0.42
3,8,C,-0.13
3,9,C,0.96
3,10,C,1.88
3,0,D,-1.41
3,1,D,-2.37
3,2,D,-3.03
3,3,D,-2.34
3,4,D,-1.80
3,5,D,-1.94
3,6,D,-1.05
3,7,D,0.09
3,8,D,0.97
3,9,D,2.38
3,10,D,3.04
3,0,E,-1.03
3,1,E,-2.11
3,2,E,-2.19
3,3,E,-1.29
3,4,E,-1.09
3,5,E,-1.15
3,6,E,-0.36
3,7,E,0.95
3,8,E,2.48
3,9,E,3.48
3,10,E,4.40
3,0,F,-0.39
3,1,F,-1.10
3,2,F,-1.10
3,3,F,-0.14
3,4,F,-0.12
3,5,F,0.34
3,6,F,0.71
3,7,F,1.95
3,8,F,3.29
3,9,F,4.99
3,10,F,5.13
3,0,G,-0.20
3,1,G,-0.41
3,2,G,-0.37
3,3,G,1.39
3,4,G,1.03
3,5,G,1.42
3,6,G,2.16
3,7,G,3.20
3,8,G,4.27
3,9,G,5.84
3,10,G,7.23
3,0,H,0.23
3,1,H,-0.13
3,2,H,0.38
3,3,H,1.21
3,4,H,2.26
3,5,H,2.86
3,6,H,3.23
3,7,H,4.38
3,8,H,5.08
3,9,H,6.81
3,10,H,8.42
3,0,I,0.63
3,1,I,0.52
3,2,I,1.04
3,3,I,1.84
