stand_code,corner,latitude_degrees,longitude_degrees,elevation_m
1,NE,55.22888889,-114.2858333,593.4456
1,SE,55.21944444,-114.2858333,598.932
1,SW,55.2225,-114.3,594.9696
1,NW,55.22138889,-114.2991667,583.3872
1,Center,55.22305556,-114.2927778,592.836
2,NE,55.10333333,-114.3736111,599.5416
2,SE,55.09444444,-114.3727778,599.5416
2,SW,55.09305556,-114.1258333,600.456
2,NW,55.10222222,-114.1244444,612.648
2,Center,55.09833333,-114.1186111,599.8464
3,NE,55.31,-114.2952778,569.0616
3,SE,55.29972222,-114.2930556,627.888
3,SW,55.32805556,-114.31,599.8464
3,NW,55.31305556,-114.3058333,589.4832
3,Center,55.31277778,-114.3011111,596.4936
4,NE,55.34944444,-114.2927778,609.6
4,SE,55.34305556,-114.2808333,595.884
4,SW,55.3425,-114.2938889,619.0488
4,NW,55.34944444,-114.2927778,609.6
4,Center,55.34611111,-114.3177778,608.6856
5,NE,55.29972222,-114.3661111,640.08
5,SE,55.29166667,-114.3683333,614.7816
5,SW,55.29111111,-114.3794444,589.1784
5,NW,55.29888889,-114.3794444,647.0904
5,Center,55.29527778,-114.3733333,634.8984
6,NE,55.31972222,-114.4011111,642.5184
6,SE,55.31666667,-114.3991667,629.7168
6,SW,55.31111111,-114.4161111,640.9944
6,NW,55.31833333,-114.4136111,642.5184
6,Center,55.31638889,-114.4075,639.1656
7,NE,55.18972222,-114.1036111,613.8672
7,SE,55.18166667,-114.1038889,607.7712
7,SW,55.18277778,-114.1180556,606.8568
7,NW,55.19,-114.1177778,612.9528
7,Center,55.18611111,-114.1108333,610.5144
8,NE,55.24416667,-114.3055556,625.1448
8,SE,55.23638889,-114.2783333,591.9216
8,SW,55.2375,-114.2902778,631.8504
8,NW,55.24361111,-114.2911111,585.5208
8,Center,55.24055556,-114.2913889,608.6856
