stand,month,day,year,id,height_cm,diameter_mm,browsed,notes
3,5,18,1985,688,80,9,1981,
3,5,18,1985,655,190,33,1977,
3,5,18,1985,659,120,32,"1984, 1982",
3,5,18,1985,629,300,44,"1984, 1982",
3,5,18,1985,669,117,27,"1984, 1982",
3,5,18,1985,635,270,35,"1984, 1982",
3,5,18,1985,633,235,29,"1982, 1981",
3,5,18,1985,640,110,28,1981,
3,5,18,1985,652,190,24,"1984, 1981",snow damage
3,5,18,1985,624,190,6,1980,snow damage
3,5,18,1985,684,60,11,"1984, 1982",
3,5,18,1985,630,115,24,1982,
3,5,18,1985,605,55,3,"1984, 1983, 1980",
3,5,18,1985,110,20,6,1977,
3,5,18,1985,118,17,5,1979,dominant of layered
3,5,18,1985,140,55,19,1980,
3,5,18,1985,129,55,6,NA,
3,5,18,1985,685,75,3,1982,
3,5,18,1985,643,350,33,"1983, 1982",
3,5,18,1985,133,250,42,,
3,5,18,1985,184,100,28,1984,
3,5,18,1985,111,48,7,1981,
3,5,18,1985,121,60,8,1981,
3,5,18,1985,165,30,6,1984,
3,5,18,1985,193,63,11,1981,
3,5,18,1985,163,70,19,1980,
3,5,18,1985,122,30,16,"1984, 1982, 1981",
3,5,18,1985,120,100,29,"1982, 1981",healthy to 50 cm height
3,5,18,1985,185,100,21,1977,
3,5,18,1985,180,74,18,"1982, 1981",
3,5,18,1985,188,97,7,,
3,5,18,1985,169,83,3,,
3,5,18,1985,792,53,4,1981,
3,5,18,1985,148,270,28,,
3,5,18,1985,956,207,44,"1981, 1979",
3,5,18,1985,908,190,34,1982,
3,5,18,1985,931,260,45,"1982, 1979",
3,5,18,1985,958,27,21,"1981, 1979",
3,5,18,1985,964,27,3,1982,
3,5,18,1985,965,20,2,"1984, 1981",
3,5,18,1985,903,26,19,"1982, 1981",
3,5,18,1985,985,52,10,1981,
3,5,18,1985,932,58,7,"1983, 1965",
3,5,18,1985,982,48,6,"1984, 1983, 1982",
3,5,18,1985,901,26,2,"1984, 1983",
3,5,18,1985,957,27,1,,
3,5,18,1985,975,61,9,"1983, 1982",
3,5,18,1985,974,73,8,"1984, 1983, 1982",
3,5,18,1985,933,37,9,1982,
3,5,18,1985,963,43,11,1981,
3,5,18,1985,967,31,6,1982,
3,5,18,1985,970,30,3,,
3,5,18,1985,954,30,6,"1984, 1983, 1981",
3,5,18,1985,952,24,5,"1983, 1982",
3,5,18,1985,971,16,2,"1983, 1982, 1981",
3,5,18,1985,960,32,4,"1984, 1983, 1982",
3,5,18,1985,996,73,6,"1983, 1982",
3,5,18,1985,913,10,3,1983,
3,5,18,1985,940,37,3,"1983, 1982",
3,5,18,1985,973,30,25,1983,
3,5,18,1985,645,40,9,1982,
3,5,18,1985,682,74,8,"1984, 1983, 1982",
3,5,18,1985,989,75,6,1982,
3,5,18,1985,935,23,3,1982,
3,5,18,1985,900,45,18,"1984, 1983, 1982",
3,5,18,1985,923,54,8,"1984, 1982, 1981",
3,5,18,1985,981,40,3,"1984, 1983, 1982, 1981",
3,5,18,1985,969,15,6,"1984, 1983",
3,5,18,1985,972,10,2,1983,
3,5,18,1985,980,28,5,"1984, 1983, 1982",
3,5,18,1985,993,65,29,"1982, 1980",
