stand,year,id,height_cm,diameter_mm,browsed,notes
5,1985,328,205,24,,
5,1985,595,57,4,1984,
5,1985,533,190,28,,
5,1985,581,220,22,,
5,1985,589,240,26,,
5,1985,562,150,20,,
5,1985,780,340,39,,
5,1985,542,26,9,,
5,1985,314,32,9,,
5,1985,212,155,26,1984,
5,1985,382,34,4,1984,
5,1985,377,305,22,1984,
5,1985,272,235,29,1984,
5,1985,307,230,37,,
5,1985,218,320,38,1984,
5,1985,544,195,29,,
5,1985,582,210,31,1984,
5,1985,592,350,32,1984,
5,1985,572,400,34,1984,
5,1985,389,300,42,1984,
5,1985,537,34,4,1984,
5,1985,227,105,14,1984,
5,1985,317,80,15,1984,
5,1985,357,250,35,1984,
5,1985,301,14,3,1984,
5,1985,338,20,5,1984,
5,1985,305,270,39,1984,
5,1985,560,240,42,,
5,1985,557,27,2,1984,
5,1985,540,260,35,,
5,1985,517,245,28,,
5,1985,385,50,10,,
