"stand","plot","tag","species_code","DBH_1983_cm","base_coord_N_1983_m","base_coord_S_1983_m","base_coord_E_1983_m","base_coord_W_1983_m","year_dead","fallen_stem_length_1983_m","exit_coord_N_1983_m","exit_coord_S_1983_m","exit_coord_E_1983_m","exit_coord_W_1983_m","year_fallen_1983","age_1983","stem_height_1983_m","stem_lean_amt_scaled_1983","stem_lean_dir_1983","stem_lean_amt_1991","stem_lean_dir_1991","stem_lean_amt_2000","stem_lean_dir_2000","crown_width_NS_1983_m","crown_width_EW_1983_m","height_to_crown_1983_m","fill_perc_1983","BSD_1983","radial_10year_inc_1983_mm","DBH_1991_cm","DBH_2000_cm","height_2000_m","tree_code_2000","fire_code_2000","comments"
"2","0B","5981","PIBA",26,"0.3",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20","O","Z",NA,NA,NA,NA,"7","5.4","2","60","32.1",NA,"27.8","29.7","22.4",NA,NA,""
"2","0C","5982","PIBA",4,"1.2",NA,NA,"1.9","1982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.8","3.7","1.8","DB1",NA,"broken top (2000)"
"2","0D","6317","PIBA",23.5,NA,"0.2",NA,"0.9",NA,NA,NA,NA,NA,NA,NA,NA,"20","O","Z",NA,NA,NA,NA,"6","3.9","5","70","27.5",NA,"24.8","27","20.1",NA,NA,""
"2","0F","6318","PIBA",26,NA,"0.3","2.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"19","O","Z",NA,NA,NA,NA,"5","4","5","75","30.5",NA,"27.6","29.5","20.3",NA,NA,""
"2","0G","6319","PIBA",26,NA,"1.8","0",NA,NA,NA,NA,NA,NA,NA,NA,"56","18","O","Z",NA,NA,NA,NA,"4","3.6","4","65","29.5",NA,"28","30.3","20.6",NA,NA,""
"2","0I","6325","PIBA",21,NA,"0.5","0.6",NA,NA,NA,NA,NA,NA,NA,NA,"56","20","S","W",NA,NA,NA,NA,"3.8","4.5","8","60","25",NA,"23.3","25.5","21.6",NA,NA,""
"2","0I","6320","PIBA",13,NA,"1.7",NA,"1.2","2000",NA,NA,NA,NA,NA,NA,"31","16","S","N",NA,NA,NA,NA,"2.5","2","9.7","40","15.4",NA,"13.9","14","16.4","DS",NA,""
"2","0I","6324","PIBA",9.8,NA,"2.4","1.5",NA,"1982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9.8","10.5","6.8","DB2",NA,"broken top (2000)"
"2","0I","6321","PIBA",11.2,NA,"2.4","2.6",NA,"1984",NA,NA,NA,NA,NA,NA,NA,"4.8","S","W",NA,NA,NA,NA,"2.5","1.5","4","10","14.8",NA,"11.7","11.8","4.5","DB2",NA,"broken top (2000)"
"2","0I","6322","PIBA",13.5,NA,"2.5","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"17","M","SE",NA,NA,NA,NA,"1.5","2.7","12","30","16.2",NA,"15.3","15.8","17.5",NA,NA,""
"2","0I","6323","PIBA",15.8,NA,"2.6","1.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"17","S","N",NA,NA,NA,NA,"2.5","4.6","11.5","40","20.8",NA,"17.7","18.8","18.4",NA,NA,""
"2","0I","6326","PIBA",9,"0.7",NA,NA,"1.4","1982",NA,"0.7",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.9",NA,NA,"DD",NA,"no length, ""s"" shape (2000)"
"2","0J","6327","PIBA",26.5,NA,"1.5",NA,"2.1",NA,NA,NA,NA,NA,NA,NA,NA,"20","O","Z",NA,NA,NA,NA,"5.5","4.5","8","65","32",NA,"29.5","31.9","22.6",NA,NA,""
"2","1A","6495","PIBA",26.2,"0.5",NA,"0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"16.6","O","Z",NA,NA,NA,NA,"6.8","4.5","4.8","30","32.2",NA,"28.5","31.2","19.9",NA,NA,""
"2","1B","6494","PIBA",24.2,"0.5",NA,"2.4",NA,NA,NA,NA,NA,NA,NA,NA,"58","19.6","O","Z",NA,NA,NA,NA,"5.7","4","9.6","70","29.4","8.92","26.8","27.9","22.2",NA,NA,""
"2","1B","6493","PIBA",18.2,"1",NA,"1.3",NA,NA,NA,NA,NA,NA,NA,NA,"57","16.4","S","S",NA,NA,NA,NA,"4.3","3.6","8","80","22.2","11.3","20.4","22.2","21.5",NA,NA,""
"2","1E","6492","PIBA",23.2,"0.6",NA,NA,"2.3",NA,NA,NA,NA,NA,NA,NA,"56","17","S","S",NA,NA,NA,NA,"5","4.2","4","70","27.4","16.45","27","27.9","21",NA,NA,""
"2","1G","6490","PIBA",21,NA,"0.7",NA,"1.2",NA,NA,NA,NA,NA,NA,NA,"55","20.2","M","S",NA,NA,NA,NA,"3.7","3.8","10.4","75","24.2","7.03","23.8","25.5","21.3",NA,NA,"6490 and 89 joined (1G) (1991, 2000)"
"2","1G","6489","PIBA",22.5,NA,"0.7",NA,"1.5",NA,NA,NA,NA,NA,NA,NA,"41","20.2","O","Z",NA,NA,NA,NA,"3.2","3.6","3.8","50","26.9","14.35","26.9","29.4","23.4",NA,NA,""
"2","1G","6488","PIBA",17.2,NA,"2.3","0.4",NA,"2000",NA,NA,NA,NA,NA,NA,"57","16.6","M","SSE",NA,NA,NA,NA,"3.2","3.6","10.4","20","20","3.54","19.9","18.9","15.7","DS",NA,""
"2","1G","6491","PIBA",12.5,"0.1",NA,"2.1",NA,"2000",NA,NA,NA,NA,NA,NA,"46","9.2","M","W",NA,NA,NA,NA,"3.4","3.3","5.2","65","15.4",NA,"14.2","12.8","8.4","DS",NA,""
"2","1G","6487","PIBA",16.2,"1.9",NA,"0.3",NA,NA,NA,NA,NA,NA,NA,NA,"56","16.2","O","Z",NA,NA,NA,NA,"2.6","2.6","11.2","80","20.5","5.9","19.9","20.5","19",NA,NA,""
"2","1H","2388","PIBA",20.5,NA,"0.8","1.9",NA,NA,NA,NA,NA,NA,NA,NA,"56","17.6","S","S",NA,NA,NA,NA,"4.8","3.4","8.4","70","24.2","6.86","28.9","22.9","20.3",NA,NA,""
"2","1H","6486","PIBA",10.8,"0.1",NA,NA,"0.6","2000",NA,NA,NA,NA,NA,NA,"42","17","S","E",NA,NA,NA,NA,"1.7","1.8","8","60","13.7","3.37","11.5","11.4","13.7","DB2",NA,""
