Quad,Temp_F,Month,Year,Stand
0A,64,8,2000,3
0C,61,8,2000,3
0E,60,8,2000,3
0G,60,8,2000,3
0I,59,8,2000,3
2I,61,8,2000,3
2G,61,8,2000,3
2E,59,8,2000,3
2C,58,8,2000,3
2A,59,8,2000,3
4A,59,8,2000,3
4C,60,8,2000,3
4E,57,8,2000,3
4G,59,8,2000,3
4I,61,8,2000,3
6I,60,8,2000,3
6G,60,8,2000,3
6E,59,8,2000,3
6C,60,8,2000,3
6A,61,8,2000,3
8A,60,8,2000,3
8C,61,8,2000,3
8E,61,8,2000,3
8G,61,8,2000,3
8I,60,8,2000,3
0A,51,9,2001,3
0C,49,9,2001,3
0E,54,9,2001,3
0G,55,9,2001,3
0I,56,9,2001,3
2I,55,9,2001,3
2G,60,9,2001,3
2E,56,9,2001,3
2C,55,9,2001,3
2A,58,9,2001,3
4A,61,9,2001,3
4C,59,9,2001,3
4E,57,9,2001,3
4G,50,9,2001,3
4I,53,9,2001,3
6I,53,9,2001,3
6G,51,9,2001,3
6E,55,9,2001,3
6C,55,9,2001,3
6A,56,9,2001,3
8A,54,9,2001,3
8C,52,9,2001,3
8E,57,9,2001,3
8G,57,9,2001,3
8I,57,9,2001,3
0A,63,8,2005,3
0C,60,8,2005,3
0E,63,8,2005,3
0G,61,8,2005,3
0I,64,8,2005,3
2I,63,8,2005,3
2G,64,8,2005,3
2E,65,8,2005,3
2C,67,8,2005,3
2A,65,8,2005,3
4A,67,8,2005,3
4C,67,8,2005,3
4E,65,8,2005,3
4G,64,8,2005,3
4I,69,8,2005,3
6I,63,8,2005,3
6G,65,8,2005,3
6E,63,8,2005,3
6C,67,8,2005,3
6A,68,8,2005,3
8A,67,8,2005,3
8C,64,8,2005,3
8E,68,8,2005,3
8G,63,8,2005,3
8I,68,8,2005,3
0A,66,8,2010,3
0C,66,8,2010,3
0E,67,8,2010,3
0G,63,8,2010,3
0I,65,8,2010,3
2I,66,8,2010,3
2G,67,8,2010,3
2E,66,8,2010,3
2C,65,8,2010,3
2A,64,8,2010,3
4A,65,8,2010,3
4C,65,8,2010,3
4E,64,8,2010,3
4G,61,8,2010,3
4I,62,8,2010,3
6I,60,8,2010,3
6G,61,8,2010,3
6E,62,8,2010,3
6C,60,8,2010,3
6A,62,8,2010,3
8A,62,8,2010,3
8C,63,8,2010,3
8E,63,8,2010,3
8G,63,8,2010,3
8I,64,8,2010,3
0A,65,8,1981,3
0C,63,8,1981,3
0E,65,8,1981,3
0G,67,8,1981,3
0I,65,8,1981,3
2I,66,8,1981,3
2G,63,8,1981,3
2E,63,8,1981,3
2C,66,8,1981,3
2A,64,8,1981,3
4A,67,8,1981,3
4C,64,8,1981,3
4E,65,8,1981,3
4G,67,8,1981,3
4I,66,8,1981,3
6I,64,8,1981,3
6G,64,8,1981,3
6E,67,8,1981,3
6C,63,8,1981,3
6A,64,8,1981,3
8A,65,8,1981,3
8C,63,8,1981,3
8E,64,8,1981,3
8G,63,8,1981,3
8I,63,8,1981,3
0A,47,6,1981,3
0C,49,6,1981,3
0E,51,6,1981,3
0G,51,6,1981,3
0I,51,6,1981,3
2I,49,6,1981,3
2G,49,6,1981,3
2E,50,6,1981,3
2C,50,6,1981,3
2A,52,6,1981,3
4A,51,6,1981,3
4C,50,6,1981,3
4E,50,6,1981,3
4G,51,6,1981,3
4I,50,6,1981,3
