STAND 2, 3 AUG 1986, OBSERVERS:DAC (#4) ROWS:0,2,4,6,8, RAE (#2) ROW 4,  DATA ENTRY: 26 OCT 1994								  RAE  2 AUG 1986

QUAD  0A    0C	  0E	0G    0I    2I	  2G	2E    2C    2A	  4A	4C    4E    4G	  4I	6I    6G    6E	  6C	6A    8A    8C	  8E	8G    8I    4a	  4c	4e    4g    4i

PIBA   0.5   2.0   0.5	11.0   8.0  10.0   9.0	 4.0  10.0   8.0   1.0	 6.0   8.0   8.0   0.0	 0.1   4.0   6.0   6.0	10.0   8.0   8.0   4.0	 5.0   4.0   2.0   6.0	 8.0   9.0   0.0
PIGL   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   1.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.01  0.0   0.0	 0.0   0.0   0.0   0.0	 1.0   0.0   0.0
POTR   0.5   0.01  0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
ALCR   0.0   0.0   6.0	 0.5  12.0  10.0   8.0	 0.0   7.0   2.0   0.0	 2.0   5.0   0.0   3.0	 3.0   0.0   5.0  10.0	 9.0   7.0   6.0   4.0	 6.0   0.5   0.0   3.0	 6.0   0.0   4.0
AMAL   0.1   0.5   0.1	 0.1   0.5   0.1   0.0	 0.5   0.0   0.01  0.5	 0.01  0.1   0.0   0.1	 0.5   0.0   0.5   0.01  0.5   0.0   0.5   1.0	 2.0   0.1   0.5   0.1	 0.1   0.0   0.0
ARUV  12.0  20.0  12.0	25.0   3.0   6.0   4.0	 5.0   1.0   5.0  20.0	 3.0   5.0  15.0   2.0	13.0   8.0   0.5   2.0	 1.0   0.0   0.1   3.0	 2.0   8.0  30.0   3.0	 5.0  22.0   3.0
PRPE   0.0   0.0   0.5	 0.0   0.5   0.5   0.1	 0.5   0.5   0.0   0.0	 0.5   0.0   0.0   0.0	 0.5   0.1   0.0   0.0	 0.0   0.0   0.5   0.5	 0.0   0.5   0.0   0.5	 0.0   0.0   0.0
ROAC   1.0   1.0   2.0	 0.5   1.0   2.0   1.0	 1.0   2.0   1.0   2.0	 2.0   2.0   1.0   0.5	 0.5   2.0   2.0   4.0	 3.0   2.0   3.0   2.0	 1.0   2.0   3.0   2.0	 3.0   1.0   0.5
ROWO   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
RUID   0.0   0.0   0.0	 0.0   0.0   0.0   0.1	 0.0   1.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.1   0.5	 2.0   0.0   0.0   0.0	 0.0   0.0   0.0
SABE   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   1.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   1.0
SHCA   1.0   0.5   0.0	 0.0   0.0   0.1   0.0	 7.0   0.5   0.5   0.01  1.0   0.1   0.0   0.1	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   3.0	 0.0   0.0   0.1
SYAL   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
ANMU   0.1   0.0   0.1	 0.1   0.0   0.01  0.0	 0.1   0.01  0.1   0.1	 0.0   0.1   0.1   0.1	 0.1   0.5   0.1   0.1	 0.1   0.0   0.0   0.1	 0.1   0.1   0.0   0.0	 0.1   0.0   0.0
ANPA   0.1   0.0   0.1	 0.0   0.1   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.1   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.1   0.0	 0.1   0.1   0.01
ARNU   0.0   0.0   0.0	 0.0   0.0   2.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.1	 0.0   0.0   0.0   0.0	 0.0   0.5   3.0   4.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
ASLA   0.5   0.5   3.0	 0.5   0.0   0.5   0.5	 0.5   0.5   1.0   1.0	 0.5   0.5   0.5   0.5	 2.0   0.5   0.5   0.5	 0.5   0.0   0.0   0.5	 0.5   1.0   2.0   1.0	 0.0   1.0   1.0

QUAD  0A    0C	  0E	0G    0I    2I	  2G	2E    2C    2A	  4A	4C    4E    4G	  4I	6I    6G    6E	  6C	6A    8A    8C	  8E	8G    8I    4a	  4c	4e    4g    4i
CARO   0.01  0.0   0.01  0.01  0.0   0.01  0.0	 0.1   0.0   0.01  0.0	 0.0   0.01  0.01  0.01  0.01  0.01  0.01  0.0	 0.01  0.0   0.0   0.01  0.01  0.01  0.01  0.0	 0.01  0.0   0.01
ERGL   0.1   0.5   0.1	 0.01  0.01  0.01  0.0	 0.1   0.01  0.1   0.1	 0.0   0.01  0.01  0.1	 0.5   0.1   0.01  0.1	 0.1   0.0   0.0   0.0	 0.0   0.1   0.1   0.01  0.0   0.1   0.1
GABO   0.1   0.0   0.5	 0.1   0.0   0.01  0.01  0.01  0.01  0.1   0.1	 0.01  0.1   0.1   0.1	 0.1   0.1   0.1   0.01  0.01  0.0   0.01  0.1	 0.1   0.1   0.1   0.1	 0.1   0.1   0.1
GELI   0.1   0.0   0.0	 0.0   0.1   0.5   1.0	 0.0   1.0   0.0   0.0	 0.0   0.5   0.5   0.1	 0.0   0.5   0.01  0.0	 0.0   2.0   1.0   1.0	 0.1   0.0   0.0   0.0	 0.5   0.1   0.1
HIUM   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.1	 0.0   0.0   0.0   0.1	 0.0   0.5   0.0   0.0	 0.0   0.0   0.0   0.0	 0.1   0.0   0.1   0.0	 0.0   0.0   0.1
LIBO   0.0   0.0   0.0	 0.0   0.5   2.0   3.0	 2.0   0.5   0.1   0.0	 0.0   0.5   0.1   0.1	 0.0   0.0   0.0   0.1	 0.0   0.1   0.5   2.0	 6.0   0.5   0.0   0.0	 0.5   0.1   0.1
LIPH   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.01  0.0   0.0   0.0	 0.0   0.0   0.0
MELI   0.1   0.5   0.5	 0.0   0.0   0.01  0.0	 0.0   0.5   0.1   0.1	 0.1   0.01  0.01  0.1	 0.1   0.1   0.01  0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.1	 0.01  0.1   0.5
ORSE   0.0   0.0   0.0	 0.0   0.1   0.1   0.0	 0.1   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.01  0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
PYCH   0.01  0.0   0.01  0.0   0.0   0.0   0.0	 0.0   0.0   0.01  0.0	 0.0   0.0   0.0   0.0	 0.0   0.1   0.0   0.0	 0.1   0.1   0.01  0.0	 0.0   0.0   0.0   0.0	 0.01  0.0   0.01
SOSP   0.5   0.5   0.01  0.1   0.0   0.0   0.0	 0.0   0.0   0.1   0.5	 0.5   0.01  0.5   0.5	 0.5   0.1   0.01  0.5	 0.5   0.0   0.0   0.0	 0.0   0.1   0.1   1.0	 0.1   0.1   0.1
VIAD   0.1   0.01  0.1	 0.01  0.0   0.01  0.1	 0.01  0.01  0.1   0.01  0.0   0.01  0.0   0.01  0.01  0.0   0.0   0.0	 0.0   0.0   0.0   0.01  0.0   0.1   0.0   0.0	 0.1   0.0   0.1
CXSI   0.0   0.0   0.0	 0.0   0.01  0.0   0.01  0.01  0.01  0.1   0.0	 0.1   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.01  0.01  0.0   0.0	 0.0   0.0   0.0   0.01  0.0   0.0   0.0
CXRI   0.5   0.5   0.1	 0.5   0.1   0.1   0.0	 0.0   0.0   0.0   0.1	 0.5   0.0   0.1   0.1	 0.1   0.1   0.0   0.0	 0.0   0.0   0.0   0.0	 0.01  0.0   0.5   0.5	 0.0   0.1   0.1
