STAND 3, SURVEY DATE: 06 Sep 1987, OBSERVERS: G.H. La Roi (#1), ROWS: 4,8, D.A. Chesterman (#4), ROWS: 0,8, DATA ENTRY: 05 Dec 1996 (note: GHLR used thermometer "Old #1"; DAC used "E new"; DAC data from Row 8 in 8a-8i below)

QUAD  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    8a    8c    8e    8g    8i

ABBA   0.0   0.0   0.0   3.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
BEPA   0.5   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   3.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.1   0.5   0.0   1.0   1.0   0.1   0.5
PIBA  15.0  11.0  13.0   2.0   8.0   0.0   0.0   0.0   0.0   0.0  15.0  11.0  13.0  17.0  19.0   0.0   0.0   0.0   0.0   0.0  15.0  11.0  15.0  18.0  20.0  10.0   6.0   8.0   8.0  12.0
PIGL   0.0   0.5   5.0   4.0   2.0   0.0   0.0   0.0   0.0   0.0   0.0   3.0   5.0   0.0   2.0   0.0   0.0   0.0   0.0   0.0   6.0   3.0   2.0   4.0   0.0   5.0   4.0   2.0   4.0   0.0
PIMA   0.0   0.0   0.0   0.0   3.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   2.0   0.1   5.0   0.0   0.0   0.0   0.0   5.0   0.0
POTR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   6.0   4.0   0.0   0.0   0.0   6.0   5.0
ALCR   5.0   7.0   4.0   6.0   4.0   0.0   0.0   0.0   0.0   0.0   1.0   6.0   5.0  10.0   3.0   0.0   0.0   0.0   0.0   0.0   5.0   8.0   3.0   4.0   2.0   5.0   8.0   6.0   4.0   2.0
AMAL   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ARUV   0.1   0.0   0.0   0.0   2.0   0.0   0.0   0.0   0.0   0.0   4.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.5   0.0   0.5   0.0   0.01  0.5   0.0   0.1   0.0
