STAND 4, SURVEY DATE: 13 Jul 1981, OBSERVERS: G.H. La Roi (#1), ROWS: 4E-I,6,8, R.A. Ellis (#2), ROWS: 0,2,4A-C, DATA ENTRY: 25 Nov 2006 (note: soil temperature not measured; first
survey we used the "." cover symbol for species with very low cover [0.01%]; dead cover estimates: PIBA 6A/2%, 8I/4% POTR 8G/R ..this practice was not adopted for later surveys)

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i

ABBA  10.0   8.0  35.0  25.0   3.0  40.0  15.0  30.0  35.0  20.0  20.0   3.0   7.0  10.0  40.0  15.0  15.0  40.0  20.0  40.0  35.0  25.0  50.0  35.0  45.0   0.0   0.0   0.0   0.0   0.0
BEPA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0
PIBA   0.0   0.0   0.0  10.0   0.0   0.0   0.0   1.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   4.0   0.0   1.0   0.5   0.0   3.0   0.0   0.0   0.0   0.0   0.0   0.0
PIGL  35.0  20.0  20.0   2.0  35.0  25.0  30.0  20.0  15.0  25.0  10.0  25.0  15.0   7.0  10.0  12.0  25.0  10.0  30.0  30.0   3.0  25.0   3.0  12.0   8.0   0.0   0.0   0.0   0.0   0.0
PIMA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   5.0   0.0   0.0   0.0   2.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
POTR   7.0   0.5   0.0   0.5   0.0   0.1   0.0   0.0   0.0   0.1   4.0   0.0   0.01  0.5   1.0   0.0   0.01  0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
LEGR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.01  0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0
LODI   0.0   0.1   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0
LOIN   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ROAC   0.0   0.0   0.01  0.01  0.0   0.01  0.1   0.1   0.5   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0
RILA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RITR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RUID   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
VACA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.01  0.01  0.0   0.0   0.0   0.0   0.0
VAMY   0.1   0.0   0.0   0.0   0.1   0.01  0.0   0.01  0.1   0.5   0.1   0.0   0.0   0.0   0.01  0.1   0.1   0.1   0.0   0.0   0.0   0.1   0.5   0.5   0.1   0.0   0.0   0.0   0.0   0.0
VAVI   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
VIED   3.0   0.1   0.0   0.0   1.0   0.1   0.0   0.0   0.0   1.0   0.5   0.5   0.0   0.0   0.1   0.1   0.0   0.0   0.0   0.1   0.0   0.5   0.1   0.5   0.1   0.0   0.0   0.0   0.0   0.0

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i
ACRU   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ARNU   2.0   0.5   0.0   0.5   0.1   0.1   0.5   0.0   0.5   1.0   2.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.5   2.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ASCI   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
COCA   0.5   1.0   0.5   0.5   0.5   0.5   0.1   0.5   0.5   1.0   1.0   1.0   0.1   0.1   0.1   0.5   0.1   0.1   0.1   0.1   0.5   0.5   0.5   1.0   0.1   0.0   0.0   0.0   0.0   0.0
FRVI   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
GABO   0.0   0.1   0.01  0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.01  0.0   0.0   0.0   0.0   0.0   0.1   0.1   0.1   0.1   0.0   0.1   0.01  0.0   0.0   0.0   0.0   0.0
GELI   0.0   0.1   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
GORE   0.0   0.01  0.01  0.01  0.1   0.1   0.1   0.1   0.5   0.1   0.01  0.1   0.1   0.1   0.1   0.1   0.1   0.1   0.1   0.01  0.1   0.01  0.1   0.01  0.1   0.0   0.0   0.0   0.0   0.0
LIBO   1.0   2.0   1.0   0.1   0.5   0.0   0.5   0.5   0.5   2.0   1.0   0.5   0.5   0.0   0.1   0.1   0.0   0.5   0.1   0.5   0.5   0.5   2.0   2.0   0.5   0.0   0.0   0.0   0.0   0.0
MACA   0.5   0.5   0.1   0.1   0.5   0.1   0.5   1.0   0.5   0.5   0.5   0.5   0.1   0.1   0.1   0.5   0.1   0.5   0.1   0.5   0.1   0.5   0.5   0.5   0.5   0.0   0.0   0.0   0.0   0.0
MEPA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
MINU   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.1   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
PEPA   0.5   0.5   0.1   0.1   0.0   0.0   0.0   0.0   0.5   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.5   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0
PYAS   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ORSE   0.1   0.1   0.1   0.1   0.0   0.0   0.1   0.1   0.1   0.0   0.1   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.1   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0
PYCH   0.01  0.0   0.0   0.01  0.5   0.01  0.1   0.1   0.5   0.0   0.1   0.5   0.0   0.1   0.01  0.1   0.1   0.01  0.0   0.0   0.0   0.0   0.01  0.01  0.01  0.0   0.0   0.0   0.0   0.0
RUPU   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
TRBO   0.0   0.0   0.0   0.0   0.0   0.01  0.1   0.0   0.0   0.0   0.0   0.0   0.1   0.5   0.1   0.5   0.1   0.1   0.0   0.1   0.1   0.1   0.5   0.5   0.1   0.0   0.0   0.0   0.0   0.0
VIRE   0.5   0.5   0.1   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.1   0.1   0.1   0.01  0.01  0.1   0.1   0.1   0.1   0.01  0.0   0.0   0.0   0.0   0.0
ELIN   0.1   0.0   0.01  0.0   0.0   0.0   0.0   0.1   0.01  0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.1   0.0   0.01  0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i
CACA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0
EQAR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
EQPR   0.0   0.0   0.01  0.01  0.0   0.0   0.01  0.0   0.0   0.0   0.01  0.0   0.01  0.01  0.0   0.01  0.0   0.01  0.0   0.0   0.01  0.0   0.01  0.0   0.01  0.0   0.0   0.0   0.0   0.0
