STAND 4, SURVEY DATE: 30 Jul 1984 [Rows 4,6,8], 03 Aug 1984 [Rows 0,2,4], OBSERVERS: M.S. Ross (#4), ROWS: 0,2,4, R.A. Ellis (#2), ROWS: 4,6,8, DATA ENTRY: 24 Nov 2008 (note: MSR used soil
thermometer #??, RAE used #???; note that the 2 observers worked on different dates, hence the soil temps may be hard to interpret [but compare measurements in Row 4]; RAE's cover data for
Row 4 appear in columns 4a-4i and are not used in 1-2-3 worksheet, but they are used in observer calibrations; PIBA cover 3% but dead & not entered in 8I; GHLR away>


Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i

ABBA   7.0   8.0  15.0  12.0   5.0  15.0  10.0   8.0  12.0   6.0   9.0   3.0   5.0  20.0  12.0   5.0   5.0  20.0  10.0  18.0  10.0   6.0  17.0   4.0  15.0  10.0   2.0   3.0  15.0  20.0
BEPA   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0  30.0   0.01  0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   1.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
PIBA   0.0   0.0  10.0   4.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   2.0   0.0   0.0   0.0   0.0   0.0   0.0
PIGL  40.0  35.0  25.0   1.0  30.0  35.0  35.0  25.0  10.0  40.0  15.0  40.0  20.0   4.0   2.0   4.0  17.0   4.0  15.0  15.0   4.0  12.0   0.0   5.0   6.0   5.0  17.0  12.0   0.0   0.0
PIMA   0.0   0.0   0.0   0.0   4.0   3.0   7.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
POTR  15.0   0.1   0.1   0.1   0.01  0.01  0.1   0.01  0.0  10.0   8.0   0.1   7.0  15.0   6.0   0.0   0.01  0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.1   2.0   0.1   0.1   1.0   2.0
LEGR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0
LODI   0.01  0.01  0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.1   0.0   0.1   0.0   0.0   0.0   0.0
LOIN   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
