STAND 4, SURVEY DATE: 05 May 1984, OBSERVERS: G.H. La Roi (#1), ROWS: 0,2,4, M.S. Ross (#4), ROWS: 4,6,8, DATA ENTRY: 08 Nov 2008 (note: GHLR used soil thermometer Old #1, MSR used #?;
"big POTR #309 in plot 4G has bracket fungus"; GHLR altered MSR data for Pyrola "retained PYAS in 4I & 8E but transferred other est's to PYCH [PYVI]; birds RBNU,CHSP; air temp data from
3 Max-Mins SW  Max 75F Min -30F Present 56F @ 1630h mdt, Central  Max 21C Min -31C Present 11C @1735h mdt, NE  Max 72F Min -32F Present 53F @ 1810h mdt; MSR data for Row 4 in 4a-c below>


Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i

ABBA  10.0  16.0  19.0  25.0   8.0  25.0  20.0  30.0  30.0  15.0  20.0   7.0   8.0  30.0  35.0   4.0   8.0  15.0  10.0  12.0  17.0  10.0  25.0   8.0  15.0  10.0   2.0   5.0  20.0  30.0
BEPA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   1.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
PIBA   0.0   0.0  12.0   4.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   8.0   0.0   0.0   0.0   0.0   0.0   0.0
PIGL  40.0  30.0  25.0   5.0  40.0  45.0  30.0  30.0  20.0  35.0  10.0  50.0  20.0  10.0   3.0  20.0  45.0  20.0  40.0  70.0   0.0  35.0   0.0  20.0  15.0  10.0  40.0  25.0  10.0   0.0
PIMA   0.0   0.0   0.0   0.0   4.0   6.0  11.0   0.0   0.0   0.0   0.0   0.0   0.0   2.0   0.0   0.0   0.0   0.0   5.0   0.0   6.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
POTR   4.0   2.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   2.0   1.0   0.0   0.0   1.0   1.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   3.0   0.0   0.0   0.0   0.0
LEGR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0
LODI   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
LOIN   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
