STAND 5, SURVEY DATE: 23 Sep 1981, OBSERVERS: G.H. La Roi (#1), ROWS: 0,2,4A,4C,4E, R.A. Ellis (#2), ROWS: 4G,4I,6,8, DATA ENTRY: 23 Feb 1997 (note: GHLR used thermometer ?; RAE used? not visible on xerocopy)

QUAD  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i

BEPA   0.0   0.0   0.0   0.0   1.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
PIGL  15.0  15.0  12.0   5.0   6.0  20.0  15.0  12.0  12.0  30.0  30.0  15.0  20.0  10.0  10.0  25.0  20.0  15.0  20.0  30.0   8.0  20.0  20.0  15.0  15.0   0.0   0.0   0.0   0.0   0.0
POBA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
POTR  12.0  15.0   6.0  10.0  12.0  15.0  10.0  12.0  12.0  18.0  10.0  15.0   6.0  15.0  10.0  15.0   8.0   8.0   6.0  10.0   8.0   7.0   7.0   4.0   7.0   0.0   0.0   0.0   0.0   0.0
AMAL   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.01  0.0   0.01  0.0   0.1   0.0   0.0   0.0   0.1   0.0   0.01  0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0
LODI   0.0   0.5   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.1   0.0   0.0   0.1   0.0   0.0   0.0   0.1   0.1   0.1   0.1   0.1   0.1   0.1   0.1   0.0   0.0   0.0   0.0   0.0
LOIN   1.0   1.0   1.0   3.0   0.0   0.0   2.0   1.0   3.0   2.0   1.0   2.0   2.0   0.5   0.0   0.5   0.5   0.1   0.5   0.0   2.0   2.0   0.5   1.0   0.5   0.0   0.0   0.0   0.0   0.0
PRPE   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RIGL   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.01  0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RILA   0.0   0.0   0.0   0.01  0.0   0.0   0.1   0.1   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RITR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.1   0.1   0.0   0.1   0.01  0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0
ROAC   3.0   2.0   5.0   1.0   3.0   3.0   2.0   1.0   1.0   3.0   0.5   4.0   0.5   1.0   1.0   1.0   1.0   0.1   0.5   0.5   4.0   2.0   1.0   2.0   1.0   0.0   0.0   0.0   0.0   0.0
RUID   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
SYAL   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
VAVI   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
VIED   4.0   6.0   4.0   3.0   4.0   2.0   2.0   3.0   3.0   2.0   0.5   2.0   0.5   0.5   1.0   0.5   0.5   0.1   0.1   0.5   1.0   0.5   0.1   3.0   0.1   0.0   0.0   0.0   0.0   0.0
ACMI   0.1   0.5   0.1   0.0   0.1   0.0   0.5   0.1   0.01  0.01  0.0   0.01  0.0   0.1   0.1   0.0   0.1   0.0   0.1   0.0   0.1   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0

QUAD  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i
ARNU   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ASCI   1.0   1.0   2.0   0.5   2.0   2.0   1.0   0.5   2.0   1.0   0.5   1.0   0.5   0.5   0.5   2.0   0.5   1.0   1.0   0.5   2.0   0.5   0.5   1.0   0.1   0.0   0.0   0.0   0.0   0.0
ASCO   0.0   0.5   0.0   0.0   0.5   0.0   1.0   1.0   2.0   0.0   0.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.1   0.5   0.5   0.1   1.0   0.1   0.0   0.0   0.0   0.0   0.0
ACRU   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
COCA   3.0   2.0   2.0   2.0   5.0   3.0   2.0   2.0   2.0   2.0   1.0   1.0   0.5   0.5   2.0   0.5   2.0   0.5   2.0   1.0   1.0   1.0   0.5   2.0   0.5   0.0   0.0   0.0   0.0   0.0
COTR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
EPAN   0.5   0.1   1.0   0.5   1.0   0.1   0.1   0.5   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
FRVE   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
FRVI   0.5   1.0   0.5   1.0   1.0   0.5   0.0   0.5   0.1   0.5   0.5   0.1   0.0   1.0   1.0   0.1   0.1   1.0   0.1   0.1   0.5   0.1   0.1   0.1   0.1   0.0   0.0   0.0   0.0   0.0
GABO   1.0   0.5   0.5   0.5   0.5   1.0   0.5   0.5   0.5   0.5   0.5   0.5   0.1   0.1   0.1   0.1   0.01  0.1   0.1   0.01  0.1   0.01  0.01  0.1   0.1   0.0   0.0   0.0   0.0   0.0
GATR   0.0   0.0   0.1   0.0   0.1   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.1   0.0   0.1   0.1   0.0   0.1   0.1   0.1   0.0   0.0   0.0   0.0   0.0
GORE   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
LAOC   0.0   0.0   0.1   0.5   0.0   0.0   0.5   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
LIBO   6.0   8.0   2.0   6.0   2.0   8.0   3.0   2.0   6.0  12.0   9.0   4.0   1.0   7.0  10.0   6.0   5.0   5.0   4.0  10.0   5.0   3.0  10.0   7.0   7.0   0.0   0.0   0.0   0.0   0.0
MACA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
