STAND 5, SURVEY DATE: 10 Sep 1982, OBSERVERS: G.H. La Roi (#1), ROWS: 0,2,4A,4C, R.A. Ellis (#2), ROWS: 4E,4G,4I, DATA ENTRY: 08 Jul 1997 (note: GHLR used thermometer ??; RAE used "M"; much of ARNU is "dead yellow standing" and cover not est'd)

QUAD  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i

BEPA   0.0   0.0   0.0   0.0   3.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   3.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
PIGL  16.0  13.0  16.0   3.0   5.0  30.0  16.0  20.0  15.0  30.0  45.0  18.0  20.0  12.0  10.0  30.0  25.0  20.0  25.0  35.0  10.0  20.0  25.0  20.0  15.0   0.0   0.0   0.0   0.0   0.0
POBA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
POTR   9.0  14.0   2.0  10.0  14.0   9.0   8.0  13.0   7.0  12.0  11.0  10.0   7.0   5.0   4.0   8.0   6.0   8.0   4.0   6.0   8.0   5.0   6.0   5.0   9.0   0.0   0.0   0.0   0.0   0.0
AMAL   0.0   0.1   0.0   0.0   0.0   0.0   0.01  0.0   0.5   0.01  0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0
LODI   0.5   0.5   0.1   0.0   0.0   0.0   0.0   0.0   0.5   0.1   0.1   0.5   0.1   0.1   0.1   0.0   0.0   0.0   0.1   0.1   0.0   0.5   0.1   0.0   0.1   0.0   0.0   0.0   0.0   0.0
LOIN   1.0   2.0   2.0   4.0   0.0   0.0   4.0   1.0   5.0   2.0   2.0   2.0   1.0   0.5   0.0   0.5   1.0   0.0   0.5   0.0   2.0   2.0   0.5   0.5   0.5   0.0   0.0   0.0   0.0   0.0
PRPE   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RIGL   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0
RILA   0.0   0.0   0.01  0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RITR   0.5   0.1   0.0   0.1   2.0   0.5   0.1   0.5   1.0   0.0   0.01  0.1   0.1   0.0   0.0   0.1   0.0   0.5   0.0   0.1   0.0   0.5   0.1   0.0   0.1   0.0   0.0   0.0   0.0   0.0
