STAND 5, SURVEY DATES: 07 Jul 1984 and 04 Jul (Row 4/MSR), OBSERVERS: G.H. La Roi (#1), ROWS: 0,2,4, M.S. Ross (#3), ROWS: 4,6,8, DATA ENTRY: 10 Nov 1997 (GHLR used thermometer"Old #1"; MSR used "M";"serrate-leaf ARNU in 4C";MSR Row 4 data in 4a-i
below, no soil temps taken on 04 July!)

QUAD  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i

BEPA   0.0   0.0   0.0   0.0   2.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   6.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
PIGL  10.0  13.0  13.0   3.0   5.0  22.0  20.0  14.0  14.0  30.0  30.0  16.0  25.0  14.0  10.0  15.0   7.0  10.0  12.0  15.0  10.0  15.0   9.0  15.0  12.0  25.0   7.0  10.0   6.0   5.0
POBA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
POTR  10.0  20.0   7.0  13.0  12.0  12.0   8.0  16.0  14.0  15.0  20.0  20.0  10.0  19.0  13.0  22.0  25.0  30.0  20.0  15.0  35.0  25.0  25.0   7.0  30.0  20.0  25.0  10.0  16.0  13.0
AMAL   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   1.0   0.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0
LODI   1.0   0.5   2.0   0.0   0.0   0.0   0.0   0.5   0.01  0.5   0.5   0.0   1.0   0.0   0.1   0.0   0.0   0.1   0.0   0.5   0.0   0.0   0.5   0.0   0.1   0.1   0.5   1.0   0.1   0.5
LOIN   2.0   2.0   4.0   4.0   0.0   0.0   7.0   1.0   7.0   3.0   1.0   3.0   1.0   0.5   0.0   0.0   1.0   0.1   0.1   0.01  3.0   1.0   0.5   2.0   0.5   0.0   1.0   1.0   0.5   0.0
PRPE   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RIGL   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RILA   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.1   0.0   0.1   0.0   0.01  0.01  0.0   0.0   0.1   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.01  0.01  0.01  0.0
RITR   1.0   0.5   0.5   1.0   2.0   0.5   0.5   2.0   2.0   0.0   0.1   0.5   0.01  0.1   0.1   1.0   0.5   1.0   0.1   0.5   1.0   0.1   0.1   0.1   0.1   0.5   0.01  0.5   0.01  0.0
