STAND 5, SURVEY DATE: 29 Jul 1988, OBSERVERS: G.H. La Roi (#1), ROWS: 2,4,8, D.A. Chesterman (#4) ROWS: 0,4,6, DATA ENTRY: 03 Nov 1998 (note: GHLR used thermometer "Old #1"; DAC used "M"; DAC data from Row 4 are in 4a-4i below)
 This was the "August Survey" of 1988

QUAD  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i

BEPA   0.01  0.0   0.0   0.0   2.0   0.0   0.0   0.1   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0
PIGL  12.0   6.0  14.0   4.0   5.0  22.0  21.0  15.0  12.0  38.0  32.0  17.0  30.0  25.0  20.0  17.0  12.0  10.0  16.0  20.0  20.0  26.0  22.0  18.0  28.0  25.0  15.0  18.0  10.0  10.0
POBA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
POTR  16.0  25.0   8.0  20.0  16.0   9.0  10.0  12.0  12.0  18.0  17.0  15.0  13.0  17.0  12.0   8.0  16.0  17.0  10.0  25.0  20.0  19.0  20.0   8.0  16.0  14.0  20.0  15.0  12.0  11.0
AMAL   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.5   0.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   1.0   0.0   0.0   0.0   0.0   0.5   0.0
LODI   1.0   0.5   0.0   0.0   0.0   0.0   0.0   0.5   0.0   0.5   0.5   0.1   0.5   0.0   0.5   0.0   0.0   0.0   0.01  0.1   0.5   1.0   0.5   0.0   0.1   0.5   0.1   0.5   0.5   0.1
LOIN   0.5   0.5   0.5   1.0   0.0   0.0   4.0   1.0   6.0   3.0   1.0   2.0   1.0   1.0   0.0   0.5   0.5   0.0   0.5   0.0   6.0   2.0   0.5   5.0   1.0   0.5   1.0   0.5   0.5   0.0
PRPE   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RIGL   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RILA   0.0   0.0   0.1   0.0   0.0   0.0   0.01  0.5   0.1   0.0   0.01  0.0   0.01  0.1   0.0   0.01  0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.01  0.1   0.0
RITR   0.1   0.0   0.0   0.0   0.1   0.0   0.1   0.01  0.1   0.0   0.01  0.1   0.0   0.1   0.01  0.1   0.01  0.1   0.01  0.1   0.0   0.0   0.01  0.0   0.0   0.5   0.1   0.1   0.1   0.1
ROAC   4.0   1.0   4.0   2.0   2.0   5.0   3.0   3.0   1.0   4.0   1.0   2.0   0.5   4.0   2.0   0.5   0.5   0.1   0.5   0.5  10.0   2.0   2.0   4.0   3.0   0.5   2.0   0.5   2.0   0.5
RUID   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1
SYAL   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
VAVI   1.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0
VIED   5.0   5.0   8.0   5.0   5.0   4.0   2.0   5.0   4.0   2.0   1.0   4.0   1.0   4.0   3.0   1.0   2.0   1.0   1.0   1.0  10.0   2.0   3.0   6.0   3.0   0.5   3.0   0.5   2.0   1.0
ACMI   0.1   0.01  0.1   0.1   0.1   0.0   0.1   0.1   0.1   0.1   0.01  0.0   0.01  0.1   0.01  0.0   0.01  0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.01  0.01

QUAD  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i
ARNU   3.0   2.0   3.0   2.0   5.0   9.0   5.0   8.0   9.0   4.0   6.0   6.0   3.0   6.0   4.0   4.0   5.0   5.0   3.0   1.0   7.0   6.0   5.0  10.0   7.0   3.0   4.0   1.0   3.0   3.0
ASCI   0.5   2.0   1.0   2.0   4.0   4.0   4.0   2.0   3.0   1.0   2.0   1.0   0.5   2.0   3.0   1.0   0.5   1.0   0.5   1.0   3.0   1.0   2.0   2.0   2.0   1.0   1.0   1.0   1.0   0.5
ASCO   0.0   0.5   0.0   0.0   1.0   0.0   0.1   1.0   0.5   0.0   0.5   0.1   0.0   0.0   1.0   0.0   0.1   0.0   0.0   0.1   2.0   1.0   1.0   2.0   0.01  0.5   0.5   0.0   0.0   0.5
ACRU   0.1   0.1   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.5   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.1   0.1   0.0   0.5   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0
COCA   0.5   1.0   0.5   0.5   2.0   2.0   2.0   3.0   1.0   1.0   0.1   3.0   0.0   0.5   2.0   0.1   0.5   0.5   0.5   0.01  2.0   0.5   0.1   2.0   0.5   0.5   1.0   0.1   1.0   0.5
COTR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01
EPAN   1.0   0.5   2.0   2.0   3.0   0.1   0.0   0.01  1.0   0.0   0.0   0.0   0.0   0.5   0.5   0.0   0.1   0.0   0.0   0.0   1.0   0.0   0.0   2.0   0.0   0.0   0.0   0.0   0.5   0.5
FRVE   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
FRVI   0.5   0.5   0.1   0.5   0.5   0.1   0.1   0.5   0.1   0.1   0.1   0.1   0.1   0.1   0.1   0.1   0.1   0.1   0.1   0.01  1.0   0.0   0.01  1.0   0.1   0.5   0.5   0.0   0.1   0.1
GABO   0.5   0.1   0.5   0.5   0.1   0.5   0.5   0.5   0.1   0.1   0.1   0.1   0.1   0.1   0.1   0.1   0.1   0.1   0.1   0.1   0.5   0.5   0.1   0.5   0.1   0.5   0.1   0.1   0.1   0.1
GATR   0.0   0.0   0.0   0.0   0.1   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.1   0.1   0.0   0.0   0.0   0.01  0.0   0.0   0.1   0.1   0.1   0.1   0.01  0.0   0.1   0.1   0.01  0.0
GORE   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
LAOC   0.5   0.1   0.5   1.0   0.5   0.5   0.5   0.5   0.5   0.1   0.0   0.1   0.0   0.0   0.5   0.5   0.1   0.0   0.1   0.0   1.0   0.0   0.0   0.1   0.0   0.0   0.1   0.0   0.0   0.5
LIBO   4.0   5.0   1.0   5.0   4.0   4.0   6.0   4.0   6.0  15.0   8.0   6.0   3.0   8.0   9.0   6.0   7.0   4.0   3.0   5.0  10.0   4.0   9.0   5.0   8.0   3.0   4.0   2.0   7.0   8.0
MACA   0.5   0.5   0.5   0.5   0.5   1.0   1.0   2.0   0.5   0.5   0.1   0.5   0.5   1.0   0.1   0.5   0.5   0.5   0.5   0.1   1.0   0.5   0.5   1.0   0.1   0.0   0.5   0.5   0.5   0.1
MEPA   0.5   1.0   0.5   0.0   0.5   1.0   0.5   1.0   0.5   2.0   3.0   2.0   2.0   2.0   1.0   1.0   0.5   0.5   0.5   0.5   4.0   2.0   3.0   2.0   0.5   3.0   2.0   0.5   0.5   0.5
