STAND 6, SURVEY DATE: 04 Aug 2005, OBSERVERS: G.H. & N.B. La Roi (#1), ROWS: 0,2,4,6,8, DATA ENTRY: 02 Mar 2006 (note: GHLR used soil thermometer Old#1; Birds: BCCH,CONI,SOVI,AMRO,WTSP,
HETH,HAWO,CAJA,CHSP,flycatcher; Leopard Frog; no met data; RUID & RUPU fruiting; EPAN,RUID,VIED,RUPU crimson in treeless openings; POTR heights 0-3 m, swellings on trunks; mildew on LAOC;
several [n=11] "new" invading species added to end of list)

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i

ABBA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
BEPA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   1.0   2.0   0.0   0.0   0.0   0.0   0.0
PIGL   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
POBA   2.0   3.0   1.0   5.0   1.0   2.0   0.0   1.0   0.0   1.0   1.0   0.0   1.0   3.0   0.01  3.0   5.0   3.0   0.0   0.0   1.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0
POTR  18.0  12.0   4.0   2.0   7.0   4.0  20.0  18.0  18.0   5.0   6.0   4.0  20.0   6.0   8.0   3.0   3.0   1.0  11.0  20.0   8.0   8.0   5.0   9.0  13.0   0.0   0.0   0.0   0.0   0.0
AMAL   0.0   0.0   0.5   0.0   0.0   2.0   1.0   1.0   0.5   0.5   0.0   0.0   0.0   1.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
LEGR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
LODI   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
LOIN   0.0   1.0   0.0   2.0   0.0   0.5   1.0   0.0   2.0   0.5   0.0   2.0   0.0   0.0   0.0   0.0   0.0   0.0   1.0   2.0   0.0   1.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0
PRPE   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RIGL   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RILA   0.0   0.1   0.0   0.0   0.0   0.5   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.01  0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0
RITR   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.0   0.5   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ROAC   3.0   0.0   3.0   2.0   3.0   3.0   5.0   5.0   5.0   3.0   3.0   2.0   4.0   0.5   8.0   4.0   7.0   3.0   2.0   5.0   8.0   2.0   4.0   1.0   3.0   0.0   0.0   0.0   0.0   0.0
RUID   3.0   1.0   2.0   8.0   2.0   0.0   1.0   1.0   0.5   0.5   2.0   4.0   5.0   1.0   4.0   1.0   0.1   3.0   6.0   1.0   3.0   6.0   2.0   8.0   1.0   0.0   0.0   0.0   0.0   0.0
SHCA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
SYAL   1.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i
VAVI   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
VIED   0.0   3.0   0.5   0.5   0.5   0.0   2.0   0.0   0.5   0.0   2.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   5.0   1.0   1.0   0.0   0.0   2.0   0.0   0.0   0.0   0.0   0.0
ACMI   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
