STAND 6, SURVEY DATE: 03 May 1987, OBSERVERS: G.H. La Roi (#1), ROWS: 2,4, D.A. Chesterman (#5), ROWS: 2,6, DATA ENTRY: 27 Nov 2005 (note: GHLR used soil thermometer Old#??, DAC used #J;
Birds: NORA,GCKI,BCCH,RBNU,MYWA; Max-Min data SW Max 25C Min -24 Present 17@1329h, Central Max 74F Min -16 Present 61@1536, NE Max 74F Min -16 Present 64@1625h; DAC data from Row 2
entered in 2i-2a below and used only for calibration with GHLR; DAC's & GHLR's data for Row 2 are incredibly similar ... why? Did we do it together and share?? YES, see identical temps)

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    2i    2g    2e    2c    2a

ABBA   0.0   0.0   0.0   0.0   0.0   5.0   3.0  13.0   5.0   9.0   8.0  12.0  14.0  15.0  14.0  15.0   5.0   5.0  10.0   2.0   0.0   0.0   0.0   0.0   0.0   4.0   1.0   8.0   1.0  12.0
BEPA   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0
PIGL   0.0   0.0   0.0   0.0   0.0  16.0  10.0  11.0   5.0  11.0   7.0  18.0  15.0  10.0   0.0   5.0  15.0   9.0  12.0   8.0   0.0   0.0   0.0   0.0   0.0   8.0  20.0   2.0   1.0   2.0
POBA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
POTR   0.0   0.0   0.0   0.0   0.0   7.0   4.0   3.0   0.01  3.0   1.0   4.0   0.0   0.0   4.0  12.0   0.01  0.0   6.0  12.0   0.0   0.0   0.0   0.0   0.0  12.0   4.0   3.0   0.01  6.0
AMAL   0.0   0.0   0.0   0.0   0.0   0.01  0.01  0.01  0.01  0.01  0.0   0.0   0.0   0.01  0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.1   0.01  0.01  0.01
LEGR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   1.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
LODI   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0
LOIN   0.0   0.0   0.0   0.0   0.0   0.1   0.1   0.1   0.01  0.1   0.1   0.01  0.01  0.1   0.1   0.1   0.0   0.1   0.01  0.5   0.0   0.0   0.0   0.0   0.0   1.0   1.0   1.0   0.1   0.5
