STAND 6, SURVEY DATE: 29 Jul 1989, OBSERVERS: G.H. & N.B. La Roi (#1), ROWS: 0,2,4,6,8, DATA ENTRY: 07 Feb 2006 (note: GHLR used soil thermometer Old#1; no birds noted; Westher data:
Max-Min temps @ 30cm above ground: SW Max 28C Min 4 Present 23 @1420h mdt, Central Max 80F Min 37 Present 70 @1600h, NE Max 84 Min 37 Present 70 @1745h, Raingauge: 680cc.

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i

ABBA   0.0   6.0   8.0   0.0   0.0   5.0   6.0  17.0   5.0  12.0   8.0  28.0  16.0  27.0  21.0  30.0   8.0  18.0  30.0   5.0  10.0  30.0  24.0  30.0   8.0   0.0   0.0   0.0   0.0   0.0
BEPA   0.0   0.0   0.0   0.0   0.0   1.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   6.0   6.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
PIGL  51.0  15.0  30.0  36.0  19.0  16.0  16.0  11.0   8.0   9.0  13.0  20.0  23.0  15.0   0.0  12.0  35.0  25.0  20.0  11.0  19.0   5.0  10.0   2.0  21.0   0.0   0.0   0.0   0.0   0.0
POBA   1.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   4.0   0.0   0.0   0.0   0.0   0.0
POTR   3.0  16.0   1.0   0.0  17.0  16.0  18.0  18.0   2.0   7.0   4.0  10.0   0.0   2.0  11.0  18.0   0.0   0.0   2.0  17.0   0.0  17.0   0.0   0.1  25.0   0.0   0.0   0.0   0.0   0.0
AMAL   1.0   0.0   0.5   0.0   0.5   2.0   2.0   1.0   0.1   0.0   0.0   0.0   0.0   2.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
LEGR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   2.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
LODI   1.0   0.0   0.0   0.0   0.5   0.0   1.0   0.0   0.0   0.5   0.5   0.0   0.0   0.0   0.0   0.0   0.5   0.1   0.0   0.5   0.5   0.1   0.0   0.0   1.0   0.0   0.0   0.0   0.0   0.0
LOIN  10.0   3.0   5.0   3.0  12.0  12.0  14.0  12.0   4.0   6.0   7.0   3.0   4.0   7.0   6.0   3.0   5.0   2.0   2.0   9.0   5.0   4.0   3.0   4.0   0.5   0.0   0.0   0.0   0.0   0.0
