STAND 7, SURVEY DATE: 07 Aug 2000, OBSERVER: G.H. La Roi (#1), ROWS: 0,2,4,6,8, DATA ENTRY: 22 Nov 2000 (note: GHLR used soil thermometer "Old #1"; big LALA shattered by lightning in 2E and down; young LALA browsed
        by Snowshoe Hares, ditto BEPU, SACA & SAPE;AMTR starting to turn yellow; "very uncertain about identity of "CXIN" = catch-all?"; larger LALA have grown fast (ht, dbh); water level at 0A = 2.0; time-lapse photo-slides
        taken as per early 1980's; GPS waypoints obtained for 4 corners of stand; small brown-spotted frog seen; posts need new labels!)

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i

LALA  12.0  10.0   0.5   0.1   0.5   0.1   0.1   0.5   3.0   0.5   5.0   0.1   1.0   0.5   0.1   8.0   0.01 15.0   2.0   3.0   3.0   7.0   4.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0
PIMA  24.0  16.0  20.0  16.0  20.0  23.0  27.0  25.0  20.0  25.0  20.0  30.0  12.0  19.0  13.0  27.0  30.0  33.0  20.0  17.0  20.0  14.0  24.0  25.0  28.0   0.0   0.0   0.0   0.0   0.0
ANPO   0.5   0.5   1.0   0.5   0.5   0.1   0.5   0.5   0.1   0.5   0.0   0.1   1.0   0.5   0.5   0.1   0.5   0.5   0.1   0.5   0.5   1.0   1.0   0.5   0.5   0.0   0.0   0.0   0.0   0.0
BEPU   2.0   2.0   1.0   2.0   1.0   2.0   2.0   3.0   0.5   0.5   0.5   1.0   5.0   1.0   4.0   1.0   1.0   1.0   3.0   2.0   3.0   9.0   6.0   1.0   2.0   0.0   0.0   0.0   0.0   0.0
LEGR   1.0   1.0   4.0   4.0   7.0   6.0   8.0   3.0   8.0   6.0   8.0   3.0   3.0   5.0   4.0   5.0  10.0   3.0   4.0   6.0   0.0   0.0   3.0  10.0   7.0   0.0   0.0   0.0   0.0   0.0
LOCA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   1.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
OXMI   0.1   0.5   0.1   0.5   0.5   0.5   0.5   0.1   0.1   0.01  0.01  0.1   0.5   0.1   1.0   0.5   0.1   0.5   0.5   0.5   0.0   0.0   0.0   0.1   0.1   0.0   0.0   0.0   0.0   0.0
SAAR   0.0   1.0   0.1   0.0   1.0   1.0   0.5   0.0   0.5   0.0   0.0   2.0   0.0   2.0   0.0   0.0   1.0   0.5   0.1   0.0   0.0   0.0   0.0   0.0   1.0   0.0   0.0   0.0   0.0   0.0
SABE   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
SACA   0.5   0.5   0.1   0.1   0.5   1.0   0.5   1.0   0.5   0.5   0.0   0.5   0.5   0.0   1.0   0.1   0.5   0.1   1.0   0.5   0.5   1.0   0.5   0.5   0.5   0.0   0.0   0.0   0.0   0.0
SAMY   0.0   0.0   2.0   3.0   4.0   2.0   3.0   0.0   2.0   2.0   2.0   5.0   0.0   1.0   0.0   1.0   2.0   0.0   0.0   3.0   0.0   0.0   0.0   3.0   2.0   0.0   0.0   0.0   0.0   0.0
SAPE   0.5   0.1   0.1   0.1   0.1   0.5   0.1   0.1   0.1   0.5   0.5   0.1   0.5   0.5   0.5   1.0   0.1   0.0   0.0   0.5   0.1   1.0   0.5   0.1   0.5   0.0   0.0   0.0   0.0   0.0
VAMY   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
VAVI   0.0   0.01  0.01  0.01  0.0   0.0   0.0   0.0   0.5   0.5   0.5   1.0   0.0   0.0   0.0   0.0   0.0   0.0   1.0   2.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ASBO   0.0   0.01  0.0   0.01  0.0   0.01  0.0   0.01  0.0   0.0   0.0   0.01  0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0
CARO   0.01  0.01  0.01  0.0   0.0   0.01  0.0   0.0   0.01  0.01  0.0   0.0   0.01  0.01  0.0   0.1   0.01  0.1   0.01  0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
COTR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i
DRRO   0.0   0.1   0.1   0.01  0.01  0.0   0.01  0.01  0.01  0.0   0.0   0.0   0.01  0.01  0.01  0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.01  0.0   0.0   0.0   0.0   0.0
GALA   0.1   0.01  0.1   0.0   0.0   0.0   0.01  0.01  0.0   0.0   0.0   0.01  0.1   0.01  0.01  0.01  0.0   0.0   0.1   0.0   0.1   0.1   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0
GELI   0.0   0.0   0.0   0.1   0.1   0.01  0.0   0.01  0.0   0.1   0.1   0.1   0.0   0.1   0.0   0.0   0.1   0.0   0.01  0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
HAHY   0.1   0.01  0.1   0.0   0.0   0.1   0.1   0.01  0.1   0.1   0.0   0.01  0.5   0.0   0.01  0.01  0.0   0.0   0.0   0.0   0.0   0.1   0.01  0.0   0.5   0.0   0.0   0.0   0.0   0.0
LIBO   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
METR   2.0   3.0   5.0   2.0   0.0   0.01  1.0   1.0   3.0   0.0   0.0   5.0   3.0   3.0   2.0   4.0   5.0   2.0   3.0   2.0   5.0   5.0   3.0   3.0   3.0   0.0   0.0   0.0   0.0   0.0
MINU   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.01  0.1   0.0   0.1   0.0   0.0   0.0   0.1   0.0   0.1   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ORRO   0.1   1.0   2.0   1.0   1.0   1.0   0.5   2.0   0.0   0.0   0.0   0.5   0.5   0.5   1.0   1.0   0.5   0.1   0.0   0.0   0.5   0.0   0.0   0.0   1.0   0.0   0.0   0.0   0.0   0.0
PAPA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
