STAND 7, SURVEY DATE: 03 Aug 1983, OBSERVERS: G.H. La Roi (#1), ROWS: 0,2,4A-G, M.S. Ross (#3), ROWS: 4I,6,8, DATA ENTRY: 05 Feb 1999 (note: GHLR used soil thermometer #M, MSR used #1;
 CXDI is tall green, in pools; CXIN has shorter, cauline leaves; MSR's est's of CXAQ cover may be too high?)

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i

LALA   3.0   5.0   0.5   0.0   0.1   0.1   0.5   4.0   0.1   0.1   2.0   0.0   0.1   0.0   0.1   0.1   0.0   0.1   0.1   0.5   0.5   1.0   0.1   0.01  0.1   0.0   0.0   0.0   0.0   0.0
PIMA  18.0  17.0  27.0  20.0  20.0  20.0  22.0  15.0  30.0  25.0  17.0  25.0  10.0  20.0  11.0  12.0  15.0  18.0  15.0   8.0  10.0   6.0   9.0  15.0  25.0   0.0   0.0   0.0   0.0   0.0
ANPO   1.0   2.0   2.0   3.0   1.0   1.0   2.0   1.0   2.0   0.5   1.0   0.5   1.0   1.0   2.0   1.0   0.5   0.5   0.5   1.0   2.0   3.0   1.0   0.5   0.5   0.0   0.0   0.0   0.0   0.0
BEPU   4.0   2.0   2.0   2.0   2.0   1.0   1.0   4.0   0.5   2.0   0.1   5.0   5.0   2.0   8.0   7.0   2.0   4.0   5.0   3.0   6.0   7.0  10.0   2.0   2.0   0.0   0.0   0.0   0.0   0.0
LEGR   0.0   2.0   8.0   4.0   5.0   4.0  10.0   1.0  12.0   9.0   8.0   4.0   2.0   8.0   2.0   5.0  10.0   8.0   3.0   7.0   0.0   0.0   0.5  12.0   7.0   0.0   0.0   0.0   0.0   0.0
LOCA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   1.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
OXMI   0.01  0.5   0.1   0.1   1.0   1.0   1.0   1.0   2.0   0.5   1.0   1.0   0.5   0.5   3.0   0.1   0.1   1.0   0.1   2.0   0.1   0.1   0.0   1.0   0.1   0.0   0.0   0.0   0.0   0.0
SAAR   0.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
SABE   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
