STAND 7, SURVEY DATE: 02 May 1987, OBSERVERS: G.H. La Roi (#1), ROWS: 4,8, D.A. Chesterman (#4), ROWS: 2,8, DATA ENTRY: 06 Jun 2001 (note: GHLR used soil thermometer "Old#1", DAC used ??;LALA, BEPU
        & SACA browsed, CXAQ grazed [DAC]; calibration data of DAC for Row 8 entered in "8a,c,e,g,i" below)

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    8a    8c    8e    8g    8i

LALA   0.0   0.0   0.0   0.0   0.0   0.0   0.01  5.0   0.01  0.1   0.5   0.01  0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.5   0.01  0.01  0.1   0.1   0.5   0.1   0.01  0.01
PIMA   0.0   0.0   0.0   0.0   0.0  20.0  35.0  11.0  17.0  25.0  20.0  25.0  15.0  20.0  17.0   0.0   0.0   0.0   0.0   0.0  18.0   7.0  13.0  27.0  20.0  12.0   4.0  12.0  30.0  25.0
ANPO   0.0   0.0   0.0   0.0   0.0   0.1   0.1   0.5   0.1   0.01  0.5   1.0   1.0   1.0   1.0   0.0   0.0   0.0   0.0   0.0   3.0   3.0   2.0   1.0   1.0   3.0   1.0   1.0   0.5   0.5
BEPU   0.0   0.0   0.0   0.0   0.0   0.01  0.01  0.1   0.01  0.01  0.01  0.01  0.5   0.1   0.5   0.0   0.0   0.0   0.0   0.0   0.5   1.0   1.0   0.1   0.5   0.5   1.0   0.5   0.1   0.1
LEGR   0.0   0.0   0.0   0.0   0.0   3.0   5.0   1.0   8.0   6.0   7.0   5.0   1.0   5.0   2.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   1.0   8.0   8.0   0.0   0.0   1.0   7.0   4.0
LOCA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
OXMI   0.0   0.0   0.0   0.0   0.0   0.01  0.01  0.01  0.1   0.01  0.1   0.5   1.0   0.1   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.01  0.0   0.0   0.0   0.1   0.01
SAAR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
SABE   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
SACA   0.0   0.0   0.0   0.0   0.0   0.01  0.01  0.01  0.01  0.0   0.0   0.0   0.01  0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.01  0.01  0.0   0.0   0.0   0.01  0.01  0.0   0.0   0.0
SAMY   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.1   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.1   0.0
SAPE   0.0   0.0   0.0   0.0   0.0   0.01  0.1   0.01  0.1   0.1   0.01  0.01  0.1   0.1   0.01  0.0   0.0   0.0   0.0   0.0   0.01  0.1   0.01  0.01  0.1   0.01  0.1   0.01  0.01  0.1
VAMY   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
VAVI   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.5   0.1   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ASBO   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
CARO   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
