STAND 8, SURVEY DATE: 31 Jul 1988, OBSERVERs: G.H. La Roi (#1), ROWS: 0,4,6, D.A. Chesterman <#5>, ROWS: 2,4,8, DATA ENTRY: 10 Oct 2011 (note: GHLR used soil thermometer Old#1, DAC used #M;
Max-Min data: SW Max88F Min40F Present64F@1155hmdt, Central Max92F Min39F Present65F@1245hmdt, NE Max88F Min43F Present70@1330hmdt; 1440cc in rain gauge; Birds:COLO,WWCR?,PISI,BCCH,CAJA,
CHSP; RUCH grazed>


Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i

PIMA  14.0  40.0  29.0  39.0  23.0  20.0  25.0  14.0  29.0  20.0  30.0  35.0  29.0  35.0  38.0  34.0  42.0  40.0  30.0  35.0  12.0  12.0  18.0  25.0  15.0  15.0  18.0  15.0  18.0  28.0
LALA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   4.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
LEGR  12.0   5.0  12.0   5.0  16.0   0.5   3.0   3.0   0.5   0.5   4.0   7.0  11.0   0.5   2.0   0.5   0.1   1.0  11.0  13.0  15.0  10.0   3.0   2.0   3.0   3.0   4.0   7.0   0.5   0.5
LOIN   7.0   0.0   0.0   0.0   0.5   0.0   1.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   7.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   5.0
LOCA   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
OXMI   0.0   0.0   0.01  0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.1   0.1   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0
RILA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ROAC   1.0   0.0   0.0   0.0   3.0   0.5   0.5   0.0   0.0   0.0   0.0   0.0   3.0   0.1   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   1.0   0.1   0.5
SABE   0.0   0.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
SAMY   0.1   0.0   0.5   0.1   2.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   1.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.5   0.01  0.0   0.0   0.0   0.5   0.01  0.0
SAPS   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
VAMY   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.01  0.0   0.0
VAVI   0.5   0.5   0.5   0.5   0.5   0.01  0.1   0.1   0.1   0.1   0.5   0.5   0.5   0.1   0.1   0.0   0.01  0.1   2.0   1.0   0.5   0.1   0.1   0.1   0.1   0.1   0.01  0.1   0.01  0.01
ACMI   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ASCI   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
